고객번호,1_2기증감,2_3기증감,3_4기증감,4_5기증감,5_6기증감,6_7기증감
1,-1,1,-1,1,0,-1
2,0,-1,2,-2,1,-1
3,0,0,0,0,0,0
4,-1,-1,1,1,0,-1
6,-1,-1,1,0,-1,0
7,2,-1,-1,1,-1,2
8,1,-1,-1,2,-1,0
9,0,0,0,0,0,0
10,-1,0,2,-2,1,0
11,-1,0,0,2,-2,1
12,2,0,1,1,-4,-2
13,1,0,0,0,0,0
14,1,-1,2,-2,0,1
15,-1,1,2,-2,-1,2
16,0,-1,0,0,1,-1
17,0,0,0,1,-1,0
18,0,1,2,-1,1,0
19,0,0,0,0,-1,0
20,0,1,0,-1,-1,0
21,0,0,1,-2,0,1
22,0,0,0,0,0,0
23,0,0,-1,1,-1,0
24,-1,-1,1,0,0,0
25,-1,0,0,-2,1,0
26,-1,1,-1,0,2,-1
27,1,0,1,-2,1,-1
28,-1,1,-2,-1,1,-2
29,0,1,0,0,0,0
30,0,0,-1,1,-1,1
31,0,-1,0,1,1,-1
32,-1,0,0,1,-1,0
33,0,1,0,0,0,0
34,0,1,-1,0,-1,-1
35,0,-2,2,-1,1,0
36,0,1,-1,2,-2,1
37,1,-2,0,1,-2,2
38,1,-1,1,0,0,-1
39,0,0,0,1,-1,0
40,-1,1,0,-1,0,-1
41,0,1,-1,0,1,1
42,1,1,1,-2,1,0
43,0,2,-5,6,0,0
44,2,0,-3,1,2,-2
45,3,-3,0,0,0,0
46,0,1,-1,0,1,-1
47,1,-2,2,0,0,-1
48,-1,0,1,-1,0,1
49,0,0,1,-1,0,0
50,-1,0,1,0,0,1
51,0,0,-2,2,-1,1
52,1,1,0,0,-1,1
53,-2,3,-3,2,-1,1
54,-1,1,0,0,0,1
55,-1,-1,0,1,1,-1
56,0,1,0,-1,0,1
57,0,1,-1,-4,5,0
58,0,0,-1,1,0,0
59,-1,2,0,0,-1,0
60,0,1,-1,1,-1,0
61,0,0,1,1,-1,0
62,-2,0,1,1,-1,0
63,-2,0,-1,0,1,-1
64,1,-1,0,1,-1,0
65,0,-1,2,-1,0,0
66,1,0,0,0,-1,1
67,0,0,0,1,0,0
68,0,0,0,0,0,0
69,1,0,0,0,0,0
70,2,-3,1,0,-2,0
71,-1,1,0,-1,1,0
72,1,-1,2,-1,2,-1
73,0,0,0,0,0,0
74,-1,0,1,0,1,1
75,-2,1,1,-1,0,1
76,0,-1,0,1,-2,2
77,0,1,0,-1,1,-1
78,-1,1,0,0,-1,0
79,-1,1,0,1,-1,0
80,-2,1,-1,-1,0,2
81,1,-1,1,0,-1,0
82,1,-1,1,0,-1,0
83,0,-1,1,-1,0,0
84,0,0,0,-1,0,1
85,0,1,-1,-1,0,0
86,-2,0,0,1,0,-1
87,1,3,-3,-1,3,-3
88,-1,0,0,0,0,0
89,-2,1,1,-1,2,1
90,1,0,-2,1,0,-1
91,0,0,0,0,0,0
92,0,0,-1,1,-1,0
93,0,0,0,0,0,1
94,-2,-2,0,0,1,-2
95,-1,1,-3,2,2,-2
96,-1,1,1,-1,0,0
97,0,0,0,0,0,0
98,0,0,-1,-1,1,0
99,0,0,0,0,0,0
100,-3,1,-1,2,0,0
101,2,0,0,-1,2,-1
102,2,1,-1,2,-2,1
103,0,-1,2,-2,1,0
104,0,0,-3,4,0,0
105,0,-2,2,-2,2,-2
106,1,0,0,1,-2,0
107,-1,0,0,0,0,0
108,1,0,0,0,0,0
109,2,-1,1,2,-1,0
110,-2,0,0,0,0,0
111,0,-1,1,0,0,0
112,1,0,0,0,0,-1
113,0,1,-1,0,0,1
114,-2,-1,1,1,-1,2
115,-1,-1,0,0,0,1
116,1,1,0,0,-1,1
117,2,-3,1,1,0,-1
118,0,0,0,0,0,0
119,-1,1,-1,0,0,0
120,0,0,0,0,0,0
121,1,2,-1,-2,2,0
122,1,1,0,-1,-1,1
123,0,-1,1,-1,1,0
124,1,1,-1,1,-1,2
125,1,-1,1,0,-2,2
126,3,0,-5,0,2,1
127,0,0,1,0,2,0
128,1,-3,4,1,0,-2
129,-2,1,0,1,-1,1
130,0,1,0,0,0,1
131,-2,1,0,0,-1,1
132,1,0,0,-1,-4,4
133,0,-1,1,-1,0,0
134,0,0,1,-1,0,0
135,-4,0,3,0,-1,-1
136,-2,-2,1,1,-2,1
137,0,0,0,0,0,-1
138,-1,0,0,1,0,1
139,-1,0,0,2,0,0
140,0,0,0,0,0,0
141,0,0,0,0,0,-1
143,0,1,0,0,-1,0
144,-1,0,1,0,-1,-2
145,-1,-1,0,0,0,0
146,0,0,0,0,0,0
147,1,0,-1,-1,2,1
148,0,0,0,0,-1,1
149,0,-1,1,1,-1,1
150,-2,4,-2,2,-2,1
151,-2,1,1,1,-1,-2
152,1,0,0,-2,-1,1
153,1,0,-5,4,-1,3
154,1,2,0,0,0,-3
155,-1,-1,2,0,-1,-1
156,0,0,0,-1,0,1
157,2,-3,1,0,1,-2
158,0,-1,2,0,-3,3
159,0,0,0,0,0,0
160,1,-1,1,0,-1,1
161,0,0,0,0,0,0
162,-1,1,-1,-1,1,0
163,0,1,0,-1,1,-3
164,0,1,-1,1,-1,0
165,0,0,-1,1,2,-1
166,2,0,0,1,-1,0
167,0,0,-2,2,0,-1
168,0,0,0,0,-1,1
169,2,2,0,-1,-1,-1
170,0,0,1,-1,0,0
171,0,-2,0,2,0,-1
172,-1,1,0,0,-1,0
173,-1,-1,2,1,-4,4
175,0,-1,2,-2,0,0
176,1,-1,2,0,-1,1
177,0,0,0,0,0,0
178,1,0,-2,2,2,-1
179,1,-1,0,0,0,0
180,-1,1,-1,-1,1,0
181,1,-1,-1,1,0,0
182,-1,0,1,-1,0,0
183,1,0,0,1,0,0
184,-1,2,-1,2,-2,3
185,-2,1,-1,0,0,-1
186,1,0,0,0,1,0
187,1,0,1,0,0,0
188,0,-1,1,1,-1,1
189,-1,-1,1,0,1,0
190,1,1,-1,-1,1,1
191,0,0,0,0,0,0
192,0,0,-1,3,-1,-1
193,0,-1,0,1,-1,0
194,-1,2,-1,1,-1,1
195,1,0,-1,1,0,-1
196,-1,2,-1,0,0,1
197,-1,1,-3,2,-2,0
198,-3,2,-2,3,-3,0
199,-1,1,0,0,1,0
200,-1,0,-1,1,-2,5
201,0,0,0,0,1,-1
202,-1,0,1,-1,1,-1
203,0,0,1,-1,0,0
204,0,0,-1,2,-1,1
205,0,1,-1,0,2,0
206,2,-3,1,-1,2,-1
207,0,0,0,0,-1,2
208,0,0,0,0,1,0
209,2,0,-1,2,-2,1
210,-1,1,0,2,-1,-1
211,1,-2,2,-3,2,-2
212,1,0,-1,2,-3,2
213,0,2,-3,1,-1,0
