Unnamed: 0,구매횟수,구매횟수.1,구매횟수.2,구매횟수.3,구매횟수.4,구매횟수.5,구매횟수.6,구매횟수.7,총구매액,총구매액.1,총구매액.2,총구매액.3,총구매액.4,총구매액.5,총구매액.6,총구매액.7,14_1구매경험,14_2구매경험,14_3구매경험,14_4구매경험,15_1구매경험,15_2구매경험,15_3구매경험,15_4구매경험,매출증감,증감확인
1,121.0,117.0,142.0,214.0,172.0,140.0,73.0,78.0,8995824.0,11108203.0,12181088.0,20694107.0,9408643.0,9217176.0,8792000.0,4375707.0,유,유,유,유,유,유,유,유,-1.1,감소
2,184.0,155.0,139.0,132.0,145.0,116.0,126.0,119.0,13898280.0,10506625.0,16767689.0,6279623.0,18691374.0,9983629.0,15589936.0,9915866.0,유,유,유,유,유,유,유,유,5.7,증가
3,139.0,209.0,246.0,145.0,87.0,133.0,139.0,93.0,297954.0,564936.0,732292.0,349742.0,282483.0,335595.0,474158.0,213238.0,유,유,유,유,유,유,유,유,22.8,증가
4,93.0,177.0,85.0,87.0,122.0,141.0,118.0,107.0,1288767.0,3844763.0,2750419.0,1616792.0,1757018.0,2058510.0,2395619.0,1330359.0,유,유,유,유,유,유,유,유,30.0,증가
6,192.0,192.0,178.0,187.0,237.0,160.0,228.0,219.0,2131469.0,3209003.0,3573895.0,2616896.0,3660327.0,2970188.0,3962173.0,2647175.0,유,유,유,유,유,유,유,유,30.0,증가
7,99.0,94.0,94.0,101.0,103.0,97.0,95.0,98.0,10466291.0,2927842.0,5323165.0,14386004.0,9238632.0,12748435.0,3738889.0,12370144.0,유,유,유,유,유,유,유,유,-47.4,감소
8,162.0,223.0,263.0,190.0,268.0,257.0,279.0,223.0,6328574.0,5422648.0,7908095.0,9889710.0,7174478.0,7948725.0,8799609.0,8419055.0,유,유,유,유,유,유,유,유,16.3,증가
9,34.0,94.0,100.0,109.0,79.0,114.0,86.0,124.0,14134569.0,24623001.0,19106272.0,20353926.0,54986079.0,31762935.0,24884893.0,16292164.0,유,유,유,유,유,유,유,유,27.6,증가
10,462.0,412.0,390.0,444.0,469.0,449.0,454.0,328.0,2504458.0,2663642.0,2545402.0,1748854.0,2907221.0,2567001.0,2448338.0,1448181.0,유,유,유,유,유,유,유,유,-1.1,감소
11,137.0,99.0,119.0,116.0,78.0,90.0,69.0,112.0,12378243.0,15291902.0,36042323.0,11306991.0,2955560.0,32635424.0,4092784.0,16486576.0,유,유,유,유,유,유,유,유,-50.3,감소
12,76.0,25.0,60.0,55.0,54.0,87.0,70.0,66.0,983573.0,201874.0,544027.0,310594.0,288349.0,1016818.0,2477440.0,784621.0,유,유,유,유,유,유,유,유,43.2,증가
13,246.0,319.0,278.0,430.0,403.0,441.0,414.0,353.0,1755242.0,2194961.0,1896298.0,2278908.0,2458697.0,2819076.0,2922997.0,1563082.0,유,유,유,유,유,유,유,유,25.0,증가
14,124.0,266.0,178.0,194.0,143.0,139.0,153.0,115.0,4084091.0,5514934.0,5377499.0,2910524.0,6153164.0,5723612.0,3467393.0,2083536.0,유,유,유,유,유,유,유,유,-8.2,감소
15,151.0,127.0,127.0,115.0,129.0,156.0,124.0,91.0,3976205.0,5743694.0,3177681.0,1168872.0,3156948.0,5646563.0,1961772.0,1023729.0,유,유,유,유,유,유,유,유,-33.9,감소
16,43.0,34.0,66.0,86.0,127.0,93.0,71.0,85.0,692934.0,581276.0,1295463.0,1594089.0,2378321.0,1397348.0,1451794.0,1465539.0,유,유,유,유,유,유,유,유,35.4,증가
17,91.0,61.0,60.0,80.0,91.0,199.0,153.0,146.0,24963163.0,25372117.0,6136225.0,12999527.0,4356364.0,22171475.0,22405792.0,23013296.0,유,유,유,유,유,유,유,유,-5.4,감소
18,150.0,184.0,162.0,41.0,53.0,48.0,62.0,58.0,40421810.0,21998025.0,13633572.0,780858.0,1760858.0,1129421.0,1651080.0,800436.0,유,유,유,유,유,유,유,유,-92.2,감소
19,89.0,85.0,50.0,84.0,64.0,71.0,71.0,67.0,5912461.0,4943718.0,2733392.0,6097284.0,3172404.0,8495752.0,7152079.0,4491636.0,유,유,유,유,유,유,유,유,9.5,증가
20,155.0,142.0,156.0,146.0,153.0,98.0,92.0,105.0,3265439.0,3180536.0,2759604.0,1619750.0,3795574.0,3079760.0,2705978.0,2495132.0,유,유,유,유,유,유,유,유,-9.4,감소
21,212.0,215.0,314.0,264.0,198.0,342.0,338.0,311.0,2302273.0,2298576.0,3429589.0,2109593.0,3198865.0,4314415.0,3227937.0,2215772.0,유,유,유,유,유,유,유,유,16.7,증가
22,69.0,59.0,30.0,71.0,82.0,72.0,30.0,82.0,11493431.0,32721607.0,12579590.0,25885960.0,30279723.0,8106358.0,2899761.0,18051387.0,유,유,유,유,유,유,유,유,-59.7,감소
23,116.0,100.0,115.0,186.0,118.0,61.0,51.0,36.0,6192221.0,8251785.0,8118411.0,22303941.0,8538963.0,7529418.0,9639413.0,6578390.0,유,유,유,유,유,유,유,유,21.8,증가
24,101.0,108.0,98.0,137.0,90.0,91.0,113.0,80.0,1087014.0,1837434.0,2183341.0,1517246.0,1294120.0,1084063.0,1804030.0,1368480.0,유,유,유,유,유,유,유,유,24.8,증가
25,47.0,64.0,67.0,50.0,116.0,95.0,57.0,130.0,1154580.0,3051147.0,3127931.0,1845978.0,11749491.0,8183916.0,2824594.0,13307091.0,유,유,유,유,유,유,유,유,42.0,증가
26,154.0,109.0,105.0,88.0,84.0,211.0,142.0,121.0,13740891.0,17737282.0,9301810.0,38043936.0,17322105.0,8233349.0,8618156.0,10294751.0,유,유,유,유,유,유,유,유,-22.9,감소
27,71.0,106.0,67.0,66.0,68.0,79.0,122.0,69.0,13917292.0,6647278.0,5079177.0,3025131.0,7979092.0,6177636.0,16520085.0,2676563.0,유,유,유,유,유,유,유,유,8.6,증가
28,165.0,267.0,161.0,198.0,96.0,206.0,183.0,112.0,725858.0,1360294.0,727736.0,1045876.0,719367.0,1423737.0,2146022.0,703179.0,유,유,유,유,유,유,유,유,49.5,증가
29,80.0,96.0,126.0,103.0,139.0,139.0,117.0,126.0,9903572.0,15992527.0,9838277.0,8447004.0,10089021.0,11125705.0,9700721.0,10886317.0,유,유,유,유,유,유,유,유,-1.0,감소
30,235.0,336.0,318.0,316.0,241.0,274.0,321.0,275.0,8080946.0,12676100.0,13713196.0,15783727.0,10455320.0,18052459.0,13829879.0,13393758.0,유,유,유,유,유,유,유,유,26.2,증가
31,100.0,112.0,101.0,127.0,120.0,140.0,156.0,139.0,1203752.0,1325301.0,2031523.0,2193655.0,1795593.0,1555353.0,1973146.0,1478313.0,유,유,유,유,유,유,유,유,24.2,증가
32,129.0,179.0,206.0,196.0,197.0,169.0,198.0,209.0,1298487.0,2541243.0,3355238.0,2114220.0,2234280.0,2491622.0,2912050.0,2714762.0,유,유,유,유,유,유,유,유,38.3,증가
33,276.0,305.0,286.0,238.0,302.0,330.0,378.0,289.0,1424455.0,1510802.0,1314383.0,926045.0,1281499.0,1336144.0,1783250.0,1094591.0,유,유,유,유,유,유,유,유,11.2,증가
34,136.0,199.0,140.0,172.0,127.0,91.0,53.0,30.0,1620119.0,3418494.0,1675306.0,2370261.0,1573266.0,2208345.0,1583825.0,810836.0,유,유,유,유,유,유,유,유,-1.1,감소
35,115.0,133.0,88.0,90.0,90.0,205.0,144.0,129.0,3823627.0,5317635.0,8557963.0,2814801.0,5763033.0,7017696.0,6177542.0,5929630.0,유,유,유,유,유,유,유,유,23.5,증가
36,71.0,170.0,131.0,87.0,80.0,112.0,158.0,151.0,4485008.0,9249829.0,5630078.0,5492854.0,1797514.0,9003347.0,6265667.0,2526877.0,유,유,유,유,유,유,유,유,16.6,증가
37,59.0,136.0,146.0,198.0,145.0,115.0,157.0,201.0,1908831.0,3399036.0,8876902.0,15414180.0,6855695.0,10699939.0,6741618.0,6244540.0,유,유,유,유,유,유,유,유,55.9,증가
38,266.0,291.0,368.0,371.0,357.0,334.0,355.0,338.0,2363203.0,2390852.0,3535191.0,2550901.0,2904403.0,2812577.0,3923796.0,3246174.0,유,유,유,유,유,유,유,유,24.8,증가
39,42.0,94.0,55.0,84.0,78.0,97.0,61.0,63.0,69258984.0,45340255.0,7627232.0,15962640.0,5817845.0,32040276.0,16538905.0,15078151.0,유,유,유,유,유,유,유,유,-61.4,감소
40,121.0,132.0,84.0,99.0,128.0,93.0,102.0,99.0,2282389.0,4356747.0,2185676.0,1879477.0,4425003.0,2938983.0,6227766.0,2489902.0,유,유,유,유,유,유,유,유,46.4,증가
41,67.0,81.0,65.0,72.0,110.0,101.0,144.0,75.0,1912322.0,3110153.0,1455532.0,2537715.0,3099863.0,2009021.0,2076099.0,2287682.0,유,유,유,유,유,유,유,유,4.1,증가
