°í°´¹øÈ£,A±¸¸ÅÈ½¼ö,B±¸¸ÅÈ½¼ö,C±¸¸ÅÈ½¼ö,D±¸¸ÅÈ½¼ö,AÃÑ±¸¸Å¾×,BÃÑ±¸¸Å¾×,CÃÑ±¸¸Å¾×,DÃÑ±¸¸Å¾×,A°´´Ü°¡,B°´´Ü°¡,C°´´Ü°¡,D°´´Ü°¡,A±¸¸ÅºñÀ²(%),B±¸¸ÅºñÀ²(%),C±¸¸ÅºñÀ²(%),D±¸¸ÅºñÀ²(%)
1,813.0,60.0,106.0,0.0,78803680.0,693372.0,899989.0,0.0,96929.49569495696,11556.2,8490.462264150943,0.0,82.86,9.87,7.25,0.0
2,961.0,16.0,0.0,20.0,91275153.0,207512.0,0.0,234491.0,94979.3475546306,12969.5,0.0,11724.55,79.37,10.83,0.0,9.79
3,1.0,2.0,1095.0,0.0,82407.0,7863.0,2946890.0,0.0,82407.0,3931.5,2691.2237442922374,0.0,92.56,4.41,3.02,0.0
4,572.0,117.0,134.0,0.0,13581812.0,1390052.0,740024.0,0.0,23744.42657342657,11880.786324786324,5522.567164179104,0.0,57.71,28.83,13.39,0.0
6,308.0,1027.0,39.0,0.0,13922922.0,7684815.0,516214.0,0.0,45204.292207792205,7482.77994157741,13236.25641025641,0.0,68.57,11.34,20.05,0.0
7,438.0,203.0,42.0,0.0,56810156.0,1795296.0,223806.0,0.0,129703.55251141552,8843.822660098522,5328.714285714285,0.0,90.15,6.14,3.7,0.0
8,1593.0,48.0,1.0,0.0,52745096.0,722249.0,4494.0,0.0,33110.54362837414,15046.854166666666,4494.0,0.0,62.89,28.54,8.52,0.0
9,580.0,1.0,35.0,0.0,189531053.0,9042.0,311580.0,0.0,326777.6775862069,9042.0,8902.285714285714,0.0,94.79,2.62,2.58,0.0
10,101.0,495.0,2482.0,2.0,4193488.0,2316579.0,10849113.0,25736.0,41519.68316831684,4679.957575757576,4371.117244157937,12868.0,65.45,7.37,6.88,20.26
11,609.0,45.0,54.0,0.0,113811528.0,527948.0,363751.0,0.0,186882.64039408867,11732.177777777775,6736.12962962963,0.0,91.01,5.71,3.28,0.0
12,68.0,274.0,0.0,85.0,3764942.0,1889545.0,0.0,168188.0,55366.794117647056,6896.149635036496,0.0,1978.6823529411763,86.19,10.72,0.0,3.08
13,338.0,2050.0,143.0,0.0,6298088.0,9441713.0,586378.0,0.0,18633.39644970414,4605.713658536585,4100.545454545455,0.0,68.16,16.8,14.95,0.0
14,534.0,206.0,457.0,0.0,28686435.0,2116488.0,2428294.0,0.0,53719.91573033708,10274.213592233007,5313.5536105032825,0.0,77.51,14.81,7.66,0.0
15,227.0,655.0,47.0,0.0,20025519.0,4395588.0,410628.0,0.0,88218.14537444933,6710.821374045801,8736.765957446809,0.0,85.1,6.47,8.42,0.0
16,475.0,45.0,0.0,0.0,9070669.0,320556.0,0.0,0.0,19096.14526315789,7123.466666666666,0.0,0.0,72.83,27.09,0.0,0.0
17,454.0,106.0,175.0,0.0,115182320.0,2539074.0,683269.0,0.0,253705.5506607929,23953.528301886792,3904.3942857142856,0.0,90.11,8.5,1.39,0.0
18,614.0,24.0,62.0,0.0,80750886.0,303749.0,320989.0,0.0,131516.1009771987,12656.208333333334,5177.241935483871,0.0,88.06,8.47,3.46,0.0
19,506.0,3.0,2.0,3.0,38445448.0,7113.0,10043.0,44486.0,75979.1462450593,2371.0,5021.5,14828.666666666666,77.37,2.41,5.11,15.09
20,937.0,1.0,4.0,0.0,20363522.0,10187.0,32932.0,0.0,21732.680896478123,10187.0,8233.0,0.0,54.13,25.34,20.46,0.0
21,3.0,1877.0,3.0,0.0,2409878.0,18465731.0,5639.0,0.0,803292.6666666666,9837.89611081513,1879.6666666666667,0.0,98.56,1.21,0.23,0.0
22,413.0,0.0,0.0,0.0,123966430.0,0.0,0.0,0.0,300160.8474576271,0.0,0.0,0.0,100.0,0.0,0.0,0.0
23,648.0,22.0,77.0,0.0,69933414.0,216509.0,424229.0,0.0,107921.93518518518,9841.318181818182,5509.467532467533,0.0,87.55,7.98,4.47,0.0
24,19.0,718.0,0.0,1.0,2534448.0,8258159.0,0.0,14641.0,133392.0,11501.614206128132,0.0,14641.0,83.61,7.21,0.0,9.17
25,382.0,16.0,98.0,0.0,31215430.0,275695.0,446512.0,0.0,81715.78534031413,17230.9375,4556.244897959184,0.0,78.95,16.64,4.4,0.0
