고객번호,편의품구매횟수,선매품구매횟수,전문품구매횟수,기타품구매횟수,편의품총구매액,선매품총구매액,전문품총구매액,기타품총구매액,편의품객단가,선매품객단가,전문품객단가,기타품객단가,편의품구매비율(%),선매품구매비율(%),전문품구매비율(%),기타품구매비율(%)
1,626.0,300.0,1.0,52.0,13674090.0,65199093.0,509218.0,1014640.0,21843.59424920128,217330.31,509218.0,19512.30769230769,2.93,29.13,68.25,2.62
2,716.0,260.0,5.0,16.0,19553459.0,69412816.0,1946464.0,804417.0,27309.300279329607,266972.3692307692,389292.8,50276.0625,3.87,37.79,55.1,7.11
3,1096.0,2.0,0.0,0.0,2924361.0,112799.0,0.0,0.0,2668.212591240876,56399.5,0.0,0.0,4.73,99.99,0.0,0.0
4,648.0,125.0,1.0,49.0,5170256.0,9696010.0,191459.0,654163.0,7978.79012345679,77568.08,191459.0,13350.265306122448,2.83,27.47,67.8,4.73
6,1160.0,158.0,5.0,51.0,9115844.0,11971079.0,343531.0,693497.0,7858.486206896552,75766.32278481012,68706.2,13597.980392156862,4.97,47.93,43.45,8.6
7,461.0,152.0,7.0,63.0,5113250.0,46123223.0,6684393.0,908392.0,11091.648590021692,303442.25657894736,954913.2857142856,14418.920634920634,0.87,23.84,75.02,1.13
8,1458.0,120.0,3.0,61.0,25860387.0,25243870.0,145849.0,2221733.0,17736.89094650206,210365.5833333333,48616.333333333336,36421.8524590164,6.0,71.21,16.45,12.33
9,220.0,382.0,6.0,8.0,5202792.0,180685020.0,2765385.0,1198478.0,23649.054545454543,472997.43455497385,460897.5,149809.75,2.18,43.65,42.53,13.82
10,3003.0,55.0,1.0,21.0,13565238.0,3089551.0,367741.0,362386.0,4517.228771228772,56173.65454545455,367741.0,17256.47619047619,1.02,12.73,83.35,3.91
11,502.0,185.0,3.0,18.0,12884732.0,99188338.0,1909524.0,720633.0,25666.79681274901,536153.1783783784,636508.0,40035.16666666666,2.12,44.21,52.49,3.3
12,412.0,15.0,0.0,0.0,2839984.0,2982691.0,0.0,0.0,6893.165048543689,198846.06666666668,0.0,0.0,3.47,100.0,0.0,0.0
13,2369.0,59.0,1.0,102.0,12199275.0,3243840.0,36409.0,846655.0,5149.5462220346135,54980.338983050846,36409.0,8300.539215686274,5.17,55.15,36.5,8.32
14,923.0,166.0,7.0,101.0,8642835.0,18223545.0,2801672.0,3563165.0,9363.851570964249,109780.39156626504,400238.8571428572,35278.86138613861,1.72,20.13,73.4,6.47
15,778.0,134.0,0.0,17.0,6347307.0,18278953.0,0.0,205475.0,8158.4922879177375,136410.09701492538,0.0,12086.764705882351,5.49,91.86,0.0,8.13
16,485.0,29.0,1.0,5.0,7895732.0,1382869.0,32170.0,80454.0,16279.859793814432,47685.137931034486,32170.0,16090.8,16.97,49.69,33.51,16.75
17,556.0,137.0,7.0,35.0,53112460.0,50891898.0,7634667.0,6765638.0,95526.0071942446,371473.70802919706,1090666.7142857143,193303.9428571429,5.77,22.44,65.88,11.68
18,438.0,215.0,1.0,46.0,5197339.0,73665605.0,451950.0,2060730.0,11866.070776255709,342630.7209302325,451950.0,44798.47826086957,1.41,40.82,53.84,5.34
19,432.0,77.0,3.0,2.0,14436955.0,23749640.0,283618.0,36877.0,33418.87731481482,308436.8831168831,94539.33333333331,18438.5,7.93,73.19,22.43,4.37
20,878.0,53.0,0.0,11.0,15950203.0,4349467.0,0.0,106971.0,18166.518223234623,82065.41509433962,0.0,9724.636363636364,19.79,89.39,0.0,10.58
21,1775.0,61.0,2.0,45.0,15192143.0,5167368.0,35657.0,486080.0,8558.9538028169,84710.95081967213,17828.5,10801.777777777776,7.55,74.73,15.72,9.52
22,236.0,38.0,17.0,122.0,4561496.0,24167050.0,89560858.0,5677026.0,19328.37288135593,635975.0,5268285.764705882,46533.0,0.32,10.69,88.53,0.78
23,501.0,173.0,8.0,65.0,19933936.0,41225010.0,7521221.0,1893985.0,39788.29540918164,238294.85549132948,940152.625,29138.23076923077,3.29,19.73,77.85,2.41
24,629.0,72.0,2.0,35.0,5827372.0,4072537.0,391432.0,515907.0,9264.50238473768,56563.01388888889,195716.0,14740.2,3.47,21.18,73.29,5.52
25,267.0,162.0,11.0,56.0,2373643.0,26199742.0,1993517.0,1370735.0,8890.048689138577,161726.80246913582,181228.81818181815,24477.410714285717,2.42,44.02,49.32,6.66
26,554.0,257.0,26.0,56.0,7783913.0,91181686.0,12842176.0,1189754.0,14050.384476534296,354792.55252918287,493929.8461538461,21245.60714285714,1.62,40.78,56.77,2.44
