,°í°´¹øÈ£,±â_ÃÑ±¸¸Å¾×1,±â_ÃÑ±¸¸Å¾×2,±â_ÃÑ±¸¸Å¾×3,±â_ÃÑ±¸¸Å¾×4,±â_ÃÑ±¸¸Å¾×5,±â_ÃÑ±¸¸Å¾×6,±â_ÃÑ±¸¸Å¾×7,±â_ÃÑ±¸¸Å¾×8
0,1,3,3,4,3,4,3,3,3
1,2,4,2,4,0,2,2,3,4
2,3,0,0,0,0,0,0,0,0
3,4,2,3,3,2,4,4,3,4
4,6,4,3,3,3,3,3,3,3
5,7,4,4,4,3,3,2,3,4
6,8,4,4,4,4,4,3,4,4
7,9,2,0,0,0,4,4,3,3
8,10,1,3,3,0,3,2,2,3
9,11,4,3,4,3,2,3,3,3
10,12,0,0,0,0,0,0,0,0
11,13,2,3,3,3,4,4,4,3
12,14,2,4,4,4,4,4,4,4
13,15,0,1,2,3,3,2,3,2
14,16,0,0,0,2,0,2,2,2
15,17,4,4,3,1,0,4,4,4
16,18,4,4,4,2,4,4,4,4
17,19,0,2,0,0,0,0,0,0
18,20,2,2,0,2,2,2,2,2
19,21,0,0,0,3,2,4,4,3
20,22,3,4,4,4,4,4,4,4
21,23,4,4,3,4,4,4,4,3
22,24,0,3,3,3,2,3,3,4
23,25,3,3,4,4,4,3,3,4
24,26,4,3,4,4,3,4,3,3
25,27,2,3,2,2,2,0,3,3
26,28,0,0,0,2,1,1,0,0
27,29,2,3,4,3,3,0,3,1
28,30,0,2,4,4,4,3,3,3
29,31,2,4,4,3,4,4,4,3
30,32,2,3,4,2,2,2,3,4
31,33,3,0,0,1,1,2,2,0
32,34,3,3,3,2,3,4,2,0
33,35,4,4,4,3,4,4,3,3
34,36,0,3,3,4,4,4,4,4
35,37,2,3,4,4,4,4,4,4
36,38,4,4,4,4,4,4,3,3
37,39,1,3,4,3,4,3,3,3
38,40,0,3,3,2,0,2,1,3
39,41,4,4,4,4,4,4,4,4
40,42,0,2,0,1,0,2,2,2
41,43,0,1,0,0,0,0,0,0
42,44,1,3,0,3,3,2,3,4
43,45,1,2,2,4,4,4,4,4
44,46,3,3,4,4,4,4,4,4
45,47,3,3,4,0,3,3,3,3
46,48,1,4,2,3,4,2,2,2
47,49,4,4,4,4,4,4,4,4
48,50,4,2,4,3,3,3,4,4
49,51,0,0,3,1,2,2,1,2
50,52,4,4,4,4,4,4,4,4
51,53,0,2,3,4,3,4,4,4
52,54,3,3,4,3,3,3,3,3
53,55,0,0,0,3,4,0,2,0
54,56,4,4,4,4,4,4,4,4
55,57,0,0,0,3,0,0,0,0
56,58,4,4,4,3,4,4,4,4
57,59,4,3,3,3,4,4,0,4
58,60,2,2,3,3,3,3,4,3
59,61,2,3,0,1,2,0,0,2
60,62,4,4,4,4,4,4,4,4
61,63,2,1,2,0,0,2,0,0
62,64,0,0,1,2,0,2,0,2
63,65,2,2,3,2,4,4,3,0
64,66,2,2,2,3,3,3,4,3
65,67,0,0,0,1,1,1,0,2
66,68,4,4,4,4,4,4,4,4
67,69,0,0,0,0,0,0,0,0
68,70,4,4,4,4,4,2,3,2
69,71,1,0,2,2,3,2,2,1
70,72,0,1,2,0,4,2,2,0
71,73,0,4,4,0,1,2,4,2
72,74,4,3,4,4,4,3,3,4
73,75,1,3,2,0,2,0,2,3
74,76,2,2,2,2,2,2,4,3
75,77,3,3,4,4,4,4,3,2
76,78,4,3,4,4,4,4,4,4
77,79,3,3,4,3,4,3,3,4
78,80,3,2,3,3,3,3,3,3
79,81,4,4,4,4,4,4,4,4
80,82,3,4,4,3,4,4,4,3
81,83,4,4,4,4,3,4,4,4
82,84,3,4,3,3,3,3,2,4
83,85,0,0,0,0,4,0,4,2
84,86,1,0,0,3,3,2,3,3
85,87,4,4,4,3,4,4,3,3
86,88,2,4,4,4,4,4,4,4
87,89,3,1,3,3,2,2,3,4
88,90,4,4,4,4,3,4,4,4
89,91,0,2,3,3,2,3,3,3
90,92,3,2,3,4,3,4,4,4
91,93,4,4,4,2,4,4,4,3
92,94,0,0,4,4,0,3,2,4
93,95,2,0,1,2,2,2,2,2
94,96,2,3,4,0,3,3,4,3
95,97,4,3,4,4,3,4,4,4
96,98,2,4,2,2,3,3,3,3
97,99,4,4,4,4,4,4,4,4
98,100,3,0,3,3,1,3,4,0
99,101,2,2,3,2,3,1,3,2
100,102,2,2,2,3,3,2,2,1
101,103,2,0,3,2,0,0,0,0
102,104,0,0,0,3,1,2,2,2
103,105,0,0,3,1,4,4,4,3
104,106,3,4,2,4,3,3,3,3
105,107,4,4,3,3,3,4,0,2
106,108,3,0,2,4,2,3,3,3
107,109,3,0,3,0,0,0,0,0
108,110,4,4,4,4,4,3,4,3
109,111,0,0,0,0,0,1,0,1
110,112,4,0,2,3,3,3,4,2
111,113,4,4,4,4,3,4,4,3
112,114,2,3,2,3,3,2,2,3
113,115,2,2,3,3,3,4,2,1
114,116,0,0,0,0,0,0,0,0
115,117,4,4,4,3,4,4,3,3
116,118,3,2,3,4,2,3,3,2
117,119,4,4,4,3,4,2,3,3
118,120,3,4,2,4,2,4,4,2
119,121,4,4,4,4,4,4,4,4
120,122,4,4,4,4,4,4,4,4
121,123,0,0,2,0,3,0,2,3
122,124,4,3,3,3,3,3,2,2
123,125,4,4,4,3,4,4,3,4
124,126,3,1,2,3,2,2,0,2
125,127,3,4,4,4,4,4,4,3
126,128,0,0,0,1,2,2,3,0
127,129,0,0,0,1,0,0,1,2
128,130,2,1,4,2,0,2,2,2
129,131,2,4,3,3,4,4,2,3
130,132,0,0,0,2,3,1,0,1
131,133,4,3,4,3,4,4,4,4
132,134,0,3,3,2,3,3,2,0
133,135,2,0,0,0,0,3,2,3
134,136,2,3,4,4,3,4,4,4
