,고객번호,기_총구매액1,기_총구매액2,기_총구매액3,기_총구매액4,기_총구매액5,기_총구매액6,기_총구매액7,기타_증감율,기타_변동율,기_(증감*0.8)+(변동*0.2)
0,1,3,3,4,3,4,3,3,0,4,0.8
1,2,4,2,4,0,2,2,3,-1,11,1.4
2,3,0,0,0,0,0,0,0,0,0,0
3,4,2,3,3,2,4,4,3,1,5,1.8
4,6,4,3,3,3,3,3,3,-1,1,-0.6
5,7,4,4,4,3,3,2,3,-1,3,-0.2
6,8,4,4,4,4,4,3,4,0,2,0.4
7,9,2,0,0,0,4,4,3,1,7,2.2
8,10,1,3,3,0,3,2,2,1,9,2.6
9,11,4,3,4,3,2,3,3,-1,5,0.2
10,12,0,0,0,0,0,0,0,0,0,0
11,13,2,3,3,3,4,4,4,2,2,2
12,14,2,4,4,4,4,4,4,2,2,2
13,15,0,1,2,3,3,2,3,3,5,3.4
14,16,0,0,0,2,0,2,2,2,6,2.8
15,17,4,4,3,1,0,4,4,0,8,1.6
16,18,4,4,4,2,4,4,4,0,4,0.8
17,19,0,2,0,0,0,0,0,0,4,0.8
18,20,2,2,0,2,2,2,2,0,4,0.8
19,21,0,0,0,3,2,4,4,4,6,4.4
20,22,3,4,4,4,4,4,4,1,1,1
21,23,4,4,3,4,4,4,4,0,2,0.4
22,24,0,3,3,3,2,3,3,3,5,3.4
23,25,3,3,4,4,4,3,3,0,2,0.4
24,26,4,3,4,4,3,4,3,-1,5,0.2
25,27,2,3,2,2,2,0,3,1,7,2.2
26,28,0,0,0,2,1,1,0,0,4,0.8
27,29,2,3,4,3,3,0,3,1,9,2.6
28,30,0,2,4,4,4,3,3,3,5,3.4
29,31,2,4,4,3,4,4,4,2,4,2.4
30,32,2,3,4,2,2,2,3,1,5,1.8
31,33,3,0,0,1,1,2,2,-1,5,0.2
32,34,3,3,3,2,3,4,2,-1,5,0.2
33,35,4,4,4,3,4,4,3,-1,3,-0.2
34,36,0,3,3,4,4,4,4,4,4,4
35,37,2,3,4,4,4,4,4,2,2,2
36,38,4,4,4,4,4,4,3,-1,1,-0.6
37,39,1,3,4,3,4,3,3,2,6,2.8
38,40,0,3,3,2,0,2,1,1,9,2.6
39,41,4,4,4,4,4,4,4,0,0,0
40,42,0,2,0,1,0,2,2,2,8,3.2
41,43,0,1,0,0,0,0,0,0,2,0.4
42,44,1,3,0,3,3,2,3,2,10,3.6
43,45,1,2,2,4,4,4,4,3,3,3
44,46,3,3,4,4,4,4,4,1,1,1
45,47,3,3,4,0,3,3,3,0,8,1.6
46,48,1,4,2,3,4,2,2,1,9,2.6
47,49,4,4,4,4,4,4,4,0,0,0
48,50,4,2,4,3,3,3,4,0,6,1.2
49,51,0,0,3,1,2,2,1,1,7,2.2
50,52,4,4,4,4,4,4,4,0,0,0
51,53,0,2,3,4,3,4,4,4,6,4.4
52,54,3,3,4,3,3,3,3,0,2,0.4
53,55,0,0,0,3,4,0,2,2,10,3.6
54,56,4,4,4,4,4,4,4,0,0,0
55,57,0,0,0,3,0,0,0,0,6,1.2
