,°í°´¹øÈ£,±â_ÃÑ±¸¸Å¾×1,±â_ÃÑ±¸¸Å¾×2,±â_ÃÑ±¸¸Å¾×3,±â_ÃÑ±¸¸Å¾×4,±â_ÃÑ±¸¸Å¾×5,±â_ÃÑ±¸¸Å¾×6,±â_ÃÑ±¸¸Å¾×7,±â_ÃÑ±¸¸Å¾×8,±â_ÃÑ±¸¸ÅÈ½¼ö1,±â_ÃÑ±¸¸ÅÈ½¼ö2,±â_ÃÑ±¸¸ÅÈ½¼ö3,±â_ÃÑ±¸¸ÅÈ½¼ö4,±â_ÃÑ±¸¸ÅÈ½¼ö5,±â_ÃÑ±¸¸ÅÈ½¼ö6,±â_ÃÑ±¸¸ÅÈ½¼ö7,±â_ÃÑ±¸¸ÅÈ½¼ö8
0,1,116561.0,58509.0,245847.0,102606.0,241686.0,118225.0,131206.0,77171.0,5.0,2.0,11.0,7.0,13.0,7.0,7.0,5.0
1,2,380141.0,35847.0,218618.0,0.0,34184.0,37532.0,98095.0,157730.0,1.0,1.0,5.0,0.0,1.0,4.0,4.0,5.0
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,12793.0,89617.0,86770.0,26605.0,160907.0,148518.0,128953.0,166239.0,1.0,6.0,4.0,4.0,10.0,13.0,11.0,12.0
4,6,149086.0,101257.0,99309.0,77598.0,85965.0,87932.0,92350.0,61968.0,11.0,7.0,8.0,10.0,6.0,5.0,4.0,4.0
5,7,203975.0,211414.0,173729.0,103847.0,127836.0,39162.0,48429.0,164751.0,14.0,13.0,10.0,10.0,9.0,3.0,4.0,9.0
6,8,375517.0,169037.0,471243.0,308938.0,428107.0,95007.0,373884.0,308519.0,11.0,5.0,9.0,9.0,11.0,8.0,8.0,10.0
7,9,12694.0,0.0,0.0,0.0,487576.0,575224.0,122984.0,61968.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0
8,10,4428.0,118048.0,101661.0,0.0,82627.0,32760.0,22862.0,91051.0,1.0,3.0,4.0,0.0,6.0,3.0,4.0,3.0
9,11,142639.0,66059.0,260567.0,74051.0,28348.0,45918.0,103051.0,46806.0,2.0,1.0,4.0,4.0,1.0,2.0,4.0,3.0
10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13,35132.0,71024.0,64908.0,76004.0,217081.0,209742.0,172764.0,70888.0,4.0,4.0,4.0,15.0,23.0,26.0,26.0,16.0
12,14,18501.0,394010.0,349223.0,474634.0,663550.0,690480.0,972767.0,317357.0,2.0,12.0,15.0,17.0,16.0,16.0,23.0,12.0
13,15,0.0,6799.0,38639.0,43544.0,45410.0,17587.0,53496.0,23052.0,0.0,1.0,2.0,3.0,4.0,2.0,5.0,2.0
14,16,0.0,0.0,0.0,26428.0,0.0,23055.0,30971.0,40486.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0
15,17,485435.0,5001769.0,44966.0,3991.0,0.0,149152.0,1080325.0,1763554.0,10.0,6.0,1.0,1.0,0.0,6.0,11.0,32.0
16,18,282375.0,678528.0,158557.0,25275.0,388936.0,289425.0,237634.0,148888.0,6.0,6.0,5.0,1.0,13.0,8.0,7.0,5.0
17,19,0.0,36877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
18,20,17221.0,25752.0,0.0,31394.0,10619.0,10723.0,11262.0,25614.0,2.0,2.0,0.0,4.0,1.0,1.0,1.0,2.0
19,21,0.0,0.0,0.0,86287.0,18609.0,222726.0,158458.0,105262.0,0.0,0.0,0.0,9.0,4.0,11.0,21.0,8.0
20,22,130092.0,270377.0,438591.0,1207634.0,1687737.0,1523074.0,419521.0,1596370.0,11.0,11.0,8.0,27.0,31.0,25.0,9.0,35.0
21,23,278488.0,143748.0,136707.0,473569.0,340325.0,230018.0,291130.0,81797.0,10.0,8.0,5.0,15.0,15.0,7.0,5.0,3.0
22,24,0.0,122580.0,72138.0,89924.0,25790.0,135761.0,69714.0,287201.0,0.0,2.0,1.0,14.0,7.0,9.0,2.0,4.0
23,25,126155.0,97849.0,492653.0,144217.0,324542.0,106483.0,78836.0,248946.0,8.0,5.0,14.0,3.0,16.0,7.0,3.0,16.0
24,26,217724.0,108984.0,160433.0,142250.0,121464.0,315803.0,123096.0,138345.0,10.0,7.0,7.0,7.0,7.0,10.0,8.0,6.0
