,고객번호,편의품_증감율,편의품_변동율,편_(증감*0.8)+(변동*0.2),편의품CV,선매품_증감율,선매품_변동율,선_(증감*0.8)+(변동*0.2),선매품CV,전문품_증감율,전문품_변동율,전_(증감*0.8)+(변동*0.2),전문품CV,기타_증감율,기타_변동율,기_(증감*0.8)+(변동*0.2),기타CV
0,1,-2,4,-0.8,0.42323143329360013,0,0,0.0,0.4158634401003924,0,12,2.4,1.356745484415778,0,4,0.8,0.49197953433039365
1,2,0,0,0.0,0.40496295788901837,0,0,0.0,0.39541715823725654,0,6,1.2,2.0995851830737644,-1,11,1.4,1.1960301756374943
2,3,0,2,0.4,0.35523206477954666,0,2,0.4,1.945494834617704,0,0,0.0,0.0,0,0,0.0,0.0
3,4,0,2,0.4,0.26752192437541383,1,3,1.4,0.539876235375724,3,3,3.0,2.6457513110645907,1,5,1.8,0.6158948214119893
4,6,1,11,3.0,0.33667984766466796,0,0,0.0,0.25550891732216746,3,7,3.8,1.2825995375563424,-1,1,-0.6,0.23702249429026767
5,7,1,3,1.4,0.2617586588604808,-1,3,-0.2,0.578907445908898,3,11,4.6,2.358061615102362,-1,3,-0.2,0.5413051082230538
6,8,0,0,0.0,0.28025262313219296,0,0,0.0,0.31721500812868125,3,3,3.0,1.5567226554987774,0,2,0.4,0.4343570797408998
7,9,2,2,2.0,0.9344351971809955,0,0,0.0,0.5186974940787609,3,9,4.2,1.5356453764747706,1,7,2.2,1.4673836718300888
8,10,0,0,0.0,0.06725676963910605,0,4,0.8,0.6335374025066769,0,6,1.2,2.6457513110645907,1,9,2.6,0.9314871413845964
9,11,0,8,1.6,0.23440060355491743,-1,3,-0.2,0.5779942548121408,-3,19,1.4,1.6731120624947833,-1,5,0.2,0.7672430831066357
10,12,0,2,0.4,0.47494682620184575,1,9,2.6,1.606703999646878,0,0,0.0,0.0,0,0,0.0,0.0
11,13,1,1,1.0,0.17877781966698816,0,2,0.4,0.3414629230646208,0,4,0.8,2.6457513110645903,2,2,2.0,0.629913032391287
12,14,-1,3,-0.2,0.3197123974444598,-1,3,-0.2,0.4363094207398986,2,4,2.4,1.5555029130783027,2,2,2.0,0.5961040090489585
13,15,1,5,1.8,0.2719491068850939,-2,6,-0.4,0.6905958515789197,0,0,0.0,0.0,3,5,3.4,0.7142040348610628
14,16,1,5,1.8,0.4825831138985005,2,2,2.0,0.6441230162767605,0,4,0.8,2.6457513110645907,2,6,2.8,1.2630810742868892
15,17,0,12,2.4,1.023505249687373,0,0,0.0,0.5716579160507693,3,11,4.6,1.6191884239162593,0,8,1.6,1.8845225501804126
16,18,-1,3,-0.2,0.4835193766351607,-1,5,0.2,1.4033677838719845,0,6,1.2,2.645751311064591,0,4,0.8,0.6944396575008115
17,19,0,2,0.4,0.30869670997204923,0,4,0.8,0.4933230211412758,0,12,2.4,1.8379733268550273,0,4,0.8,2.6457513110645907
18,20,-1,1,-0.6,0.17825726517910992,0,4,0.8,0.54857850339572,0,0,0.0,0.0,0,4,0.8,0.6890236938400434
19,21,1,1,1.0,0.25419424221536485,-1,3,-0.2,0.6742865646399293,0,8,1.6,1.71921999579891,4,6,4.4,1.2981368519862064
20,22,0,0,0.0,0.3642340968188041,-1,5,0.2,0.6007707498032441,-4,4,-2.4,0.8286480622335608,1,1,1.0,0.7928758463403099
