,°í°´¹øÈ£,¼±_ÃÑ±¸¸Å¾×1,¼±_ÃÑ±¸¸Å¾×2,¼±_ÃÑ±¸¸Å¾×3,¼±_ÃÑ±¸¸Å¾×4,¼±_ÃÑ±¸¸Å¾×5,¼±_ÃÑ±¸¸Å¾×6,¼±_ÃÑ±¸¸Å¾×7,¼±_ÃÑ±¸¸Å¾×8,¼±_ÃÑ±¸¸ÅÈ½¼ö1,¼±_ÃÑ±¸¸ÅÈ½¼ö2,¼±_ÃÑ±¸¸ÅÈ½¼ö3,¼±_ÃÑ±¸¸ÅÈ½¼ö4,¼±_ÃÑ±¸¸ÅÈ½¼ö5,¼±_ÃÑ±¸¸ÅÈ½¼ö6,¼±_ÃÑ±¸¸ÅÈ½¼ö7,¼±_ÃÑ±¸¸ÅÈ½¼ö8
0,1,7592379.0,9984829.0,9257433.0,18457501.0,6811013.0,7525785.0,8083520.0,3380893.0,42.0,52.0,46.0,55.0,42.0,31.0,38.0,26.0
1,2,10529863.0,7865366.0,11660595.0,4119667.0,15054795.0,6686785.0,13785156.0,8109973.0,44.0,34.0,37.0,21.0,51.0,32.0,43.0,30.0
2,3,0.0,82407.0,30392.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,4,589616.0,2729264.0,2033611.0,1194194.0,770078.0,1072661.0,1334831.0,659321.0,9.0,32.0,23.0,17.0,10.0,17.0,18.0,14.0
4,6,843730.0,1897009.0,1718888.0,1525873.0,2029389.0,2178676.0,1777514.0,1540651.0,9.0,31.0,24.0,25.0,17.0,27.0,25.0,37.0
5,7,9672833.0,2298466.0,3982968.0,6529895.0,8253493.0,11890704.0,2380001.0,11266992.0,25.0,25.0,17.0,24.0,25.0,20.0,17.0,13.0
6,8,4427167.0,3081278.0,4247908.0,8015358.0,4153085.0,4947082.0,5204421.0,5625541.0,17.0,23.0,13.0,21.0,22.0,22.0,29.0,29.0
7,9,13975249.0,24348988.0,18443563.0,18279020.0,54211368.0,29644129.0,22569118.0,15494300.0,18.0,77.0,72.0,78.0,51.0,59.0,27.0,61.0
8,10,533358.0,306967.0,376227.0,36892.0,935263.0,574238.0,326606.0,65273.0,9.0,7.0,6.0,5.0,8.0,13.0,7.0,1.0
9,11,9429582.0,13776505.0,9786840.0,9849441.0,1327709.0,8813479.0,1962286.0,14376527.0,31.0,38.0,34.0,42.0,8.0,37.0,8.0,39.0
10,12,404054.0,0.0,274544.0,43455.0,0.0,328029.0,1932609.0,520530.0,4.0,0.0,2.0,1.0,0.0,4.0,4.0,1.0
11,13,334974.0,702211.0,223250.0,510330.0,407010.0,488558.0,577507.0,124910.0,8.0,16.0,2.0,10.0,6.0,9.0,8.0,5.0
12,14,2812263.0,3122902.0,3540142.0,1060389.0,4343574.0,2267894.0,1438194.0,1047504.0,20.0,42.0,34.0,19.0,16.0,25.0,13.0,14.0
13,15,3024129.0,5071598.0,2200527.0,387858.0,2490196.0,4734115.0,582374.0,526107.0,28.0,26.0,21.0,7.0,20.0,24.0,9.0,10.0
14,16,105688.0,112280.0,370013.0,289730.0,476653.0,194094.0,658787.0,391471.0,2.0,4.0,9.0,5.0,8.0,4.0,7.0,5.0
15,17,3941280.0,13580452.0,3670522.0,5419517.0,3702455.0,7786704.0,11604269.0,3968727.0,24.0,22.0,8.0,20.0,15.0,18.0,27.0,21.0
16,18,39455333.0,19614718.0,12353066.0,388436.0,963215.0,297575.0,804691.0,180945.0,76.0,68.0,46.0,8.0,10.0,3.0,13.0,5.0
17,19,2822843.0,3063281.0,1373689.0,4446508.0,1594505.0,5940905.0,4726737.0,2843448.0,9.0,14.0,6.0,13.0,7.0,15.0,16.0,12.0
18,20,1290687.0,1385982.0,471129.0,56757.0,1670964.0,1566799.0,1209458.0,1539692.0,14.0,14.0,9.0,3.0,11.0,14.0,16.0,21.0
19,21,809876.0,400084.0,461416.0,261528.0,1305359.0,1529856.0,399249.0,428502.0,5.0,7.0,9.0,10.0,3.0,16.0,11.0,18.0
20,22,3220026.0,5992454.0,574564.0,6613306.0,2758980.0,4450696.0,1839301.0,1344577.0,3.0,9.0,3.0,8.0,8.0,8.0,3.0,2.0
21,23,4757926.0,6865928.0,6050635.0,13850577.0,5953414.0,6586220.0,8984276.0,3301449.0,17.0,32.0,27.0,53.0,22.0,23.0,35.0,24.0
22,24,499900.0,632214.0,1197146.0,850033.0,704147.0,473867.0,779463.0,554735.0,6.0,12.0,11.0,15.0,10.0,5.0,18.0,9.0
23,25,798167.0,2485218.0,2297928.0,858681.0,10083935.0,7511371.0,2361499.0,12303628.0,7.0,24.0,18.0,9.0,54.0,42.0,9.0,57.0
24,26,10770713.0,13699458.0,4630836.0,35448470.0,13411552.0,5693615.0,7227033.0,7198217.0,40.0,45.0,33.0,34.0,30.0,41.0,33.0,27.0
