,°í°´¹øÈ£,¼±_ÃÑ±¸¸Å¾×1,¼±_ÃÑ±¸¸Å¾×2,¼±_ÃÑ±¸¸Å¾×3,¼±_ÃÑ±¸¸Å¾×4,¼±_ÃÑ±¸¸Å¾×5,¼±_ÃÑ±¸¸Å¾×6,¼±_ÃÑ±¸¸Å¾×7,¼±_ÃÑ±¸¸Å¾×8
0,1,4,4,4,4,4,4,4,4
1,2,4,4,4,4,4,4,4,4
2,3,0,1,1,0,0,0,0,0
3,4,2,4,3,3,3,3,3,3
4,6,3,3,3,3,3,3,3,3
5,7,4,3,4,4,4,4,3,4
6,8,4,4,4,4,4,4,4,4
7,9,4,4,4,4,4,4,4,4
8,10,2,2,2,1,3,2,2,1
9,11,4,4,4,4,3,4,3,4
10,12,2,0,2,1,0,2,3,2
11,13,2,3,2,2,2,2,2,1
12,14,4,4,4,3,4,3,3,3
13,15,4,4,3,2,3,4,2,2
14,16,1,1,2,2,2,2,3,2
15,17,4,4,4,4,4,4,4,4
16,18,4,4,4,2,3,2,3,2
17,19,4,4,3,4,3,4,4,4
18,20,3,3,2,1,3,3,3,3
19,21,3,2,2,2,3,3,2,2
20,22,4,4,2,4,4,4,3,3
21,23,4,4,4,4,4,4,4,4
22,24,2,3,3,3,3,2,3,2
23,25,3,3,3,3,4,4,3,4
24,26,4,4,4,4,4,4,4,4
25,27,4,4,4,3,4,4,4,3
26,28,1,2,1,1,1,2,3,2
27,29,4,4,4,4,4,4,4,4
28,30,4,4,4,4,4,4,4,4
29,31,2,2,3,3,3,2,3,3
30,32,1,3,2,2,2,1,2,2
31,33,1,2,1,1,0,1,1,2
32,34,2,3,2,2,2,3,3,1
33,35,3,4,3,3,4,4,4,4
34,36,4,4,4,4,2,4,4,3
35,37,3,3,4,4,4,4,4,4
36,38,2,2,2,2,2,2,3,3
37,39,4,4,4,4,4,4,4,4
38,40,3,4,3,3,4,3,4,3
39,41,2,3,2,3,3,2,2,3
40,42,2,2,2,1,2,2,2,3
41,43,2,1,0,3,1,1,1,1
42,44,3,3,3,4,4,3,2,3
43,45,4,3,4,4,4,4,4,4
44,46,3,3,2,4,4,4,4,4
45,47,3,3,3,2,2,2,2,2
46,48,4,4,4,4,4,4,4,4
47,49,4,4,4,4,4,4,4,4
48,50,3,3,3,3,3,3,3,3
49,51,3,3,3,4,2,3,2,3
50,52,4,4,3,3,3,3,3,3
51,53,3,4,3,4,4,4,3,3
52,54,3,3,2,2,2,2,2,2
53,55,1,0,2,1,0,0,1,0
54,56,4,4,3,4,4,4,3,4
55,57,0,0,1,0,1,0,0,1
56,58,3,3,3,4,3,3,3,4
57,59,3,4,3,3,3,3,3,3
58,60,3,3,3,3,3,3,3,4
59,61,4,3,3,3,3,3,3,3
60,62,2,4,3,3,3,3,3,3
61,63,0,2,1,1,2,2,2,1
62,64,1,1,0,1,0,0,1,1
63,65,3,3,4,2,3,3,2,3
64,66,3,2,2,2,2,2,2,2
65,67,0,2,1,2,1,2,1,1
66,68,3,4,4,4,4,3,4,3
67,69,1,1,1,0,0,0,1,0
68,70,1,2,4,3,3,2,3,3
69,71,0,0,1,1,2,0,1,0
70,72,2,2,3,1,2,2,2,2
71,73,4,4,4,4,4,4,4,4
72,74,4,4,4,3,3,3,2,3
73,75,1,2,1,1,1,1,1,1
74,76,2,3,2,3,2,3,3,3
75,77,3,4,3,3,3,4,3,4
76,78,4,4,4,4,4,4,4,4
77,79,2,3,2,3,2,3,2,2
78,80,1,2,2,2,2,3,1,3
79,81,4,4,4,4,4,4,3,4
80,82,4,4,4,4,4,4,4,4
81,83,4,4,4,4,4,4,4,4
82,84,4,3,4,3,4,4,3,3
83,85,2,2,2,3,3,3,3,3
84,86,3,4,3,4,3,3,4,4
85,87,4,4,2,4,4,3,3,3
86,88,3,4,4,4,4,4,3,4
87,89,2,3,3,2,3,2,2,2
88,90,3,3,3,4,3,4,4,4
89,91,2,2,2,2,3,2,3,1
90,92,4,4,4,4,4,4,4,4
91,93,4,4,4,4,4,4,4,4
92,94,1,0,3,4,4,4,4,4
93,95,2,1,1,3,2,1,2,2
94,96,3,4,3,3,3,2,3,3
95,97,4,4,4,4,4,4,4,4
96,98,2,2,3,3,4,2,3,2
97,99,4,4,4,4,4,4,4,4
98,100,2,4,4,4,3,3,3,1
99,101,3,0,1,1,2,2,1,0
100,102,4,4,4,4,3,4,3,4
101,103,1,1,2,0,1,0,1,0
102,104,1,1,1,3,1,2,1,1
103,105,1,2,3,2,2,2,3,2
104,106,4,4,4,4,3,4,4,4
105,107,4,4,4,4,4,4,4,4
106,108,3,3,3,3,2,3,3,3
107,109,1,0,2,1,0,1,1,1
108,110,3,3,4,3,3,3,3,3
109,111,1,1,1,0,0,1,1,0
110,112,4,4,4,4,4,4,4,4
111,113,4,4,4,4,4,4,4,4
112,114,2,4,4,3,3,4,2,3
113,115,3,3,4,4,4,3,3,4
114,116,2,1,1,2,1,2,1,2
115,117,4,2,4,4,3,3,2,3
116,118,4,4,4,4,4,4,4,4
117,119,3,4,4,4,4,3,4,3
118,120,4,4,4,4,4,4,4,4
119,121,3,3,1,3,4,2,3,3
120,122,3,4,3,3,4,4,4,4
121,123,1,2,1,2,2,1,2,1
122,124,4,3,4,4,3,4,3,4
123,125,3,2,2,2,2,3,1,3
124,126,4,2,2,4,4,4,3,4
125,127,2,2,3,1,2,0,1,2
126,128,2,2,2,1,1,2,2,1
127,129,1,2,0,1,1,1,1,1
128,130,4,4,4,4,4,4,3,3
129,131,3,4,3,3,3,3,3,3
130,132,2,1,2,2,2,3,2,3
131,133,1,2,3,3,3,3,3,4
132,134,4,4,4,4,4,4,4,4
133,135,1,4,3,1,2,2,3,1
134,136,0,3,4,4,2,4,3,4
135,137,4,4,4,3,4,4,4,3
136,138,4,4,4,4,4,4,3,4
137,139,3,4,4,4,3,3,4,4
138,140,4,4,4,4,4,4,4,4
139,141,1,1,1,1,1,1,0,0
140,143,1,1,1,1,1,2,1,1
141,144,0,3,4,2,1,1,4,1
142,145,4,4,4,4,4,4,4,4
143,146,4,4,4,4,4,4,3,4
144,147,4,4,4,4,4,4,3,4
145,148,0,0,1,0,0,0,0,0
146,149,3,3,4,4,2,4,3,3
147,150,3,4,2,3,3,4,3,2
148,151,4,4,4,4,3,4,3,4
149,152,4,3,3,3,4,4,4,3
150,153,2,2,1,4,1,3,1,2
151,154,4,3,3,2,2,3,4,3
152,155,4,4,4,4,4,4,4,4
153,156,4,4,4,4,4,4,4,4
154,157,2,2,3,3,2,2,3,3
155,158,0,0,2,2,1,1,2,2
156,159,4,4,4,4,4,4,4,4
157,160,3,3,3,2,2,3,3,3
158,161,4,4,4,4,4,4,4,4
159,162,4,4,4,4,4,4,4,4
160,163,2,2,2,0,1,0,3,1
161,164,3,3,3,4,4,3,3,4
162,165,3,4,4,4,4,3,3,4
163,166,3,4,3,4,3,3,4,4
164,167,4,4,3,4,3,4,4,3
165,168,4,4,4,4,4,4,4,4
166,169,3,2,1,1,2,2,2,2
167,170,1,2,1,2,1,1,2,2
168,171,3,3,4,3,3,4,4,3
169,172,2,3,2,2,2,3,3,2
170,173,1,2,3,1,1,3,1,0
171,175,2,2,2,2,2,2,3,2
172,176,1,1,2,1,0,2,1,1
173,177,4,4,4,4,4,4,4,4
174,178,3,2,0,3,2,2,2,2
175,179,4,4,4,4,4,4,4,4
176,180,3,3,3,4,4,4,3,4
177,181,4,4,4,4,4,4,4,4
178,182,4,4,4,4,4,4,4,4
179,183,2,1,2,2,2,2,0,2
180,184,4,4,3,4,2,3,2,4
181,185,1,1,2,2,1,2,2,1
182,186,4,4,4,4,4,4,4,3
183,187,4,3,3,3,2,3,3,3
184,188,2,0,2,1,0,1,1,2
185,189,4,4,4,4,4,4,4,4
186,190,3,4,3,3,4,4,3,4
187,191,4,4,4,4,4,4,4,4
188,192,2,3,3,3,3,3,4,3
189,193,1,2,2,1,1,2,2,2
190,194,3,3,2,3,2,3,2,3
191,195,2,2,2,2,2,2,2,2
192,196,3,4,3,4,4,3,3,3
193,197,3,4,3,4,4,4,4,4
194,198,2,3,2,3,2,3,3,3
195,199,2,2,3,3,2,3,2,3
196,200,2,3,3,3,2,3,0,3
197,201,4,4,4,4,4,4,4,4
198,202,4,4,4,4,4,4,4,4
199,203,2,2,2,2,2,2,2,1
200,204,3,3,3,3,3,3,3,3
201,205,4,3,3,3,3,2,3,3
202,206,3,2,3,3,3,2,3,3
203,207,1,1,1,1,0,1,2,1
204,208,3,4,4,4,4,3,3,0
205,209,4,3,3,3,2,4,3,2
206,210,1,2,2,2,1,1,2,1
207,211,2,0,2,2,2,3,4,3
208,212,3,2,2,2,0,3,2,0
209,213,3,3,2,4,3,4,4,4
210,214,3,3,3,1,3,4,3,3
211,215,2,2,2,2,2,3,3,2
212,216,2,2,3,1,2,2,2,2
213,217,2,2,2,3,2,2,2,3
214,218,4,4,4,4,4,4,4,4
215,219,4,4,3,4,3,4,4,4
216,220,2,2,2,2,1,2,3,2
217,221,2,2,2,3,3,2,2,2
218,222,4,4,4,4,4,4,4,4
219,223,4,3,3,4,4,4,4,4
220,224,4,4,4,4,4,4,4,4
221,225,4,4,4,4,4,4,4,4
222,226,1,2,1,2,1,3,1,0
223,227,0,1,0,1,1,0,0,0
224,228,2,1,2,1,1,1,2,2
225,229,4,4,4,4,4,4,4,3
226,230,3,3,2,2,3,3,2,2
227,231,1,3,3,2,1,0,1,1
228,232,1,2,2,1,1,1,1,2
229,233,2,0,2,2,2,4,3,3
230,234,3,3,3,3,3,3,4,3
231,235,3,3,4,3,3,4,3,3
232,236,0,0,1,0,0,0,1,3
233,237,4,4,3,4,3,4,4,4
234,238,0,3,3,4,1,3,2,1
235,239,4,4,4,4,4,4,4,4
236,240,3,4,3,3,2,3,3,3
237,241,4,3,4,4,4,4,4,4
238,242,2,2,2,2,2,3,2,2
239,243,1,1,1,2,1,1,2,2
240,245,2,3,3,4,3,2,3,2
241,246,3,4,4,4,4,4,4,4
242,247,3,2,3,3,3,2,2,1
243,248,3,4,3,3,4,3,4,4
244,249,4,4,4,4,4,4,4,4
245,250,4,4,4,4,4,4,4,4
246,251,4,4,4,4,4,4,4,4
247,252,2,3,3,3,3,3,1,3
248,253,4,4,4,4,4,4,4,4
249,254,4,4,4,4,4,4,3,4
250,255,4,4,4,4,4,4,4,4
251,256,4,4,4,4,4,4,4,4
252,257,2,2,1,3,2,2,1,2
253,258,3,4,4,4,4,4,4,4
254,259,3,4,2,4,2,4,2,3
255,260,2,2,2,1,1,1,2,2
256,261,4,4,2,4,3,4,3,3
257,262,3,4,3,3,3,4,3,3
258,263,1,1,1,0,1,2,1,2
259,264,1,0,2,3,3,0,2,1
260,265,4,4,4,4,4,4,4,4
261,266,3,4,4,3,4,4,4,3
262,267,4,4,4,4,4,4,4,4
263,268,4,3,3,4,4,2,3,3
264,269,4,4,4,4,4,3,3,3
265,270,2,2,2,1,2,2,2,2
266,271,4,4,4,4,3,4,4,4
267,272,3,3,3,3,3,3,4,3
268,273,4,4,4,4,4,4,4,4
269,274,1,0,0,1,1,1,1,1
270,275,3,3,3,4,3,4,4,3
271,276,0,0,1,0,3,2,0,1
272,277,3,3,3,3,3,3,3,3
273,278,2,1,1,1,0,1,0,1
274,279,3,4,4,3,3,3,3,3
275,280,4,4,4,4,4,4,4,4
276,281,4,4,4,4,3,4,4,4
277,282,4,4,4,4,4,4,4,4
278,283,4,4,4,4,4,4,4,4
279,284,1,1,1,2,2,2,2,2
280,285,1,1,2,2,2,2,3,1
281,286,3,3,2,4,3,4,3,2
282,287,2,3,2,1,2,2,3,1
283,288,3,3,3,3,2,2,2,3
284,289,3,3,3,2,3,3,3,3
285,290,1,2,2,2,2,1,2,2
286,291,1,1,1,1,0,2,2,2
287,292,4,4,4,4,4,4,4,4
288,293,3,3,3,3,3,3,3,4
289,294,4,3,4,4,4,4,4,4
290,295,1,3,4,3,4,4,3,3
291,296,4,4,4,4,4,4,3,4
292,297,3,4,4,4,3,4,4,4
293,298,3,4,4,4,4,4,4,4
294,299,4,3,3,0,3,2,2,2
295,300,3,3,2,3,3,3,3,2
296,301,4,3,3,4,4,3,3,4
297,302,4,4,4,4,3,4,3,4
298,303,4,2,1,2,4,2,3,1
299,304,3,4,4,4,4,4,4,4
300,305,4,4,4,4,4,4,4,4
301,306,4,4,4,4,4,4,4,4
302,307,4,4,4,4,3,4,3,2
303,308,3,4,3,3,3,2,3,3
304,309,4,4,4,4,4,4,4,4
305,310,4,3,2,2,3,3,3,2
306,311,4,4,3,4,4,4,4,4
307,312,1,0,0,1,1,2,1,1
308,313,4,4,4,4,4,4,4,4
309,314,4,4,3,4,3,4,3,4
310,315,4,4,4,4,4,4,4,4
311,316,4,3,3,4,3,3,4,4
312,317,3,4,4,3,2,3,4,4
313,318,3,3,4,3,3,3,3,3
314,319,4,4,4,4,4,4,4,4
315,320,3,3,3,3,3,4,3,3
316,321,4,4,4,4,4,4,4,4
317,322,2,3,2,3,2,2,2,3
318,323,4,4,4,4,4,4,4,4
319,324,4,4,4,4,4,4,4,4
320,325,3,4,3,3,3,4,3,3
321,326,4,4,3,3,4,3,4,4
322,327,4,4,4,4,4,4,4,4
323,328,4,4,4,4,4,4,4,4
324,329,4,4,4,3,3,4,4,4
325,330,0,0,1,0,2,1,1,1
326,331,2,2,2,1,2,1,2,1
327,332,4,4,4,4,4,4,4,3
328,333,2,3,3,3,3,4,3,3
329,334,3,4,4,3,4,4,4,4
330,335,4,4,4,4,4,4,4,4
331,336,3,3,2,2,2,3,1,3
332,337,4,4,4,4,4,4,4,4
333,338,2,3,2,2,3,3,2,2
334,339,3,3,3,2,3,3,3,3
335,340,4,4,4,4,4,4,3,3
336,341,3,3,4,4,4,4,4,4
337,342,1,1,1,1,1,1,1,1
338,343,4,4,4,4,4,4,4,4
339,344,4,3,3,4,3,3,3,3
340,345,4,4,4,4,4,4,4,4
341,346,2,2,2,2,1,2,3,3
342,347,3,3,3,3,3,3,3,3
343,348,0,1,1,1,1,2,1,0
344,349,4,4,3,4,3,3,3,3
345,350,2,2,2,2,1,2,3,3
346,351,4,4,3,4,4,4,3,1
347,352,4,4,4,4,4,4,4,4
348,353,2,1,2,1,2,1,2,2
349,354,1,1,1,1,2,3,2,1
350,355,3,4,4,4,4,3,2,3
351,356,4,3,4,4,4,4,4,4
352,357,1,2,2,2,3,2,1,2
353,358,3,4,4,4,4,4,4,4
354,359,4,3,3,4,4,3,3,3
355,360,3,3,3,3,2,3,4,2
356,361,4,4,4,4,4,4,4,4
357,362,2,3,2,2,3,3,3,2
358,363,4,4,4,3,4,4,4,3
359,364,1,3,3,2,3,3,3,2
360,365,4,4,4,4,3,4,3,4
361,366,1,2,1,2,1,0,1,0
362,367,4,4,3,4,3,4,4,4
363,368,3,4,4,3,4,4,4,4
364,369,4,4,4,4,4,4,4,4
365,370,3,2,2,2,1,2,2,1
366,371,3,3,2,2,3,3,2,2
367,372,1,2,1,2,1,1,1,1
368,373,2,4,3,3,4,4,3,4
369,374,4,4,4,4,4,4,4,4
370,375,4,4,4,4,4,4,4,4
371,376,0,0,0,0,0,0,0,1
372,377,4,4,4,4,4,4,4,4
373,378,4,4,4,4,4,4,4,4
374,379,3,3,3,3,3,4,4,4
375,380,0,3,2,1,1,0,1,2
376,381,3,3,4,4,4,4,3,3
377,382,4,4,3,4,3,4,3,4
378,383,4,4,4,4,3,4,4,4
379,384,1,1,1,1,1,1,2,1
380,385,1,3,3,1,2,1,2,2
381,386,3,3,4,3,3,3,4,4
382,387,4,4,4,4,4,4,4,4
383,388,4,4,4,4,4,4,4,4
384,389,3,3,3,2,3,2,2,3
385,390,1,2,2,2,1,2,1,0
386,391,4,4,4,3,2,4,4,4
387,392,0,1,1,3,1,3,3,3
388,393,3,4,3,4,4,4,3,4
389,394,3,3,2,2,3,3,2,3
390,395,1,2,1,2,3,2,3,2
391,396,2,3,2,2,3,3,2,3
392,397,2,3,3,3,3,2,3,3
393,398,4,4,3,4,3,4,4,4
394,399,4,4,4,4,4,4,4,4
395,400,4,4,4,4,4,4,4,4
396,401,4,4,4,4,4,4,4,4
397,402,4,3,3,3,4,3,3,4
398,403,2,1,1,1,2,1,2,2
399,404,4,4,4,4,4,4,4,4
400,405,3,4,3,3,3,3,3,3
401,406,1,1,2,1,1,2,2,2
402,407,4,4,4,4,4,4,4,4
403,408,4,4,4,4,4,4,4,4
404,409,4,4,4,4,4,4,4,4
405,410,1,1,2,2,1,1,1,1
406,411,4,4,4,4,4,4,4,4
407,412,4,4,4,4,4,4,3,4
408,413,4,4,4,4,3,4,4,3
409,414,4,4,4,4,4,4,4,4
410,415,1,2,2,1,3,2,2,1
411,416,4,4,4,4,4,4,4,4
412,417,4,4,3,4,4,4,3,4
413,418,3,3,3,3,3,3,3,2
414,419,3,4,4,4,3,3,3,4
415,420,2,3,3,3,3,4,3,3
416,421,4,4,4,4,4,4,4,4
417,422,2,3,3,3,2,4,3,2
418,423,4,4,4,4,3,4,4,4
419,424,0,1,0,0,0,0,1,0
420,425,3,3,2,2,2,3,3,2
421,426,2,4,4,4,4,4,4,4
422,427,3,2,3,3,3,3,3,3
423,428,4,4,4,4,4,4,4,4
424,429,4,4,4,3,4,4,3,4
425,430,4,4,4,4,3,4,4,4
