,°í°´¹øÈ£,Àü_ÃÑ±¸¸Å¾×1,Àü_ÃÑ±¸¸Å¾×2,Àü_ÃÑ±¸¸Å¾×3,Àü_ÃÑ±¸¸Å¾×4,Àü_ÃÑ±¸¸Å¾×5,Àü_ÃÑ±¸¸Å¾×6,Àü_ÃÑ±¸¸Å¾×7,Àü_ÃÑ±¸¸Å¾×8,Àü_ÃÑ±¸¸ÅÈ½¼ö1,Àü_ÃÑ±¸¸ÅÈ½¼ö2,Àü_ÃÑ±¸¸ÅÈ½¼ö3,Àü_ÃÑ±¸¸ÅÈ½¼ö4,Àü_ÃÑ±¸¸ÅÈ½¼ö5,Àü_ÃÑ±¸¸ÅÈ½¼ö6,Àü_ÃÑ±¸¸ÅÈ½¼ö7,Àü_ÃÑ±¸¸ÅÈ½¼ö8
0,1,0.0,0.0,267256.0,0.0,509218.0,271517.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1,2,0.0,0.0,0.0,385020.0,1561444.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0,0.0,0.0,191459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,6,0.0,40173.0,64399.0,0.0,0.0,63268.0,175691.0,24705.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0
5,7,0.0,0.0,406731.0,7140095.0,0.0,0.0,341979.0,99149.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0
6,8,0.0,0.0,0.0,0.0,90516.0,55333.0,212858.0,426339.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0
7,9,0.0,0.0,271086.0,1795924.0,0.0,214468.0,698375.0,29968.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0
8,10,0.0,367741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,11,719836.0,0.0,24115760.0,0.0,0.0,22746489.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13,0.0,0.0,0.0,0.0,36409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,14,0.0,0.0,384135.0,299307.0,270032.0,1769362.0,78836.0,136329.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0
13,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,16,0.0,0.0,0.0,0.0,0.0,32170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,17,0.0,6436699.0,1628958.0,0.0,0.0,1104082.0,778449.0,1105754.0,0.0,8.0,1.0,0.0,0.0,2.0,1.0,2.0
16,18,0.0,451950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,19,0.0,0.0,94136.0,0.0,0.0,189482.0,0.0,42262.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,21,0.0,19572.0,0.0,0.0,0.0,16085.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
20,22,7538601.0,26047894.0,11377170.0,17758893.0,25251557.0,1586743.0,0.0,14678938.0,2.0,4.0,1.0,2.0,5.0,3.0,0.0,2.0
21,23,0.0,342504.0,212516.0,6913775.0,0.0,0.0,52426.0,2987675.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,4.0
22,24,0.0,391432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23,25,48219.0,145634.0,0.0,593284.0,946337.0,260043.0,0.0,313970.0,1.0,2.0,0.0,1.0,4.0,3.0,0.0,1.0
24,26,1253195.0,2990546.0,3405241.0,1894638.0,2974602.0,623963.0,0.0,2158546.0,4.0,6.0,5.0,6.0,4.0,2.0,0.0,1.0
25,27,1979427.0,752169.0,0.0,0.0,1230468.0,468077.0,1711868.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0
26,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,29,0.0,5734490.0,308042.0,740047.0,1376517.0,751818.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,2.0,0.0,0.0
28,30,0.0,1064790.0,230763.0,1481105.0,0.0,1009115.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0
29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,32,0.0,30902.0,0.0,0.0,0.0,0.0,73204.0,20656.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0
31,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,35,0.0,51504.0,5131364.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
34,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,37,0.0,202927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,38,0.0,15451.0,0.0,0.0,0.0,0.0,73204.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
37,39,0.0,1442121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,40,0.0,231770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
39,41,0.0,416155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
40,42,0.0,19572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,44,2599352.0,411004.0,1129808.0,39973962.0,432355.0,303794.0,7748455.0,21988085.0,2.0,1.0,1.0,15.0,1.0,2.0,2.0,10.0
43,45,0.0,0.0,0.0,1666108.0,0.0,181333.0,3071114.0,1612230.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0
44,46,18964469.0,11395072.0,562419.0,1966524.0,35801020.0,2756988.0,1185322.0,488529.0,4.0,7.0,1.0,1.0,4.0,2.0,3.0,2.0
45,47,0.0,0.0,1067669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,48,0.0,534069.0,1116477.0,0.0,4024189.0,910953.0,1070920.0,0.0,0.0,1.0,4.0,0.0,4.0,3.0,4.0,0.0
47,49,1173486.0,3119101.0,6021879.0,0.0,949259.0,1335739.0,4088211.0,2828872.0,2.0,4.0,1.0,0.0,3.0,2.0,1.0,2.0
48,50,116118.0,0.0,0.0,0.0,0.0,121936.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
49,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,52,0.0,96880.0,111851.0,176330.0,715788.0,1061616.0,538338.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0
51,53,0.0,57736.0,0.0,5966056.0,0.0,527699.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0
52,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,56,9423511.0,6333177.0,0.0,594624.0,0.0,5720884.0,311312.0,4227858.0,13.0,4.0,0.0,1.0,0.0,5.0,1.0,4.0
55,57,0.0,0.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,58,250245.0,394564.0,174194.0,143668.0,628659.0,255968.0,32323.0,149218.0,3.0,7.0,2.0,3.0,4.0,4.0,2.0,3.0
57,59,0.0,286982.0,299026.0,0.0,0.0,268085.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
58,60,0.0,0.0,0.0,0.0,0.0,5362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59,61,144902.0,172539.0,157778.0,0.0,0.0,0.0,215222.0,48748.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0
60,62,0.0,0.0,0.0,0.0,0.0,42679.0,39981.0,24705.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
61,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,65,0.0,0.0,0.0,61192.0,0.0,152809.0,0.0,253696.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
64,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,68,73834139.0,51169126.0,27326689.0,20115567.0,29951330.0,13938283.0,13464069.0,21507794.0,98.0,92.0,81.0,31.0,24.0,36.0,44.0,35.0
67,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,70,3686272.0,899472.0,1101958.0,794605.0,1006300.0,1977267.0,1441167.0,3322715.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,7.0
69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,73,16070372.0,10289904.0,32134731.0,13350520.0,27731051.0,15505479.0,21598433.0,9311300.0,9.0,18.0,24.0,13.0,21.0,15.0,27.0,20.0
72,74,177425.0,1378957.0,588710.0,0.0,289905.0,0.0,0.0,131372.0,3.0,5.0,4.0,0.0,2.0,0.0,0.0,1.0
73,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,76,0.0,0.0,114111.0,0.0,0.0,175864.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
75,77,48219.0,1083290.0,214664.0,0.0,40252.0,0.0,138414.0,73535.0,1.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0
76,78,1561696.0,1844627.0,2039383.0,1230263.0,388057.0,294894.0,3062318.0,1569851.0,3.0,5.0,8.0,5.0,2.0,1.0,9.0,4.0
77,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,81,472101.0,138866.0,246434.0,0.0,2519189.0,5149915.0,14958088.0,2842257.0,1.0,1.0,1.0,0.0,3.0,7.0,3.0,3.0
80,82,4186220.0,0.0,1860794.0,2656074.0,0.0,8242224.0,6163849.0,3570048.0,3.0,0.0,3.0,1.0,0.0,8.0,8.0,4.0
81,83,0.0,704579.0,0.0,0.0,0.0,0.0,0.0,470955.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
82,84,0.0,0.0,0.0,0.0,0.0,3137668.0,56492.0,2197792.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
83,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,86,0.0,0.0,0.0,0.0,0.0,41821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85,87,0.0,0.0,0.0,0.0,0.0,0.0,4100476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
86,88,278586.0,0.0,0.0,0.0,0.0,0.0,0.0,1433027.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
87,89,0.0,0.0,0.0,0.0,0.0,20374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
88,90,0.0,0.0,1242789.0,2509746.0,0.0,0.0,0.0,1659003.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
89,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,92,55156.0,0.0,0.0,0.0,0.0,0.0,483603.0,190035.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
91,93,0.0,1204613.0,0.0,2656074.0,6889464.0,9241163.0,0.0,2877836.0,0.0,4.0,0.0,1.0,12.0,12.0,0.0,10.0
92,94,0.0,0.0,2311747.0,0.0,0.0,0.0,7281801.0,758486.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,3.0
93,95,0.0,0.0,0.0,44342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
94,96,0.0,582256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,97,517908.0,0.0,807813.0,8141599.0,0.0,0.0,0.0,102040.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0
96,98,0.0,0.0,338943.0,583538.0,0.0,825971.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
97,99,9200425.0,5140491.0,8144958.0,16349222.0,8449754.0,22469482.0,21572347.0,25252021.0,13.0,10.0,8.0,12.0,12.0,21.0,19.0,21.0
98,100,0.0,0.0,110722.0,0.0,133165.0,21447.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
99,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,102,25886560.0,7036108.0,1885084.0,8742022.0,1197851.0,471830.0,3414636.0,0.0,8.0,9.0,3.0,9.0,2.0,1.0,2.0,0.0
101,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,105,0.0,0.0,0.0,0.0,0.0,0.0,11262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104,106,0.0,810266.0,0.0,82564.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
105,107,0.0,0.0,0.0,0.0,0.0,0.0,337869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106,108,0.0,0.0,0.0,0.0,0.0,15978.0,0.0,49574.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
107,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,113,0.0,3597783.0,1057275.0,6175482.0,2696278.0,1709043.0,1501094.0,533750.0,0.0,5.0,4.0,6.0,3.0,3.0,7.0,1.0
112,114,177130.0,0.0,0.0,0.0,299766.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
113,115,0.0,5421808.0,0.0,935612.0,5863796.0,6652801.0,1199434.0,6147704.0,0.0,5.0,0.0,1.0,5.0,6.0,1.0,5.0
114,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,117,0.0,0.0,280192.0,769774.0,0.0,609197.0,0.0,2338253.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0
