,고객번호,편_총구매액1,편_총구매액2,편_총구매액3,편_총구매액4,편_총구매액5,편_총구매액6,편_총구매액7,편_총구매액8,편_총구매횟수1,편_총구매횟수2,편_총구매횟수3,편_총구매횟수4,편_총구매횟수5,편_총구매횟수6,편_총구매횟수7,편_총구매횟수8
0,1,1286884.0,1064865.0,2410552.0,2134000.0,1846726.0,1301649.0,577274.0,917643.0,74.0,63.0,84.0,152.0,116.0,101.0,28.0,47.0
1,2,2988276.0,2605412.0,4888476.0,1774936.0,2040951.0,3259312.0,1706685.0,1648163.0,139.0,120.0,97.0,110.0,89.0,80.0,79.0,84.0
2,3,297954.0,482529.0,701900.0,349742.0,282483.0,335595.0,474158.0,213238.0,139.0,208.0,245.0,145.0,87.0,133.0,139.0,93.0
3,4,686358.0,1025882.0,630038.0,395993.0,826033.0,837331.0,740376.0,504799.0,83.0,139.0,58.0,66.0,102.0,111.0,88.0,81.0
4,6,1138653.0,1170564.0,1691299.0,1013425.0,1544973.0,640312.0,1916618.0,1019851.0,172.0,153.0,145.0,152.0,214.0,127.0,197.0,177.0
5,7,589483.0,417962.0,759737.0,612167.0,857303.0,818569.0,968480.0,839252.0,60.0,56.0,66.0,62.0,69.0,74.0,72.0,75.0
6,8,1525890.0,2172333.0,3188944.0,1565414.0,2502770.0,2851303.0,3008446.0,2058656.0,134.0,195.0,241.0,160.0,233.0,226.0,239.0,183.0
7,9,146626.0,274013.0,391623.0,278982.0,287135.0,1329114.0,1494416.0,705928.0,15.0,17.0,27.0,27.0,26.0,52.0,55.0,59.0
8,10,1966672.0,1870886.0,2067514.0,1711962.0,1889331.0,1960003.0,2098870.0,1291857.0,452.0,401.0,380.0,439.0,455.0,433.0,443.0,324.0
9,11,2086186.0,1449338.0,1879156.0,1383499.0,1599503.0,1029538.0,2027447.0,2063243.0,103.0,60.0,77.0,70.0,69.0,50.0,57.0,70.0
10,12,579519.0,201874.0,269483.0,267139.0,288349.0,688789.0,544831.0,264091.0,72.0,25.0,58.0,54.0,54.0,83.0,66.0,65.0
11,13,1385136.0,1421726.0,1608140.0,1692574.0,1798197.0,2120776.0,2172726.0,1367284.0,234.0,299.0,272.0,405.0,373.0,406.0,380.0,332.0
12,14,1253327.0,1998022.0,1103999.0,1076194.0,876008.0,995876.0,977596.0,582346.0,102.0,212.0,128.0,157.0,109.0,96.0,116.0,88.0
13,15,952076.0,665297.0,938515.0,737470.0,621342.0,894861.0,1325902.0,474570.0,123.0,100.0,104.0,105.0,105.0,130.0,110.0,79.0
