,고객번호,편_총구매액1,편_총구매액2,편_총구매액3,편_총구매액4,편_총구매액5,편_총구매액6,편_총구매액7,편의품_증감율,편의품_변동율,편_(증감*0.8)+(변동*0.2)
0,1,3,3,4,4,4,3,1,-2,4,-0.8
1,2,4,4,4,4,4,4,4,0,0,0
2,3,1,1,2,1,1,1,1,0,2,0.4
3,4,2,2,1,1,2,2,2,0,2,0.4
4,6,3,3,4,2,4,1,4,1,11,3
5,7,1,1,2,1,2,2,2,1,3,1.4
6,8,4,4,4,4,4,4,4,0,0,0
7,9,1,1,1,1,1,3,3,2,2,2
8,10,4,4,4,4,4,4,4,0,0,0
9,11,4,3,4,3,4,2,4,0,8,1.6
10,12,1,1,1,1,1,2,1,0,2,0.4
11,13,3,3,4,4,4,4,4,1,1,1
12,14,3,4,3,3,2,2,2,-1,3,-0.2
13,15,2,1,2,2,1,2,3,1,5,1.8
14,16,1,1,2,3,4,3,2,1,5,1.8
15,17,4,1,2,4,1,4,4,0,12,2.4
16,18,2,3,3,1,1,1,1,-1,3,-0.2
17,19,4,4,3,4,4,4,4,0,2,0.4
18,20,4,4,4,4,4,3,3,-1,1,-0.6
19,21,3,4,4,4,4,4,4,1,1,1
20,22,1,1,1,1,1,1,1,0,0,0
21,23,3,2,4,3,4,2,1,-2,8,0
22,24,1,2,2,1,1,1,2,1,3,1.4
23,25,1,1,1,1,1,1,1,0,0,0
24,26,3,2,3,1,2,4,3,0,8,1.6
25,27,1,2,2,1,1,2,4,3,5,3.4
26,28,2,3,2,2,1,3,3,1,5,1.8
27,29,1,1,1,1,2,1,1,0,2,0.4
28,30,4,4,4,4,4,4,4,0,0,0
29,31,1,2,2,1,2,2,3,2,4,2.4
30,32,3,3,4,4,4,4,4,1,1,1
31,33,3,3,3,2,3,3,4,1,3,1.4
32,34,3,4,3,4,3,1,1,-2,6,-0.4
33,35,3,4,3,2,4,4,4,1,5,1.8
34,36,3,4,2,1,3,4,4,1,7,2.2
35,37,1,3,4,3,3,2,4,3,7,3.8
36,38,4,4,4,4,4,4,4,0,0,0
37,39,1,2,1,2,1,2,2,1,5,1.8
38,40,1,1,1,1,2,1,1,0,2,0.4
39,41,1,2,1,1,2,2,3,2,4,2.4
40,42,2,3,4,3,4,4,4,2,4,2.4
41,43,2,2,1,1,1,2,2,0,2,0.4
42,44,2,3,4,3,2,3,3,1,5,1.8
43,45,1,1,2,1,2,1,1,0,4,0.8
44,46,2,2,4,3,2,3,4,2,6,2.8
45,47,4,4,4,3,4,3,2,-2,4,-0.8
