,°í°´¹øÈ£,Æí_ÃÑ±¸¸ÅÈ½¼ö1,Æí_ÃÑ±¸¸ÅÈ½¼ö2,Æí_ÃÑ±¸¸ÅÈ½¼ö3,Æí_ÃÑ±¸¸ÅÈ½¼ö4,Æí_ÃÑ±¸¸ÅÈ½¼ö5,Æí_ÃÑ±¸¸ÅÈ½¼ö6,Æí_ÃÑ±¸¸ÅÈ½¼ö7,ÆíÀÇÇ°_Áõ°¨À²,ÆíÀÇÇ°_º¯µ¿À²,Æí_(Áõ°¨*0.8)+(º¯µ¿*0.2)
0,1,2,1,2,3,2,2,1,-1,5,0.2
1,2,2,2,2,2,2,2,2,0,0,0
2,3,2,3,4,3,2,2,2,0,4,0.8
3,4,2,2,1,1,2,2,2,0,2,0.4
4,6,3,3,3,3,3,2,3,0,2,0.4
5,7,1,1,1,1,1,2,2,1,1,1
6,8,2,3,4,3,3,3,4,2,4,2.4
7,9,1,1,1,1,1,1,1,0,0,0
8,10,4,4,4,4,4,4,4,0,0,0
9,11,2,1,2,1,1,1,1,-1,3,-0.2
10,12,2,1,1,1,1,2,1,-1,3,-0.2
11,13,3,4,4,4,4,4,4,1,1,1
12,14,2,3,2,3,2,2,2,0,4,0.8
13,15,2,2,2,2,2,2,2,0,0,0
14,16,1,1,1,2,2,2,1,0,2,0.4
15,17,1,1,1,1,2,3,2,1,3,1.4
16,18,1,2,2,1,1,1,1,0,2,0.4
17,19,2,1,1,1,1,1,1,-1,1,-0.6
18,20,2,2,3,2,2,2,2,0,2,0.4
19,21,3,3,4,4,3,4,4,1,3,1.4
20,22,1,1,1,1,1,1,1,0,0,0
21,23,2,1,2,2,2,1,1,-1,3,-0.2
22,24,2,2,2,2,2,2,2,0,0,0
23,25,1,1,1,1,1,1,1,0,0,0
24,26,2,1,1,1,1,3,2,0,4,0.8
25,27,1,2,1,1,1,1,1,0,2,0.4
26,28,3,4,3,3,2,3,3,0,4,0.8
27,29,1,1,1,1,2,1,1,0,2,0.4
28,30,3,4,4,4,3,3,4,1,3,1.4
29,31,2,2,2,2,2,2,2,0,0,0
30,32,2,3,3,3,3,3,3,1,1,1
31,33,4,4,4,3,4,4,4,0,2,0.4
32,34,2,3,2,3,2,2,1,-1,5,0.2
33,35,2,2,1,1,1,3,2,0,4,0.8
34,36,1,3,2,1,2,2,2,1,5,1.8
35,37,1,2,2,3,2,2,2,1,3,1.4
36,38,4,4,4,4,4,4,4,0,0,0
37,39,1,1,1,1,1,2,1,0,2,0.4
38,40,2,2,1,2,2,1,1,-1,3,-0.2
39,41,1,1,1,1,2,2,2,1,1,1
40,42,2,3,4,3,4,4,4,2,4,2.4
41,43,2,2,2,2,2,3,3,1,1,1
42,44,1,2,3,2,2,2,2,1,3,1.4
43,45,1,1,1,1,1,1,1,0,0,0
44,46,1,1,1,1,1,2,1,0,2,0.4
45,47,4,4,3,3,3,3,2,-2,2,-1.2
46,48,1,1,1,1,1,1,2,1,1,1
47,49,1,2,1,1,1,1,1,0,2,0.4
48,50,3,3,3,3,3,3,3,0,0,0
49,51,4,4,4,3,3,2,3,-1,3,-0.2
50,52,2,2,2,2,3,2,2,0,2,0.4
51,53,1,1,2,1,2,1,1,0,4,0.8
52,54,1,2,2,2,1,2,2,1,3,1.4
53,55,2,2,2,2,2,2,2,0,0,0
54,56,1,1,1,1,1,1,1,0,0,0
55,57,4,4,4,4,3,3,4,0,2,0.4
56,58,1,1,1,1,1,1,1,0,0,0
57,59,2,2,2,2,2,2,2,0,0,0
58,60,2,3,3,3,3,3,3,1,1,1
59,61,4,3,2,3,3,3,4,0,4,0.8
60,62,2,2,2,2,2,1,2,0,2,0.4
61,63,1,2,1,1,1,2,2,1,3,1.4
62,64,2,3,2,2,2,1,1,-1,3,-0.2
63,65,2,2,2,2,2,2,1,-1,1,-0.6
64,66,4,3,4,4,4,4,4,0,2,0.4
65,67,3,3,3,3,4,4,4,1,1,1
66,68,1,2,3,2,2,2,3,2,4,2.4
67,69,4,4,4,4,4,4,4,0,0,0
68,70,2,2,2,2,1,1,1,-1,1,-0.6
69,71,2,2,3,2,2,2,3,1,3,1.4
70,72,1,2,2,2,2,3,3,2,2,2
71,73,1,1,1,1,1,1,1,0,0,0
72,74,1,1,1,1,2,2,1,0,2,0.4
73,75,2,2,2,2,2,2,2,0,0,0
74,76,2,2,1,2,2,2,2,0,2,0.4
75,77,2,2,3,2,2,2,2,0,2,0.4
76,78,2,1,1,1,2,2,2,0,2,0.4
77,79,4,3,4,4,3,4,4,0,4,0.8
78,80,4,2,3,4,3,3,3,-1,5,0.2
79,81,1,1,1,1,2,2,2,1,1,1
80,82,2,2,2,2,3,2,2,0,2,0.4
81,83,1,2,2,2,2,2,2,1,1,1
82,84,1,1,1,1,1,1,1,0,0,0
83,85,1,1,2,2,2,2,2,1,1,1
84,86,3,3,3,3,4,4,4,1,1,1
85,87,1,2,1,1,1,1,1,0,2,0.4
86,88,3,3,2,3,3,2,2,-1,3,-0.2
87,89,2,4,3,3,4,4,4,2,4,2.4
88,90,1,1,1,1,1,1,1,0,0,0
89,91,2,2,2,2,2,2,2,0,0,0
90,92,3,3,3,3,3,2,3,0,2,0.4
91,93,1,1,1,1,1,1,2,1,1,1
92,94,1,1,2,3,2,2,2,1,3,1.4
93,95,3,3,2,2,2,3,3,0,2,0.4
94,96,1,2,2,2,2,1,2,1,3,1.4
95,97,2,3,2,2,2,3,2,0,4,0.8
96,98,2,2,2,2,1,1,1,-1,1,-0.6
97,99,1,2,2,1,2,1,2,1,5,1.8
98,100,1,1,2,2,1,1,2,1,3,1.4
99,101,2,1,2,2,2,2,2,0,2,0.4
100,102,4,4,4,4,4,4,4,0,0,0
101,103,2,2,2,2,2,2,2,0,0,0
102,104,4,4,4,3,4,4,4,0,2,0.4
103,105,4,4,4,4,3,4,4,0,2,0.4
104,106,1,2,1,2,2,1,1,0,4,0.8
105,107,2,2,1,2,1,2,1,-1,5,0.2
106,108,2,1,2,2,2,2,2,0,2,0.4
107,109,3,3,3,3,3,3,3,0,0,0
108,110,3,2,3,3,3,2,3,0,4,0.8
