,°í°´¹øÈ£,±âÈ£Ç°_ÃÑ±¸¸Å¾×1,±âÈ£Ç°_ÃÑ±¸¸Å¾×2,±âÈ£Ç°_ÃÑ±¸¸Å¾×3,±âÈ£Ç°_ÃÑ±¸¸Å¾×4,±âÈ£Ç°_ÃÑ±¸¸Å¾×5,±âÈ£Ç°_ÃÑ±¸¸Å¾×6,±âÈ£Ç°_ÃÑ±¸¸Å¾×7,±âÈ£Ç°_ÃÑ±¸¸Å¾×8,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö1,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö2,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö3,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö4,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö5,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö6,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö7,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö8
0,1,159810.0,48403.0,17060.0,27005.0,44136.0,34102.0,6532.0,31810.0,5.0,4.0,2.0,4.0,3.0,6.0,2.0,3.0
1,2,25192.0,227031.0,212291.0,116532.0,16183.0,5362.0,44824.0,58291.0,5.0,3.0,7.0,6.0,4.0,2.0,3.0,6.0
2,3,155182.0,143226.0,160975.0,103741.0,88503.0,103819.0,63945.0,18833.0,84.0,80.0,96.0,66.0,37.0,61.0,43.0,27.0
3,4,8856.0,63350.0,48514.0,7982.0,21744.0,51365.0,40838.0,31397.0,1.0,10.0,5.0,2.0,4.0,7.0,9.0,5.0
4,6,12399.0,42747.0,6949.0,8868.0,2832.0,0.0,4505.0,2066.0,3.0,8.0,2.0,1.0,1.0,0.0,2.0,1.0
5,7,72821.0,38731.0,11275.0,44254.0,8091.0,67397.0,3345.0,37594.0,5.0,3.0,1.0,3.0,1.0,6.0,1.0,3.0
6,8,13992.0,43653.0,174273.0,27359.0,82465.0,13296.0,83410.0,26273.0,4.0,8.0,20.0,7.0,17.0,6.0,12.0,7.0
7,9,21138.0,65102.0,95693.0,14189.0,15170.0,6005.0,161050.0,34536.0,4.0,4.0,10.0,2.0,3.0,1.0,6.0,6.0
8,10,30948.0,20395.0,10055.0,39642.0,20784.0,2681.0,32661.0,23053.0,7.0,3.0,2.0,9.0,5.0,1.0,6.0,8.0
9,11,246161.0,645143.0,104056.0,673062.0,532834.0,465373.0,55264.0,1076525.0,3.0,8.0,4.0,13.0,7.0,9.0,2.0,18.0
10,12,140327.0,0.0,35363.0,138435.0,30089.0,36190.0,173157.0,27885.0,3.0,0.0,3.0,3.0,5.0,5.0,6.0,5.0
11,13,16778.0,59858.0,35826.0,23705.0,60195.0,34774.0,21917.0,69221.0,7.0,13.0,8.0,9.0,10.0,8.0,5.0,9.0
12,14,45345.0,41667.0,27625.0,4434.0,10012.0,0.0,8548.0,4544.0,2.0,3.0,7.0,1.0,1.0,0.0,1.0,1.0
13,15,20173.0,2565.0,6915.0,40076.0,32222.0,32234.0,59904.0,0.0,1.0,2.0,3.0,4.0,5.0,5.0,9.0,0.0
14,16,0.0,0.0,0.0,0.0,0.0,4826.0,0.0,9915.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
15,17,52056.0,9476.0,33883.0,26117.0,26154.0,243454.0,99649.0,184598.0,2.0,2.0,1.0,2.0,3.0,5.0,4.0,6.0
16,18,84393.0,108552.0,53642.0,36360.0,89706.0,100799.0,102936.0,59735.0,12.0,9.0,8.0,3.0,6.0,6.0,9.0,9.0
