,고객번호,레저취미_총구매액1,레저취미_총구매액2,레저취미_총구매액3,레저취미_총구매액4,레저취미_총구매액5,레저취미_총구매액6,레저취미_총구매액7,레저취미_총구매액8,레저취미_총구매횟수1,레저취미_총구매횟수2,레저취미_총구매횟수3,레저취미_총구매횟수4,레저취미_총구매횟수5,레저취미_총구매횟수6,레저취미_총구매횟수7,레저취미_총구매횟수8
0,1,631026.0,1479614.0,0.0,0.0,129858.0,0.0,126250.0,123936.0,3.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0
1,2,2159341.0,1556235.0,2560100.0,418240.0,1886172.0,689118.0,1319287.0,441905.0,4.0,5.0,6.0,5.0,10.0,1.0,2.0,1.0
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.0,127936.0,370973.0,0.0,0.0,0.0,92936.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0
4,6,0.0,0.0,0.0,2554.0,0.0,0.0,20035.0,68545.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,6.0
5,7,129945.0,732186.0,115918.0,9755.0,194181.0,0.0,117353.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0
6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9,864277.0,0.0,0.0,0.0,180022.0,324940.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,11,0.0,0.0,37566.0,414153.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
10,12,0.0,0.0,0.0,0.0,0.0,14906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,13,0.0,40173.0,0.0,1596.0,1315.0,2413.0,991.0,8989.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0
12,14,614179.0,516074.0,285842.0,96665.0,79897.0,713107.0,0.0,116913.0,6.0,5.0,5.0,2.0,2.0,7.0,0.0,3.0
13,15,34442.0,48414.0,22370.0,0.0,0.0,0.0,1464.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
14,16,0.0,0.0,55361.0,0.0,0.0,0.0,0.0,49574.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
15,17,0.0,0.0,0.0,0.0,0.0,52212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,18,0.0,850181.0,467741.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
17,19,320763.0,10301.0,0.0,994675.0,0.0,573187.0,125958.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0
18,20,0.0,214258.0,0.0,0.0,10114.0,0.0,278179.0,304054.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,5.0
19,21,0.0,100948.0,0.0,1774.0,2832.0,84715.0,68250.0,65933.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,4.0
20,22,0.0,0.0,0.0,0.0,312307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
21,23,1387320.0,3347761.0,1798080.0,3201867.0,1972692.0,866236.0,2436213.0,1691027.0,4.0,17.0,8.0,9.0,8.0,5.0,11.0,8.0
22,24,359771.0,141121.0,164952.0,322808.0,424770.0,21447.0,253289.0,94190.0,5.0,4.0,3.0,3.0,3.0,1.0,5.0,4.0
23,25,0.0,0.0,0.0,0.0,0.0,105197.0,0.0,272658.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
24,26,0.0,704580.0,116348.0,913086.0,1320123.0,1108993.0,1786052.0,991833.0,0.0,3.0,2.0,1.0,4.0,4.0,5.0,3.0
25,27,211139.0,0.0,0.0,150851.0,0.0,38122.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
26,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,29,2029859.0,2979453.0,2890997.0,2444609.0,391040.0,4007638.0,2646525.0,1156023.0,8.0,20.0,19.0,9.0,4.0,23.0,9.0,6.0
28,30,495471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,32,0.0,182995.0,0.0,7982.0,9102.0,41608.0,10136.0,3718.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0
31,33,11809.0,0.0,0.0,0.0,0.0,0.0,4843.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
