,°í°´¹øÈ£,½ÄÇ°_ÃÑ±¸¸Å¾×1,½ÄÇ°_ÃÑ±¸¸Å¾×2,½ÄÇ°_ÃÑ±¸¸Å¾×3,½ÄÇ°_ÃÑ±¸¸Å¾×4,½ÄÇ°_ÃÑ±¸¸Å¾×5,½ÄÇ°_ÃÑ±¸¸Å¾×6,½ÄÇ°_ÃÑ±¸¸Å¾×7,½ÄÇ°_ÃÑ±¸¸Å¾×8,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö1,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö2,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö3,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö4,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö5,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö6,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö7,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö8
0,1,635666.0,995603.0,889163.0,1579134.0,1481879.0,1085088.0,570742.0,284778.0,62.0,56.0,70.0,123.0,97.0,89.0,26.0,38.0
1,2,2455558.0,2030956.0,1652569.0,1511411.0,1874481.0,965639.0,1319363.0,1149868.0,126.0,103.0,79.0,92.0,76.0,51.0,60.0,65.0
2,3,142184.0,316266.0,486706.0,191094.0,170284.0,198980.0,346174.0,183260.0,43.0,95.0,115.0,54.0,39.0,53.0,74.0,61.0
3,4,566579.0,893745.0,398993.0,288153.0,754249.0,730851.0,622233.0,396264.0,75.0,114.0,43.0,53.0,90.0,93.0,70.0,70.0
4,6,866206.0,911026.0,1261397.0,757688.0,1329527.0,543104.0,1617846.0,902038.0,137.0,115.0,108.0,122.0,181.0,111.0,160.0,157.0
5,7,510994.0,355292.0,534352.0,509231.0,723876.0,678168.0,866658.0,714580.0,53.0,46.0,45.0,50.0,54.0,57.0,62.0,67.0
6,8,1472555.0,2087888.0,2969761.0,1516860.0,2372994.0,2766622.0,2864491.0,1931253.0,128.0,183.0,218.0,150.0,210.0,212.0,220.0,165.0
7,9,125488.0,199125.0,295930.0,264793.0,271965.0,721430.0,1265004.0,631733.0,11.0,12.0,17.0,25.0,23.0,40.0,46.0,52.0
8,10,1716497.0,1660944.0,1728343.0,1554365.0,1670964.0,1741922.0,1836120.0,1058694.0,392.0,364.0,338.0,384.0,399.0,380.0,386.0,274.0
9,11,1784022.0,692122.0,1693301.0,688576.0,977619.0,564165.0,1957542.0,940407.0,93.0,45.0,68.0,56.0,57.0,41.0,54.0,51.0
10,12,353778.0,129872.0,164037.0,111056.0,223974.0,596472.0,317459.0,211502.0,60.0,18.0,49.0,50.0,43.0,67.0,48.0,53.0
11,13,1150106.0,1295190.0,1450735.0,1589230.0,1626035.0,1914749.0,2034516.0,1237146.0,208.0,275.0,248.0,386.0,346.0,378.0,359.0,308.0
12,14,1027723.0,1612787.0,1007399.0,961670.0,749659.0,937145.0,936737.0,503490.0,89.0,179.0,105.0,137.0,95.0,88.0,111.0,77.0
13,15,868678.0,612053.0,824322.0,591604.0,496681.0,641822.0,715892.0,420608.0,114.0,90.0,88.0,89.0,92.0,112.0,78.0,71.0
14,16,587246.0,468996.0,902854.0,966209.0,1445729.0,921903.0,650539.0,680439.0,41.0,30.0,56.0,72.0,104.0,74.0,61.0,68.0
15,17,20361612.0,334450.0,553582.0,1265606.0,581284.0,12761589.0,8731030.0,14631261.0,48.0,22.0,36.0,42.0,67.0,157.0,99.0,75.0
16,18,567678.0,874148.0,872851.0,276291.0,251848.0,378568.0,426476.0,364302.0,51.0,87.0,87.0,24.0,19.0,26.0,28.0,33.0
17,19,2785103.0,1771443.0,1084853.0,1587234.0,1471564.0,2177652.0,2260510.0,1515015.0,70.0,64.0,35.0,63.0,49.0,47.0,40.0,44.0
18,20,1705800.0,1657697.0,1918215.0,1390015.0,1868404.0,1347063.0,1339896.0,787574.0,126.0,118.0,125.0,127.0,128.0,66.0,60.0,56.0
19,21,1279066.0,1484950.0,2456685.0,1516927.0,1359814.0,1996612.0,2198573.0,1277893.0,173.0,179.0,254.0,201.0,151.0,248.0,247.0,226.0
20,22,378094.0,399500.0,160342.0,298394.0,527210.0,527593.0,595056.0,381986.0,48.0,34.0,16.0,33.0,34.0,33.0,14.0,39.0
21,23,1042463.0,850882.0,1670344.0,864857.0,2062068.0,483142.0,267659.0,184251.0,77.0,54.0,78.0,97.0,69.0,23.0,7.0,3.0
