,고객번호,전자제품_총구매액1,전자제품_총구매액2,전자제품_총구매액3,전자제품_총구매액4,전자제품_총구매액5,전자제품_총구매액6,전자제품_총구매액7,전자제품_총구매액8,전자제품_총구매횟수1,전자제품_총구매횟수2,전자제품_총구매횟수3,전자제품_총구매횟수4,전자제품_총구매횟수5,전자제품_총구매횟수6,전자제품_총구매횟수7,전자제품_총구매횟수8
0,1,0.0,0.0,11185.0,8027818.0,294305.0,0.0,2027212.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,2.0,0.0
1,2,290296.0,1160598.0,777308.0,0.0,1902361.0,0.0,3808512.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0
2,3,0.0,0.0,30392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,51081.0,0.0,0.0,13515.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
6,8,984055.0,37907.0,628174.0,3928684.0,1178230.0,1446877.0,0.0,50863.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0
7,9,4925138.0,1516802.0,0.0,1078391.0,30856427.0,8042490.0,9010957.0,0.0,1.0,1.0,0.0,7.0,13.0,3.0,2.0,0.0
8,10,0.0,6490.0,0.0,22791.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
9,11,58846.0,1792968.0,3017831.0,0.0,0.0,0.0,0.0,1957605.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0
10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,14,76756.0,0.0,0.0,0.0,1891238.0,320630.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,16,0.0,0.0,0.0,0.0,130465.0,84715.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
15,17,0.0,0.0,93774.0,0.0,0.0,20911.0,65884.0,269353.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0
16,18,468410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,19,0.0,0.0,0.0,0.0,0.0,0.0,851463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,21,706551.0,85497.0,143487.0,73608.0,0.0,0.0,0.0,36354.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0
20,22,0.0,0.0,98180.0,42524.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
21,23,77740.0,0.0,0.0,0.0,0.0,0.0,391928.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,26,0.0,0.0,478586.0,3450856.0,1530385.0,374247.0,1006849.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,4.0,0.0
25,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,29,1000292.0,0.0,0.0,87265.0,303407.0,47183.0,628436.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
28,30,0.0,0.0,0.0,0.0,51074.0,0.0,48428.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
29,31,0.0,50474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,35,0.0,0.0,0.0,0.0,362066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,36,2033157.0,2727256.0,807136.0,0.0,0.0,4567528.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0
35,37,0.0,0.0,0.0,0.0,0.0,190877.0,563114.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
36,38,0.0,0.0,0.0,0.0,19216.0,10723.0,141005.0,10741.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0
37,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,40,0.0,15451.0,0.0,87796.0,0.0,28953.0,2995994.0,36354.0,0.0,1.0,0.0,4.0,0.0,2.0,7.0,3.0
39,41,0.0,0.0,0.0,114402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,44,0.0,208078.0,0.0,0.0,0.0,20374.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
43,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,46,78724.0,0.0,0.0,254522.0,2091486.0,0.0,4642879.0,293149.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0
45,47,0.0,0.0,0.0,40528.0,0.0,0.0,66448.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
46,48,61897.0,130821.0,8204782.0,79815.0,0.0,0.0,0.0,389984.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,3.0
47,49,9841.0,36053.0,0.0,0.0,69379.0,0.0,16124444.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
48,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,51,767563.0,0.0,0.0,2279612.0,0.0,0.0,17907.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
50,52,371973.0,225794.0,62365.0,0.0,0.0,0.0,49554.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
51,53,0.0,57685.0,63269.0,58531.0,79897.0,90077.0,123885.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
52,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,56,0.0,43470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,57,0.0,15348.0,0.0,0.0,12035.0,0.0,0.0,13633.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56,58,9742.0,0.0,0.0,0.0,0.0,84715.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57,59,0.0,81377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,60,0.0,107747.0,72195.0,30152.0,97444.0,0.0,176367.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0
59,61,38378.0,10301.0,0.0,0.0,0.0,0.0,43923.0,47095.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
60,62,0.0,0.0,0.0,0.0,0.0,30026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,65,593680.0,0.0,67563.0,0.0,0.0,35387.0,0.0,104106.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0
64,66,182050.0,0.0,0.0,75381.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
