고객번호,최근날짜,구매빈도,구매금액
1,5,906,84707559
2,8,871,101971040
3,3,959,3242120
4,2,705,17053526
6,2,1146,24883761
7,3,588,73381854
8,3,1363,62675200
9,4,530,206781042
10,5,2626,18863228
11,2,639,134198293
12,7,357,6494632
13,3,2117,17890398
14,2,1044,35364309
15,2,805,25850880
16,2,449,11002261
17,2,582,143746517
18,2,638,82159349
19,4,443,43141731
20,2,850,23123243
21,3,1545,23201206
22,3,383,145489109
23,7,696,77455619
24,2,625,12261330
25,2,439,47726703
26,2,751,124491394
27,3,457,60733566
28,2,1093,8759430
29,4,683,87185333
30,4,1720,107252113
31,4,700,13646397
32,2,1076,19906463
33,3,1737,10701509
34,4,865,15253461
35,4,721,45956578
36,3,651,44280340
37,4,799,60698413
38,2,1987,23970010
39,5,450,208981616
40,2,657,26611579
41,9,496,18736806
42,2,1571,16226284
43,5,773,7401835
44,2,749,105590929
45,4,574,230134412
46,3,461,134738888
47,10,1436,21453320
48,2,501,85473911
49,3,520,93168389
50,2,1285,25544248
51,2,1495,22126436
52,2,979,37417588
53,2,563,51713387
54,2,522,10775011
55,2,739,7715373
56,2,575,93271391
57,2,1380,10424127
58,2,476,26555956
59,3,653,27666692
60,3,1071,30749859
61,3,1258,27102615
62,3,738,21576359
63,4,452,6255832
64,9,766,3887951
65,2,688,20022681
66,2,1622,18513101
67,2,1337,10864389
68,2,1210,305776523
69,2,2745,15992490
70,19,616,33059776
71,2,846,4843972
72,2,727,10000775
73,7,495,236593913
74,14,621,32833738
75,6,667,5227543
76,4,689,12354202
77,6,808,36810002
78,3,762,94207915
79,2,1531,16164216
80,3,1245,11013110
81,2,587,75791790
82,3,935,159127248
83,2,791,126267159
84,3,399,64530541
85,3,581,14286669
86,2,1722,41164803
87,3,442,51273612
88,2,1136,64107051
89,3,1447,16307741
90,3,407,55812572
91,2,675,19357093
92,5,1374,56689471
93,4,509,119090382
94,3,794,72520364
95,3,949,7970524
96,7,574,32801438
97,3,1302,1001931256
98,3,612,22439993
99,3,1013,263333131
100,6,581,27401708
101,5,595,7068244
102,5,2109,113300419
103,3,668,4859421
104,3,1835,15925154
105,3,1837,23010639
106,4,582,70108860
107,2,639,136007245
108,3,702,15055863
109,4,1125,8950814
110,2,1151,27539099
111,2,1144,5329493
112,3,624,101687124
113,2,1307,95289874
114,2,633,24605482
115,3,504,69876241
116,2,1335,8328223
117,4,1048,45988629
118,5,542,104626434
119,5,821,67592678
120,3,898,247443742
121,3,617,20087940
122,3,847,41342629
123,3,1275,10835241
124,3,494,40095471
125,5,669,15953622
126,2,1160,40017546
127,5,468,7296876
128,2,637,9130193
129,2,684,7308971
130,5,917,46450789
131,2,1654,33766320
132,5,1683,12224835
133,2,924,25126627
134,4,578,106845385
135,4,569,13449210
136,7,400,31413689
137,3,861,114231016
138,5,676,48735290
139,3,928,49213115
140,2,748,251700382
141,2,949,5846088
143,4,1135,7489898
144,2,5597,71587997
145,6,662,139472177
146,2,400,101861338
147,3,1296,97522239
148,3,1041,5765944
149,2,617,28154820
150,2,1495,24651637
151,8,1050,84405755
152,2,756,33447173
153,2,819,10741058
154,2,489,71778166
155,6,715,57089096
156,5,1056,153526129
157,2,747,14294098
158,2,821,11992779
159,7,466,144749188
160,3,1035,20878042
161,28,582,169051213
162,2,828,70223226
163,3,1164,11640592
164,2,513,110084308
165,7,406,41005873
166,3,799,34580190
167,4,647,43162873
168,3,869,86504104
169,3,623,8534993
170,7,1332,14729571
171,2,542,28331068
172,8,1073,22887560
173,3,1492,12382162
175,3,3613,35652906
176,3,1025,8321345
177,3,528,94502568
178,2,1345,20262554
179,4,1124,50312682
180,4,536,53710850
181,4,639,67644381
182,2,1089,83829208
183,2,1825,13623970
184,4,484,37977524
185,4,1184,11095600
186,7,1100,78480139
187,4,446,20386749
188,2,2245,15645161
189,2,997,101865001
190,2,901,50150715
191,2,360,88555027
192,2,808,42018268
193,5,1060,10535555
194,2,1567,15349570
195,3,573,7173861
196,9,1038,31510821
197,2,945,98179585
198,3,1024,14549278
199,3,733,18862110
200,2,988,12826924
201,3,762,123315883
202,2,1390,103036603
203,2,874,6875098
204,2,1240,24499465
205,2,1175,25196731
206,4,1551,16729568
207,3,925,8156634
208,34,401,70655947
209,2,506,18091680
210,2,795,6278071
211,2,480,22004696
212,2,1390,20803903
213,3,3125,48202327
214,3,918,21462022
215,3,1307,14501397
216,2,1114,11835813
217,3,454,14626719
218,5,631,215477418
219,2,1035,50651904
220,11,1775,19530615
221,4,930,10764466
222,3,958,76920705
223,5,477,137692682
224,3,403,180806170
225,4,666,170366870
226,3,732,11284424
227,2,1246,5956297
228,2,1071,12923551
229,3,803,73998734
230,4,644,14475628
231,2,1299,10821563
232,2,1649,10056353
233,2,1074,21603455
234,25,810,33309321
235,5,919,42943554
236,2,1195,8911571
237,6,1013,67511008
238,7,632,16537283
239,5,658,160079508
240,2,525,20953819
241,3,668,70819932
242,4,929,9912355
243,5,741,7788313
245,3,1927,27147055
246,7,535,74468334
247,2,1773,24343371
248,3,1348,35233874
249,2,500,143880306
250,2,713,126010234
251,2,562,54339345
252,4,541,11898455
253,7,423,77904455
254,5,734,131634445
255,4,764,125311262
256,2,850,235664844
257,3,2109,16251093
258,3,600,397375052
259,2,2606,36299745
260,3,1126,13052766
261,3,488,30659318
262,6,1333,37485806
263,5,918,7019646
264,5,1709,11786344
265,7,553,204840049
266,3,493,43761205
267,4,439,50029728
268,3,1175,54832057
269,2,3702,75246300
270,3,1132,9124735
271,4,544,81604638
272,2,1321,31690502
273,2,843,73359740
274,2,987,6103689
275,2,2007,57139026
276,2,2325,11465442
277,2,1064,19653119
278,6,1556,5502293
279,2,623,56639577
280,5,682,69098123
281,2,1143,91312557
282,5,610,51268274
283,2,541,140953108
284,2,399,2926313
285,2,629,5933630
286,2,745,31633538
287,2,669,9243369
288,3,1732,36654853
289,2,707,18090848
290,7,1373,12536875
291,2,1409,12723299
292,2,1109,86091652
293,2,888,25167792
294,11,345,62427655
295,2,377,34795193
296,3,1658,79836790
297,5,740,65321432
298,2,1010,150030352
299,2,618,21165468
300,3,1577,24195591
301,2,579,40666544
302,3,900,38493125
303,2,1666,29177772
304,2,251,147548550
305,2,1364,127940522
306,8,632,62183733
307,3,770,56912981
308,5,736,25038685
309,2,572,86759235
310,2,1119,21068417
311,2,909,41047786
312,2,1122,15527212
313,5,1499,73728565
314,2,799,136368011
315,2,1099,238050181
316,2,1076,141477584
317,2,1190,34826544
318,18,539,27136479
319,2,458,56964321
320,3,817,21910221
321,3,1345,79360597
322,2,1422,27506789
323,6,939,80693882
324,4,1230,89538562
325,6,551,41060226
326,4,878,45334678
327,13,455,80275396
328,8,379,51984262
329,3,1183,64935852
330,3,805,8416178
331,2,1018,11176902
332,3,1335,46625495
333,2,2175,34665939
334,3,397,36924313
335,3,753,114029504
336,2,854,14561583
337,4,902,167959881
338,3,1019,16450261
339,2,1914,28883182
340,5,362,37300526
341,5,458,120493440
342,7,1276,10801286
343,3,655,49649083
344,3,790,30206596
345,3,451,77508445
346,2,468,11589037
347,2,1131,18185133
348,2,1865,13128218
349,6,1348,76042567
350,3,954,16069687
351,16,1000,43849222
352,3,552,187060112
353,3,967,12182762
354,3,928,11309509
355,4,759,76333572
356,2,542,51474151
357,2,1082,11296248
358,3,397,68741218
359,3,1391,32864768
360,2,1832,29608486
361,4,901,100893398
362,2,1166,17532691
363,2,780,190788817
364,2,951,17012047
365,4,1431,102434072
366,3,542,8194457
367,3,1691,108956484
368,2,1282,61022049
369,5,468,58308973
370,2,1170,12073031
371,3,1122,16528492
372,2,1346,11409519
373,2,840,95234142
374,6,557,52244477
375,4,565,168297231
376,2,951,4943851
377,2,804,83398345
378,2,793,73482477
379,5,404,26790537
380,2,1070,6945721
381,4,473,27575472
382,4,579,75720517
383,6,360,60764598
384,2,1139,8970347
385,2,1162,10487369
386,4,816,42051694
387,9,1397,116243211
388,5,734,189981433
389,2,2493,18095085
390,3,1023,12010297
391,3,1035,130454295
392,5,527,10484825
393,6,426,95200288
394,5,1324,15884450
395,3,1489,15826546
396,5,1155,14860673
397,2,1189,20709929
398,3,872,98685636
399,6,382,152358346
400,13,1078,140610018
401,3,446,134249216
402,9,568,33545539
403,5,961,8284908
404,3,829,55743517
405,2,667,23088078
406,2,1067,9477864
407,4,496,138953954
408,3,471,707828184
409,2,623,78948151
410,3,499,7203816
411,4,845,57294188
412,2,1169,48650159
413,6,961,85822358
414,3,653,78737024
415,7,1840,9378756
416,2,539,147308602
417,8,488,40505007
418,2,1141,18019827
419,6,534,52462415
420,5,816,28385857
421,2,2710,84722561
422,8,498,14986795
423,2,640,45753323
424,2,1153,3299971
425,3,797,17314212
426,2,668,52707338
427,2,448,22811407
428,2,1121,168426550
429,2,854,52116516
430,4,635,98552045
431,2,475,18455540
432,2,790,47514135
433,3,700,86331201
434,5,1678,52818552
435,4,525,24641332
436,2,578,79102437
437,2,852,5159466
438,6,637,80453187
439,3,1347,9410075
440,5,640,69408282
441,2,633,47521294
442,3,3056,33198266
443,6,434,102956035
444,2,887,152163982
445,2,498,8492897
446,2,1788,18633195
447,3,651,31234480
448,15,508,76004163
449,2,1261,75851149
450,3,977,143820164
451,5,1260,26950198
452,2,1740,15838928
453,3,705,61920678
454,2,929,14857901
455,3,819,128934547
456,2,2112,65619258
457,2,3883,154387258
458,3,1171,11827934
459,6,1308,30682513
461,3,569,9763291
462,2,731,71763873
463,6,717,60950080
464,3,1497,20887564
465,3,1259,21599201
466,2,783,201623129
467,2,1223,20471289
468,3,1214,54764789
469,2,619,25894667
470,2,1120,8446132
471,4,595,139142254
472,2,975,8784748
473,2,1105,13215381
474,9,1952,107498348
475,2,950,28010207
476,3,1983,13817678
477,3,587,216556199
478,2,813,244089550
479,2,1055,10159708
480,2,824,106976919
481,3,782,71723594
482,3,841,10689918
483,2,420,8243137
484,4,538,41950683
485,12,493,121045074
486,12,815,142405256
487,2,1353,12377396
488,2,2025,12955382
489,2,1036,65154363
490,2,755,29027203
491,3,1344,15364978
492,4,717,71863984
493,2,1601,14059588
494,3,706,55257202
495,2,933,6596825
496,2,1211,21228833
497,4,1601,12787607
498,3,851,12049450
499,2,583,6905691
500,3,1618,18631851
501,5,361,132216380
502,3,1727,60046022
503,3,3158,95418905
504,5,663,104284541
505,3,1348,253970612
506,2,701,32106908
507,12,892,35426048
508,3,800,165810536
509,2,697,47569425
510,3,892,79861078
511,2,1154,8985312
512,24,858,8218249
513,3,415,91773342
514,2,1058,16915769
515,3,654,65386813
516,3,1612,10420042
517,4,741,50110556
518,2,1070,132617866
519,2,554,42912099
520,6,562,59334622
521,5,1637,168610392
522,3,1097,26721977
523,2,1924,17623584
524,2,1733,16141300
525,2,855,44382984
526,2,1372,57576222
527,3,1172,9022394
528,2,427,4460079
529,2,1119,226947300
530,4,499,18987425
531,3,503,36997765
532,5,422,88095196
533,2,1102,10898606
534,5,445,21020080
535,2,484,152374868
536,6,552,6532340
537,2,1212,8195428
538,2,670,56711474
539,2,746,37521493
540,2,919,12913510
541,2,1558,16258531
542,3,602,15870423
543,2,848,23461368
544,4,709,82041323
545,4,478,57625951
546,12,434,154067217
547,2,1292,139844689
548,5,969,44902511
549,5,677,45794347
550,3,650,44098520
551,3,1466,14679704
552,3,653,20933416
553,2,734,54382132
554,3,535,106781577
555,3,793,20686985
556,7,1476,15099516
557,2,1505,13988661
558,3,566,14341037
559,4,952,116430278
560,4,420,104653631
561,2,1175,75098965
562,2,604,527824043
563,5,1826,20766428
564,7,1047,87697616
565,2,560,102372644
566,3,537,78668996
567,5,900,64281152
568,2,637,6452182
569,4,853,30715478
570,5,936,7342512
571,4,639,68313288
572,6,572,75312297
573,2,1528,37217420
574,9,1427,50518805
575,4,889,30954327
576,2,845,67626878
577,2,717,47735695
578,7,1699,106815258
579,6,465,2378802
580,5,785,15256896
581,2,876,8757876
582,2,535,12727637
583,2,982,6041520
584,2,660,27575284
585,4,661,213947116
586,2,500,64932115
587,4,566,90835146
588,3,2339,110700740
589,6,670,30789453
590,3,842,9358603
591,2,1286,6315174
592,2,902,17322018
593,3,393,49792512
594,3,477,210424825
595,12,270,24352145
596,4,1312,74645604
597,2,762,45056145
598,3,731,10182282
599,2,934,50090738
600,3,1797,31240624
601,6,558,26884157
602,6,368,76278066
603,2,650,59999931
604,2,581,27558884
605,3,892,5150266
606,2,569,78749164
607,2,915,18809131
608,3,1275,120539588
609,2,614,6570952
610,6,621,225137105
611,2,627,60515825
612,6,720,48732954
613,2,1322,66434778
614,2,525,67230244
615,8,605,26341061
616,2,1093,8957794
617,4,742,100052662
618,5,946,72921157
619,2,2002,15156212
620,4,480,100757379
621,2,743,7152069
622,2,614,50031514
623,3,1214,12105635
624,3,1244,11171703
625,3,667,10066301
626,6,975,8832117
627,5,540,30148654
628,3,2440,27881844
629,2,1252,21282505
630,2,808,35682934
631,3,554,64694446
632,9,697,22869012
633,2,1423,123978707
634,15,600,34706657
635,2,732,148247130
636,3,551,22580647
637,3,1077,60534561
638,5,673,69020786
639,4,2215,52997369
640,4,681,135743122
641,2,628,178305815
642,3,910,54998631
643,12,596,32157654
644,4,1306,18096339
645,2,1038,245189121
646,5,2101,21757811
647,3,2096,11972624
648,4,500,40822561
649,2,349,13119654
650,4,611,6582298
651,5,353,29192653
652,4,487,58722095
653,3,954,11292495
654,5,978,66787900
655,3,1498,9218966
656,4,469,108769449
657,3,637,74821283
658,3,1478,22102239
659,2,887,7697920
660,2,1940,11808952
661,2,765,41704515
662,3,949,12327000
663,2,845,9528129
664,6,462,133893206
665,2,1841,27702925
666,2,1190,9514496
667,2,807,48987311
668,7,1321,11699046
669,6,633,55115615
670,5,1397,274973597
671,3,1516,12764987
672,5,505,59218831
673,6,660,75175114
674,5,398,86165321
675,2,1184,21449242
676,6,633,235545772
677,3,1497,22710488
678,3,1126,10292511
679,3,1905,14560190
680,2,1574,21282035
681,4,515,27714125
682,2,1473,11828454
683,2,1174,15165111
684,2,499,13149655
685,5,2164,15892210
686,2,697,38762909
687,3,670,27667492
688,2,564,7874119
689,3,426,57893332
690,2,797,73480372
691,2,670,64541133
692,2,1288,23263620
693,4,1155,130876000
694,6,785,89887713
695,3,515,40671509
696,2,433,17467979
697,2,343,34827695
698,4,434,70138165
699,2,1588,11170721
700,2,1753,11405529
701,4,2061,196035611
702,2,763,8267154
703,2,423,31322904
704,5,667,68398856
705,3,1325,13607549
706,3,735,11484961
707,9,798,54510755
708,2,872,112029727
709,3,1342,42681576
710,2,1137,19024757
711,2,478,56665898
712,6,927,61659322
713,2,544,95813904
714,3,559,11441753
715,5,548,107532912
716,3,1587,52807860
717,4,314,76527399
718,2,531,39443106
719,2,1632,13691203
720,2,1445,21589341
721,3,949,10650735
722,3,1074,15452195
723,5,935,16313442
724,2,511,6147943
725,2,1774,13180312
726,2,497,20766368
727,2,967,83174261
728,6,464,104877802
729,2,973,43963376
730,2,2107,73226279
731,3,1190,18928331
732,3,544,85507091
733,5,1668,59881207
734,2,743,10099130
735,2,652,85396336
736,3,587,51997610
737,2,1100,14025741
738,3,697,11276280
739,3,580,10621454
740,3,1612,14271503
741,2,1270,13716260
742,3,945,47155641
743,3,873,16335021
744,2,1141,17802038
745,2,985,28958429
746,2,530,57346328
747,2,1126,135705649
748,3,674,167958215
749,3,2585,15863873
750,5,620,15220655
751,3,966,6788958
752,3,418,44662338
753,2,1159,11119304
754,4,478,59252852
755,2,1566,63690683
756,3,1332,22114953
757,13,551,111583686
758,2,821,117209775
759,2,1678,45253716
760,2,1287,12410781
761,7,1255,20750949
762,2,1979,12431814
763,2,654,22207469
764,3,1107,26815438
765,9,395,58809787
766,3,1791,33457208
767,2,920,22391662
768,8,607,11506425
769,2,1495,34846425
770,2,596,103450300
771,3,783,34064974
772,3,642,76321153
773,4,830,25897687
774,4,800,23595714
775,3,983,31915897
776,3,1717,28449745
777,6,725,21967456
778,5,2619,22659534
779,4,2050,92170756
780,2,1498,69826709
781,2,836,82874883
782,3,964,11282846
783,7,386,76294539
784,4,465,76663839
785,13,727,46388188
786,3,307,63853179
787,3,571,24240425
788,23,1961,32955481
789,5,418,53062724
790,6,912,9530735
791,2,1524,34981921
792,4,418,102066762
793,3,1526,11253488
794,9,418,74269253
795,2,994,82475108
796,3,2171,43934460
797,6,1256,90571557
798,2,1072,3858591
799,7,764,23601537
800,5,856,55746998
801,3,808,56427122
802,2,917,21765849
803,2,387,17754325
804,2,916,9310499
805,3,1201,7222043
806,12,532,61659618
807,3,747,39503089
808,2,1159,49297925
809,2,2245,25859760
810,2,508,122666500
811,3,673,72946986
