고객번호,1_2기증감,2_3기증감,3_4기증감,4_5기증감,5_6기증감
1,-1,1,-1,1,0
2,0,-1,2,-2,1
3,0,0,0,0,0
4,-1,-1,1,1,0
6,-1,-1,1,0,-1
7,2,-1,-1,1,-1
8,1,-1,-1,2,-1
9,0,0,0,0,0
10,-1,0,2,-2,1
11,-1,0,0,2,-2
12,2,0,1,1,-4
13,1,0,0,0,0
14,1,-1,2,-2,0
15,-1,1,2,-2,-1
16,0,-1,0,0,1
17,0,0,0,1,-1
18,0,1,2,-1,1
19,0,0,0,0,-1
20,0,1,0,-1,-1
21,0,0,1,-2,0
22,0,0,0,0,0
23,0,0,-1,1,-1
24,-1,-1,1,0,0
25,-1,0,0,-2,1
26,-1,1,-1,0,2
27,1,0,1,-2,1
28,-1,1,-2,-1,1
29,0,1,0,0,0
30,0,0,-1,1,-1
31,0,-1,0,1,1
32,-1,0,0,1,-1
33,0,1,0,0,0
34,0,1,-1,0,-1
35,0,-2,2,-1,1
36,0,1,-1,2,-2
37,1,-2,0,1,-2
38,1,-1,1,0,0
39,0,0,0,1,-1
40,-1,1,0,-1,0
41,0,1,-1,0,1
42,1,1,1,-2,1
43,0,2,-5,6,0
44,2,0,-3,1,2
45,3,-3,0,0,0
46,0,1,-1,0,1
47,1,-2,2,0,0
48,-1,0,1,-1,0
49,0,0,1,-1,0
50,-1,0,1,0,0
51,0,0,-2,2,-1
52,1,1,0,0,-1
53,-2,3,-3,2,-1
54,-1,1,0,0,0
55,-1,-1,0,1,1
56,0,1,0,-1,0
57,0,1,-1,-4,5
58,0,0,-1,1,0
59,-1,2,0,0,-1
60,0,1,-1,1,-1
61,0,0,1,1,-1
62,-2,0,1,1,-1
63,-2,0,-1,0,1
64,1,-1,0,1,-1
65,0,-1,2,-1,0
66,1,0,0,0,-1
67,0,0,0,1,0
68,0,0,0,0,0
69,1,0,0,0,0
70,2,-3,1,0,-2
71,-1,1,0,-1,1
72,1,-1,2,-1,2
73,0,0,0,0,0
74,-1,0,1,0,1
75,-2,1,1,-1,0
76,0,-1,0,1,-2
77,0,1,0,-1,1
78,-1,1,0,0,-1
79,-1,1,0,1,-1
80,-2,1,-1,-1,0
81,1,-1,1,0,-1
82,1,-1,1,0,-1
83,0,-1,1,-1,0
84,0,0,0,-1,0
85,0,1,-1,-1,0
86,-2,0,0,1,0
87,1,3,-3,-1,3
88,-1,0,0,0,0
89,-2,1,1,-1,2
90,1,0,-2,1,0
91,0,0,0,0,0
92,0,0,-1,1,-1
93,0,0,0,0,0
94,-2,-2,0,0,1
95,-1,1,-3,2,2
96,-1,1,1,-1,0
97,0,0,0,0,0
98,0,0,-1,-1,1
99,0,0,0,0,0
100,-3,1,-1,2,0
101,2,0,0,-1,2
102,2,1,-1,2,-2
103,0,-1,2,-2,1
104,0,0,-3,4,0
105,0,-2,2,-2,2
106,1,0,0,1,-2
107,-1,0,0,0,0
108,1,0,0,0,0
109,2,-1,1,2,-1
110,-2,0,0,0,0
111,0,-1,1,0,0
112,1,0,0,0,0
113,0,1,-1,0,0
114,-2,-1,1,1,-1
115,-1,-1,0,0,0
116,1,1,0,0,-1
117,2,-3,1,1,0
118,0,0,0,0,0
119,-1,1,-1,0,0
120,0,0,0,0,0
121,1,2,-1,-2,2
122,1,1,0,-1,-1
123,0,-1,1,-1,1
124,1,1,-1,1,-1
125,1,-1,1,0,-2
126,3,0,-5,0,2
127,0,0,1,0,2
128,1,-3,4,1,0
129,-2,1,0,1,-1
130,0,1,0,0,0
131,-2,1,0,0,-1
132,1,0,0,-1,-4
133,0,-1,1,-1,0
134,0,0,1,-1,0
135,-4,0,3,0,-1
136,-2,-2,1,1,-2
137,0,0,0,0,0
138,-1,0,0,1,0
139,-1,0,0,2,0
140,0,0,0,0,0
141,0,0,0,0,0
143,0,1,0,0,-1
144,-1,0,1,0,-1
145,-1,-1,0,0,0
146,0,0,0,0,0
147,1,0,-1,-1,2
148,0,0,0,0,-1
149,0,-1,1,1,-1
150,-2,4,-2,2,-2
151,-2,1,1,1,-1
152,1,0,0,-2,-1
153,1,0,-5,4,-1
154,1,2,0,0,0
155,-1,-1,2,0,-1
156,0,0,0,-1,0
157,2,-3,1,0,1
158,0,-1,2,0,-3
159,0,0,0,0,0
160,1,-1,1,0,-1
161,0,0,0,0,0
162,-1,1,-1,-1,1
163,0,1,0,-1,1
164,0,1,-1,1,-1
165,0,0,-1,1,2
166,2,0,0,1,-1
167,0,0,-2,2,0
168,0,0,0,0,-1
169,2,2,0,-1,-1
170,0,0,1,-1,0
171,0,-2,0,3,-1
172,-1,1,0,0,-1
173,-1,-1,2,1,-4
175,0,-1,2,-2,0
176,1,-1,2,0,-1
177,0,0,0,0,0
178,1,0,-2,2,2
179,1,-1,0,0,0
180,-1,1,-1,-1,1
181,1,-1,-1,1,0
182,-1,0,1,-1,0
183,1,0,0,1,0
184,-1,2,-1,2,-2
185,-2,1,-1,0,0
186,1,0,0,0,1
187,1,0,1,0,0
188,0,-1,1,1,-1
189,-1,-1,1,0,1
190,1,1,-1,-1,1
191,0,0,0,0,0
192,0,0,-1,3,-1
193,0,-1,0,1,-1
194,-1,2,-1,1,-1
195,1,0,-1,1,0
196,-1,2,-1,0,0
197,-1,1,-3,2,-2
198,-3,2,-2,3,-3
199,-1,1,0,0,1
200,-1,0,-1,1,-2
201,0,0,0,0,1
202,-1,0,1,-1,1
203,0,0,1,-1,0
204,0,0,-1,2,-1
205,0,1,-1,0,2
206,2,-3,1,-1,2
207,0,0,0,0,-1
208,0,0,0,0,1
209,2,0,-1,2,-2
210,-1,1,0,2,-1
211,1,-2,2,-3,2
212,1,0,-1,2,-3
213,0,2,-3,1,-1
214,0,1,1,-2,-2
215,0,1,-1,0,-1
216,2,-2,2,-2,1
217,0,1,-1,0,0
218,0,0,0,0,0
219,-1,3,-1,1,-1
220,-1,0,0,0,-1
221,1,0,-2,1,1
222,1,0,1,-1,1
223,-1,2,-2,0,0
224,0,0,0,0,0
225,0,0,0,0,0
226,-1,2,-2,1,-2
227,0,0,0,0,0
228,2,-2,2,-1,1
229,0,1,-1,0,0
230,0,1,0,-1,0
231,-1,-2,3,1,0
232,-2,2,-1,1,-2
233,1,-4,4,-1,-2
234,0,-1,1,0,0
235,1,-2,2,-1,-1
236,-1,0,0,0,1
237,1,0,0,-1,1
238,-2,0,-1,3,-2
239,0,0,0,0,0
240,-2,3,-1,1,0
241,1,-1,-1,0,1
242,-1,0,0,0,0
243,0,1,-2,1,0
245,0,0,-1,1,1
246,-1,0,1,0,0
247,0,-1,0,0,1
248,0,1,1,-2,1
249,0,0,0,0,0
250,0,0,0,0,0
251,0,-1,1,-1,2
252,0,0,0,-1,0
253,0,0,0,1,0
254,1,-1,0,0,0
255,0,1,-1,0,0
256,0,0,0,0,1
257,1,0,-1,0,0
258,0,0,0,0,0
259,-2,4,-3,4,-4
260,0,0,1,0,1
261,0,1,0,0,-1
262,0,0,1,-1,-1
263,0,-1,1,0,-1
264,0,-2,-1,1,2
265,0,0,0,0,0
266,0,-1,1,0,1
267,0,0,-1,1,0
268,-1,2,-1,0,1
269,0,0,1,-1,1
270,0,0,1,-1,0
271,-1,-1,0,0,1
272,0,0,1,0,0
273,0,1,0,0,1
274,0,-1,1,0,-1
275,0,-1,1,1,-1
276,0,0,0,-2,2
277,-1,1,-1,1,-2
278,0,0,0,0,0
279,-1,-1,3,-3,1
280,0,0,-1,1,0
281,1,-1,0,0,0
282,1,-1,-1,1,0
283,0,0,0,0,0
284,1,-1,2,-1,1
285,0,-1,0,-2,2
286,-1,1,-1,0,0
287,-2,1,1,0,0
288,0,1,0,0,-1
289,0,1,0,-1,1
290,1,-1,1,0,0
291,1,-1,0,1,-1
292,1,-1,0,0,0
293,1,-2,0,0,0
294,0,0,0,0,0
295,-1,-1,2,-2,1
296,1,1,0,-1,-1
297,-1,-1,1,2,-2
298,-2,0,-1,0,0
299,1,0,2,-1,1
300,1,0,-1,0,1
301,1,1,-2,-1,2
302,0,0,0,1,-1
303,4,1,-1,-4,4
304,0,0,0,0,0
305,0,-2,1,-1,1
306,0,-1,0,-1,1
307,1,0,0,0,1
308,-1,1,-2,2,1
309,-1,0,0,0,0
310,0,2,0,-1,2
311,0,0,0,0,0
312,-1,-1,0,0,1
313,1,1,0,-1,0
314,1,0,-1,2,-1
315,-1,0,0,1,-1
316,3,-1,-2,1,1
317,-1,-1,2,0,1
318,0,-1,0,2,-1
319,0,0,1,-1,1
320,2,-1,1,-1,0
321,2,0,0,0,1
322,1,-1,0,-1,2
323,0,0,0,0,0
324,0,-2,2,-1,1
325,0,0,0,1,-1
326,-1,2,-1,-1,2
327,0,1,-1,0,1
328,0,-1,0,0,1
329,-1,0,2,0,0
330,2,-2,-2,2,1
331,0,1,1,-2,2
332,1,0,0,-1,1
333,0,-1,1,0,-1
334,0,-1,1,-2,1
335,-1,0,0,0,0
336,1,1,0,0,-2
337,0,0,0,0,1
338,0,0,2,-2,1
339,-1,0,1,0,0
340,1,-1,1,-1,1
341,-1,0,0,0,0
342,0,0,0,0,0
343,1,-1,1,0,-1
344,1,0,-1,0,0
345,0,0,0,0,1
346,0,0,0,1,-2
347,0,0,1,-1,0
348,1,0,1,0,-1
349,2,-3,3,-2,2
350,1,1,-1,2,-2
351,-1,2,-1,-1,1
352,0,0,0,0,0
353,0,-1,3,-2,1
354,0,-1,2,-2,-1
355,-2,-2,0,0,4
356,1,-1,-1,1,0
357,-2,0,-1,0,0
358,-1,0,0,0,1
359,1,-1,0,0,1
360,0,0,1,0,-2
361,0,1,-1,1,-1
362,0,0,2,-3,0
363,0,0,2,-2,0
364,-3,1,2,-2,1
365,0,1,1,1,-1
366,-2,2,-1,-1,0
367,0,0,-2,1,0
368,-1,0,1,0,0
369,1,0,0,0,-1
370,2,0,-1,2,-2
371,0,1,0,0,0
372,-1,1,0,0,0
373,-4,1,-1,0,-1
374,-1,1,0,0,0
375,0,0,0,0,0
376,0,0,0,0,0
377,-1,1,-1,0,1
378,-1,2,-1,1,-1
379,0,-1,2,-2,1
380,-3,2,0,1,0
381,-2,-1,0,0,0
382,0,1,-1,3,-3
383,0,0,0,0,0
384,0,0,1,0,-1
385,-4,0,3,0,0
386,2,-2,0,1,-2
387,-1,0,0,0,0
388,0,1,-1,0,0
389,-1,1,0,0,0
390,-1,0,0,0,1
391,-1,0,1,2,-2
392,0,-1,-3,4,-3
393,0,2,-2,0,0
394,0,1,0,-1,1
395,0,1,-2,-2,3
396,-1,1,-1,0,-1
397,-1,0,-1,3,0
398,0,-1,-1,3,-3
399,0,0,0,0,0
400,1,0,-1,1,-1
401,0,0,0,0,0
402,0,0,0,-1,1
403,1,0,-1,-1,1
404,-1,1,0,0,0
405,-1,1,-1,0,0
406,-1,0,0,1,0
407,0,0,0,0,0
408,0,0,0,0,0
409,1,0,-1,0,0
410,1,-3,1,-1,1
411,0,0,0,0,1
412,1,0,0,1,0
413,1,-3,3,-2,0
414,2,-1,-1,1,-1
415,1,0,0,0,0
416,0,0,0,0,1
417,2,0,-1,0,0
418,1,-1,0,1,0
419,-1,-1,1,0,0
420,-2,1,0,-1,0
421,0,0,0,0,0
422,0,0,0,0,-1
423,1,-1,0,1,0
424,0,0,0,0,0
425,-1,1,1,0,-1
426,-2,0,1,-1,0
427,2,-2,1,-2,1
428,1,0,0,1,-2
429,0,1,1,-1,0
430,1,0,-1,1,0
431,0,-1,1,0,0
432,-2,3,-1,0,0
433,0,0,0,0,-1
434,0,-1,2,-1,0
435,1,0,1,0,-1
436,0,0,0,1,0
437,-1,1,0,0,-2
438,-1,0,0,0,1
439,0,0,0,0,1
440,0,1,-1,1,0
441,-2,1,1,-1,0
442,0,0,1,-1,0
443,-1,0,0,0,0
444,1,-2,2,-1,0
445,-1,0,0,0,1
446,1,0,0,-1,-1
447,-1,0,0,-1,0
448,-1,0,0,0,1
449,-1,-1,-1,4,-3
450,-2,0,1,0,0
451,0,0,1,2,-3
452,1,-2,1,1,-1
453,-2,2,-1,1,0
454,0,-1,1,-1,0
455,1,0,0,-1,0
456,-2,2,-3,1,0
457,1,0,-2,1,1
458,0,-1,0,1,-1
459,0,-1,1,0,-1
461,-1,1,2,0,-2
462,0,-1,0,2,-1
463,1,-1,0,0,1
464,3,-1,1,-1,-1
465,-1,2,-2,0,0
466,-1,0,0,0,0
467,1,1,0,0,1
468,-1,1,1,-1,0
469,-3,2,0,1,0
470,0,-1,1,0,1
471,0,0,0,0,0
472,2,0,0,-1,1
473,1,0,-1,0,1
474,1,1,-2,1,0
475,1,0,1,-1,0
476,0,0,0,0,-1
477,0,0,0,0,0
478,0,0,0,0,0
479,-4,2,2,-2,2
480,0,-1,0,1,-1
481,0,-1,1,0,0
482,0,-1,-1,1,-1
483,0,1,0,-2,2
484,1,-1,0,1,-1
