,고객번호,성별,연령대,이용횟수,경쟁사이용횟수,멤버쉽보유
0,1,M,60세이상,0.0,15.0,0.0
1,2,M,60세이상,0.0,8.0,0.0
2,3,M,60세이상,0.0,0.0,0.0
3,4,F,60세이상,0.0,3.0,0.0
4,6,F,60세이상,0.0,0.0,0.0
5,7,F,60세이상,4.0,1.0,0.0
6,8,M,60세이상,0.0,3.0,0.0
7,9,F,60세이상,0.0,0.0,0.0
8,10,F,60세이상,0.0,0.0,0.0
9,11,M,60세이상,0.0,2.0,1.0
10,12,M,60세이상,0.0,0.0,0.0
11,13,F,60세이상,0.0,0.0,0.0
12,14,F,60세이상,1.0,0.0,0.0
13,15,F,60세이상,0.0,1.0,0.0
14,16,F,60세이상,0.0,7.0,0.0
15,17,M,60세이상,0.0,2.0,0.0
16,18,F,60세이상,0.0,0.0,0.0
17,19,F,60세이상,0.0,0.0,0.0
18,20,M,60세이상,0.0,25.0,0.0
19,21,M,60세이상,0.0,0.0,1.0
20,22,F,60세이상,0.0,0.0,0.0
21,23,M,60세이상,0.0,0.0,0.0
22,24,M,60세이상,0.0,0.0,0.0
23,25,F,60세이상,0.0,10.0,0.0
24,26,F,60세이상,0.0,1.0,0.0
25,27,M,60세이상,0.0,11.0,0.0
26,28,F,60세이상,0.0,0.0,0.0
27,29,M,60세이상,0.0,0.0,0.0
28,30,F,60세이상,0.0,0.0,0.0
29,31,F,60세이상,0.0,0.0,0.0
30,32,F,60세이상,0.0,0.0,0.0
31,33,M,60세이상,0.0,0.0,0.0
32,34,F,60세이상,0.0,5.0,0.0
33,35,F,60세이상,0.0,10.0,0.0
34,36,M,60세이상,0.0,0.0,0.0
35,37,F,60세이상,0.0,9.0,1.0
36,38,F,60세이상,0.0,0.0,0.0
37,39,F,60세이상,0.0,0.0,0.0
38,40,M,60세이상,0.0,0.0,0.0
39,41,M,60세이상,0.0,0.0,0.0
40,42,M,60세이상,23.0,0.0,0.0
41,43,F,60세이상,0.0,2.0,1.0
42,44,F,60세이상,0.0,0.0,1.0
43,45,F,60세이상,0.0,1.0,0.0
44,46,F,60세이상,0.0,4.0,0.0
45,47,F,60세이상,0.0,0.0,0.0
46,48,F,60세이상,0.0,0.0,0.0
47,49,F,60세이상,0.0,1.0,0.0
48,50,F,60세이상,0.0,0.0,0.0
49,51,F,60세이상,0.0,2.0,0.0
50,52,F,60세이상,0.0,0.0,0.0
51,53,M,60세이상,0.0,3.0,0.0
52,54,F,60세이상,0.0,12.0,0.0
