고객번호,구매금액14년_1,구매금액14년_2,구매금액14년_3,구매금액14년_4,구매금액15년_1,구매금액15년_2,구매금액15년_3,구매금액15년_4,구매횟수14년_1,구매횟수14년_2,구매횟수14년_3,구매횟수14년_4,구매횟수15년_1,구매횟수15년_2,구매횟수15년_3,구매횟수15년_4,평균합계14년_1,평균합계14년_2,평균합계14년_3,평균합계14년_4,평균합계15년_1,평균합계15년_2,평균합계15년_3,평균합계15년_4
1,8995830,11108208,12181085,20694109,9408637,9217175,8791995,4375703,77,82,100,119,111,74,68,50,116828.961,135465.9512,121810.85,173900.0756,84762.4955,124556.4189,129294.0441,87514.06
2,13898275,10506632,16767689,6279615,18691370,9983630,15589935,9915859,103,85,95,72,95,71,81,74,134934.7087,123607.4353,176501.9895,87216.875,196751.2632,140614.507,192468.3333,133998.0946
3,297954,564933,732328,349738,282482,335610,474161,213252,56,72,94,74,37,57,53,47,5320.607143,7846.291667,7790.723404,4726.189189,7634.648649,5887.894737,8946.433962,4537.276596
4,1288761,3844758,2750416,1616790,1757022,2058513,2395614,1330362,45,92,56,49,66,68,79,78,28639.13333,41790.84783,49114.57143,32995.71429,26621.54545,30272.25,30324.22785,17055.92308
5,3095178,2384464,2064487,353350,2148556,869132,0,2161652,114,106,59,16,61,20,0,50,27150.68421,22494.9434,34991.30508,22084.375,35222.22951,43456.6,#DIV/0!,43233.04
6,2131469,3209011,3573892,2616890,3660336,2970191,3962179,2647173,90,108,92,106,113,87,110,115,23682.98889,29713.06481,38846.65217,24687.64151,32392.35398,34140.12644,36019.80909,23018.89565
7,10466287,2927836,5323170,14386009,9238628,12748434,3738894,12370141,70,64,53,75,69,69,54,77,149518.3857,45747.4375,100437.1698,191813.4533,133893.1594,184759.913,69238.77778,160651.1818
8,6328570,5422652,7908093,9889712,7174474,7948735,8799609,8419056,65,84,82,69,100,91,109,116,97362.61538,64555.38095,96440.15854,143329.1594,71744.74,87348.73626,80730.3578,72578.06897
9,14134567,24623007,19106279,20353926,54986074,31762932,24884894,16292159,30,92,94,100,70,94,67,102,471152.2333,267641.3804,203258.2872,203539.26,785515.3429,337903.5319,371416.3284,159727.049
10,2504492,2663651,2545383,1748831,2907239,2567005,2448337,1448167,97,95,116,96,83,103,106,76,25819.50515,28038.43158,21942.9569,18216.98958,35026.9759,24922.37864,23097.51887,19054.82895
11,12378240,15291908,36042326,11306991,2955558,32635432,4092783,16486572,83,75,89,87,46,65,57,95,149135.4217,203892.1067,404969.9551,129965.4138,64251.26087,502083.5692,71803.21053,173542.8632
12,983577,201876,544014,310589,288351,1016825,2477440,784620,33,17,48,43,28,39,47,40,29805.36364,11875.05882,11333.625,7223,10298.25,26072.4359,52711.48936,19615.5
13,1755235,2194957,1896290,2278900,2458698,2819078,2923002,1563098,72,77,73,90,89,100,98,77,24378.26389,28505.93506,25976.57534,25321.11111,27625.82022,28190.78,29826.55102,20299.97403
14,4084087,5514928,5377499,2910523,6153165,5723611,3467396,2083538,68,133,96,89,77,84,82,61,60060.10294,41465.62406,56015.61458,32702.50562,79911.23377,68138.22619,42285.31707,34156.36066
15,3976214,5743696,3177680,1168873,3156946,5646561,1961767,1023729,112,93,93,71,86,103,91,70,35501.91071,61760.17204,34168.60215,16463,36708.67442,54820.98058,21557.87912,14624.7
16,692932,581277,1295460,1594087,2378321,1397345,1451799,1465539,30,24,45,53,73,65,49,72,23097.73333,24219.875,28788,30077.11321,32579.73973,21497.61538,29628.55102,20354.70833
17,24963162,25372116,6136226,12999527,4356368,22171476,22405793,23013294,60,53,17,58,42,77,99,114,416052.7,478719.1698,360954.4706,224129.7759,103723.0476,287941.2468,226321.1414,201871
18,40421804,21998019,13633580,780859,1760863,1129421,1651079,800442,108,114,91,24,41,38,44,41,374275.963,192965.0789,149819.5604,32535.79167,42947.87805,29721.60526,37524.52273,19522.97561
19,5912460,4943713,2733390,6097282,3172403,8495757,7152082,4491634,59,68,37,64,49,60,50,50,100211.1864,72701.66176,73875.40541,95270.03125,64742.91837,141595.95,143041.64,89832.68
