,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ
YEAR,2014,2015
°í°´¹øÈ£,,
1,89191.0,68669.0
2,77791.0,107077.0
3,2632.0,2888.0
4,21495.0,15454.0
5,15577.0,24431.0
6,15396.0,15687.0
7,85318.0,96937.0
8,35261.0,31492.0
9,232100.0,317434.0
10,5540.0,5512.0
11,159277.0,160947.0
12,9445.0,16488.0
13,6383.0,6061.0
14,23474.0,31687.0
15,27051.0,23578.0
16,18182.0,17801.0
17,237914.0,122151.0
18,143081.0,24171.0
19,63918.0,85391.0
20,18072.0,26956.0
21,10090.0,10897.0
22,361051.0,223072.0
23,86782.0,121377.0
24,14921.0,14841.0
25,40262.0,90616.0
26,172859.0,79692.0
27,92480.0,98679.0
28,4880.0,8362.0
29,109090.0,80234.0
30,41705.0,50163.0
31,15351.0,12257.0
32,13112.0,13393.0
33,4684.0,4231.0
34,14040.0,20519.0
35,48155.0,43817.0
36,54156.0,39109.0
37,54915.0,49420.0
38,8364.0,9311.0
39,502506.0,232358.0
40,24551.0,38108.0
41,31634.0,22029.0
42,7349.0,7212.0
43,9778.0,4659.0
44,111137.0,92229.0
45,242919.0,350813.0
46,173594.0,206473.0
47,14458.0,9490.0
48,122451.0,131307.0
49,105525.0,171718.0
50,16801.0,12140.0
51,12432.0,11450.0
52,33853.0,26411.0
53,95284.0,40028.0
54,16646.0,11882.0
55,8793.0,7452.0
56,108864.0,129582.0
57,4697.0,5701.0
58,45067.0,39177.0
59,34095.0,30964.0
60,18456.0,22271.0
61,17972.0,13508.0
62,25247.0,18936.0
63,9489.0,10845.0
64,4608.0,4882.0
65,23927.0,21483.0
66,8687.0,8507.0
67,6347.0,4919.0
68,214638.0,157706.0
69,4218.0,4026.0
70,38373.0,101399.0
71,4180.0,4568.0
72,11150.0,8505.0
73,341055.0,412728.0
74,59629.0,23689.0
75,5873.0,5301.0
76,12681.0,13782.0
77,32432.0,33424.0
78,82074.0,97625.0
79,8390.0,7551.0
80,5311.0,7566.0
81,87009.0,102710.0
82,121463.0,146067.0
83,109898.0,130910.0
84,72800.0,175223.0
85,13327.0,17860.0
86,18541.0,17205.0
87,112807.0,66536.0
88,35927.0,45533.0
89,9610.0,6673.0
90,113513.0,90021.0
91,21706.0,20214.0
92,26797.0,36600.0
93,162839.0,143019.0
94,39366.0,70749.0
95,6457.0,5854.0
96,51968.0,32096.0
97,643640.0,585117.0
98,24074.0,34034.0
99,191893.0,200968.0
100,49890.0,21817.0
101,8776.0,7745.0
102,55090.0,26697.0
103,5387.0,5405.0
104,7335.0,5531.0
105,9024.0,10552.0
106,81914.0,92723.0
107,132658.0,180005.0
108,15192.0,14512.0
109,7362.0,4652.0
110,19396.0,19424.0
111,3478.0,3272.0
112,89847.0,117675.0
113,58830.0,54173.0
114,35770.0,24598.0
115,92219.0,141410.0
116,4719.0,4652.0
117,46056.0,24440.0
118,139304.0,152443.0
119,65275.0,74643.0
120,212021.0,207662.0
121,19818.0,23064.0
122,27888.0,38168.0
123,6442.0,6345.0
124,57795.0,55941.0
125,18091.0,18708.0
126,24485.0,25921.0
127,13846.0,8786.0
128,15333.0,8054.0
129,7399.0,7127.0
130,47448.0,38030.0
131,14733.0,15760.0
132,5400.0,8748.0
133,15611.0,24954.0
134,123379.0,142862.0
135,22817.0,14954.0
136,41527.0,70987.0
137,73397.0,116385.0
138,72151.0,36078.0
139,52239.0,22402.0
