,고객번호,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,8기구매등급,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,7기구매횟수,8기구매횟수
1870,1,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,121.0,117.0,142.0,214.0,172.0,140.0,73.0,78.0
911,2,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,184.0,155.0,139.0,132.0,145.0,116.0,126.0,119.0
18376,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,139.0,209.0,246.0,145.0,87.0,133.0,139.0,93.0
13075,4,7.0,3.0,5.0,6.0,7.0,6.0,5.0,7.0,93.0,177.0,85.0,87.0,122.0,141.0,118.0,107.0
8538,6,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,192.0,192.0,178.0,187.0,237.0,160.0,228.0,219.0
1488,7,1.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0,99.0,94.0,94.0,101.0,103.0,97.0,95.0,98.0
2996,8,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,162.0,223.0,263.0,190.0,268.0,257.0,279.0,223.0
880,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,94.0,100.0,109.0,79.0,114.0,86.0,124.0
7365,10,4.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,462.0,412.0,390.0,444.0,469.0,449.0,454.0,328.0
1113,11,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,137.0,99.0,119.0,116.0,78.0,90.0,69.0,112.0
15258,12,9.0,10.0,10.0,10.0,10.0,9.0,5.0,9.0,76.0,25.0,60.0,55.0,54.0,87.0,70.0,66.0
10181,13,6.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,246.0,319.0,278.0,430.0,403.0,441.0,414.0,353.0
4794,14,3.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,124.0,266.0,178.0,194.0,143.0,139.0,153.0,115.0
4896,15,3.0,3.0,4.0,8.0,4.0,3.0,7.0,8.0,151.0,127.0,127.0,115.0,129.0,156.0,124.0,91.0
17020,16,10.0,10.0,8.0,7.0,5.0,8.0,8.0,6.0,43.0,34.0,66.0,86.0,127.0,93.0,71.0,85.0
282,17,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,91.0,61.0,60.0,80.0,91.0,199.0,153.0,146.0
88,18,1.0,1.0,1.0,10.0,7.0,9.0,7.0,9.0,150.0,184.0,162.0,41.0,53.0,48.0,62.0,58.0
3244,19,2.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,89.0,85.0,50.0,84.0,64.0,71.0,71.0,67.0
5831,20,4.0,4.0,5.0,6.0,3.0,4.0,5.0,4.0,155.0,142.0,156.0,146.0,153.0,98.0,92.0,105.0
7967,21,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,212.0,215.0,314.0,264.0,198.0,342.0,338.0,311.0
1274,22,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,69.0,59.0,30.0,71.0,82.0,72.0,30.0,82.0
3076,23,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,116.0,100.0,115.0,186.0,118.0,61.0,51.0,36.0
14505,24,8.0,6.0,6.0,7.0,8.0,9.0,7.0,7.0,101.0,108.0,98.0,137.0,90.0,91.0,113.0,80.0
14025,25,8.0,4.0,4.0,6.0,1.0,2.0,5.0,1.0,47.0,64.0,67.0,50.0,116.0,95.0,57.0,130.0
929,26,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,154.0,109.0,105.0,88.0,84.0,211.0,142.0,121.0
909,27,1.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0,71.0,106.0,67.0,66.0,68.0,79.0,122.0,69.0
16856,28,9.0,8.0,10.0,9.0,10.0,8.0,6.0,9.0,165.0,267.0,161.0,198.0,96.0,206.0,183.0,112.0
1626,29,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,80.0,96.0,126.0,103.0,139.0,139.0,117.0,126.0
2195,30,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,235.0,336.0,318.0,316.0,241.0,274.0,321.0,275.0
13681,31,8.0,8.0,6.0,5.0,6.0,8.0,6.0,6.0,100.0,112.0,101.0,127.0,120.0,140.0,156.0,139.0
13003,32,7.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,129.0,179.0,206.0,196.0,197.0,169.0,198.0,209.0
12132,33,7.0,7.0,8.0,9.0,8.0,8.0,7.0,8.0,276.0,305.0,286.0,238.0,302.0,330.0,378.0,289.0
10902,34,6.0,4.0,7.0,5.0,7.0,6.0,8.0,9.0,136.0,199.0,140.0,172.0,127.0,91.0,53.0,30.0
5060,35,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,115.0,133.0,88.0,90.0,90.0,205.0,144.0,129.0
4344,36,3.0,2.0,3.0,3.0,6.0,2.0,2.0,4.0,71.0,170.0,131.0,87.0,80.0,112.0,158.0,151.0
9452,37,6.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,59.0,136.0,146.0,198.0,145.0,115.0,157.0,201.0
7759,38,5.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,266.0,291.0,368.0,371.0,357.0,334.0,355.0,338.0
27,39,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,42.0,94.0,55.0,84.0,78.0,97.0,61.0,63.0
8018,40,5.0,3.0,6.0,6.0,3.0,4.0,2.0,4.0,121.0,132.0,84.0,99.0,128.0,93.0,102.0,99.0
9432,41,5.0,4.0,8.0,5.0,4.0,6.0,6.0,4.0,67.0,81.0,65.0,72.0,110.0,101.0,144.0,75.0
11948,42,7.0,5.0,6.0,8.0,5.0,6.0,6.0,4.0,148.0,247.0,273.0,237.0,308.0,358.0,330.0,296.0
15086,43,8.0,10.0,10.0,5.0,10.0,10.0,9.0,10.0,146.0,104.0,73.0,110.0,131.0,209.0,206.0,130.0
3982,44,3.0,4.0,3.0,1.0,2.0,4.0,2.0,1.0,67.0,108.0,224.0,118.0,107.0,125.0,119.0,126.0
262,45,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,80.0,77.0,128.0,98.0,124.0,77.0,98.0
351,46,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,63.0,69.0,63.0,81.0,78.0,107.0,93.0,126.0
5759,47,4.0,3.0,2.0,6.0,5.0,7.0,9.0,7.0,279.0,357.0,208.0,174.0,238.0,180.0,101.0,176.0
2890,48,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,87.0,78.0,83.0,81.0,84.0,88.0,111.0,55.0
1962,49,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,86.0,102.0,88.0,69.0,90.0,85.0,88.0,74.0
5922,50,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,207.0,246.0,188.0,201.0,232.0,211.0,263.0,217.0
4652,51,3.0,4.0,5.0,3.0,5.0,6.0,8.0,5.0,385.0,273.0,254.0,216.0,223.0,144.0,165.0,153.0
2696,52,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,115.0,137.0,165.0,167.0,207.0,188.0,146.0,126.0
