고객번호,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,8기구매등급,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,7기구매횟수,8기구매횟수
1,1,1,1,1,2,2,2,3,121,117,142,214,172,140,73,78
2,1,1,1,2,1,2,1,1,184,155,139,132,145,116,126,119
3,10,10,10,10,10,10,10,10,139,209,246,145,87,133,139,93
4,7,3,5,6,7,6,5,7,93,177,85,87,122,141,118,107
6,5,4,4,4,4,4,3,4,192,192,178,187,237,160,228,219
7,1,4,3,1,2,1,4,1,99,94,94,101,103,97,95,98
8,2,3,2,2,2,2,2,2,162,223,263,190,268,257,279,223
9,1,1,1,1,1,1,1,1,34,94,100,109,79,114,86,124
10,4,5,5,6,4,5,5,6,462,412,390,444,469,449,454,328
11,1,1,1,1,4,1,3,1,137,99,119,116,78,90,69,112
12,9,10,10,10,10,9,5,9,76,25,60,55,54,87,70,66
13,6,5,6,5,5,5,5,6,246,319,278,430,403,441,414,353
14,3,3,3,4,2,3,4,5,124,266,178,194,143,139,153,115
15,3,3,4,8,4,3,7,8,151,127,127,115,129,156,124,91
16,10,10,8,7,5,8,8,6,43,34,66,86,127,93,71,85
17,1,1,2,1,3,1,1,1,91,61,60,80,91,199,153,146
18,1,1,1,10,7,9,7,9,150,184,162,41,53,48,62,58
19,2,3,5,2,4,2,2,3,89,85,50,84,64,71,71,67
20,4,4,5,6,3,4,5,4,155,142,156,146,153,98,92,105
21,5,5,4,5,4,3,4,5,212,215,314,264,198,342,338,311
22,1,1,1,1,1,2,5,1,69,59,30,71,82,72,30,82
23,2,2,2,1,2,2,2,2,116,100,115,186,118,61,51,36
24,8,6,6,7,8,9,7,7,101,108,98,137,90,91,113,80
25,8,4,4,6,1,2,5,1,47,64,67,50,116,95,57,130
26,1,1,2,1,1,2,2,1,154,109,105,88,84,211,142,121
27,1,2,3,4,2,2,1,4,71,106,67,66,68,79,122,69
28,9,8,10,9,10,8,6,9,165,267,161,198,96,206,183,112
29,1,1,1,2,1,1,2,1,80,96,126,103,139,139,117,126
30,2,1,1,1,1,1,1,1,235,336,318,316,241,274,321,275
31,8,8,6,5,6,8,6,6,100,112,101,127,120,140,156,139
32,7,5,4,5,5,5,5,4,129,179,206,196,197,169,198,209
33,7,7,8,9,8,8,7,8,276,305,286,238,302,330,378,289
34,6,4,7,5,7,6,8,9,136,199,140,172,127,91,53,30
35,3,3,2,4,2,2,2,2,115,133,88,90,90,205,144,129
36,3,2,3,3,6,2,2,4,71,170,131,87,80,112,158,151
37,6,4,2,1,2,1,2,2,59,136,146,198,145,115,157,201
38,5,5,4,5,4,5,3,4,266,291,368,371,357,334,355,338
39,1,1,2,1,2,1,1,1,42,94,55,84,78,97,61,63
40,5,3,6,6,3,4,2,4,121,132,84,99,128,93,102,99
41,5,4,8,5,4,6,6,4,67,81,65,72,110,101,144,75
42,7,5,6,8,5,6,6,4,148,247,273,237,308,358,330,296
43,8,10,10,5,10,10,9,10,146,104,73,110,131,209,206,130
44,3,4,3,1,2,4,2,1,67,108,224,118,107,125,119,126
45,1,6,1,1,1,1,1,1,67,80,77,128,98,124,77,98
46,1,1,4,2,1,2,1,1,63,69,63,81,78,107,93,126
47,4,3,2,6,5,7,9,7,279,357,208,174,238,180,101,176
48,2,2,1,2,1,1,2,2,87,78,83,81,84,88,111,55
49,2,1,1,3,1,2,1,2,86,102,88,69,90,85,88,74
50,4,3,4,4,4,5,4,4,207,246,188,201,232,211,263,217
51,3,4,5,3,5,6,8,5,385,273,254,216,223,144,165,153
52,2,3,4,3,3,2,3,4,115,137,165,167,207,188,146,126
53,4,1,5,1,3,3,5,4,67,84,134,99,94,85,86,105
54,7,6,8,7,9,9,9,7,83,92,93,91,68,95,109,119
55,9,10,8,9,9,10,9,10,145,89,124,119,133,129,137,79
56,1,1,4,2,1,1,3,1,100,93,61,112,91,118,83,108
57,8,7,9,8,5,10,8,8,259,284,244,243,153,197,332,285
58,4,4,4,3,4,5,5,3,73,72,74,78,89,90,63,79
59,3,3,4,4,5,4,4,4,95,85,121,129,111,112,95,94
60,5,3,4,3,5,3,3,3,112,183,185,214,163,214,224,181
61,2,3,4,5,5,5,4,4,289,247,137,206,200,179,279,168
62,7,3,4,5,5,5,5,5,100,144,123,114,152,105,105,129
63,10,9,10,10,9,10,9,10,64,93,74,63,67,91,80,84
64,10,10,10,10,10,10,10,10,145,176,127,138,114,66,11,42
65,6,6,3,9,3,5,8,5,96,95,111,85,172,129,60,129
66,4,5,6,5,5,5,5,5,264,247,262,293,282,274,285,233
67,9,9,8,7,7,8,7,7,145,169,217,217,286,303,315,326
68,1,1,1,1,1,1,1,1,196,243,292,191,132,156,214,166
69,7,6,5,6,6,6,5,5,333,445,536,497,427,507,567,554
70,3,6,1,3,4,5,5,3,135,153,120,120,77,11,19,13
71,10,10,10,10,10,10,10,10,141,131,161,132,143,138,174,93
72,9,10,6,8,8,9,8,7,66,79,139,138,129,176,155,149
73,1,1,1,1,1,1,1,1,98,95,106,69,79,48,75,65
74,3,2,2,4,4,6,9,5,95,120,127,63,115,101,63,75
75,10,10,10,10,10,10,10,10,106,99,126,146,101,89,119,141
76,7,7,9,6,9,6,8,6,120,154,77,124,90,124,132,102
77,3,3,3,3,3,3,4,2,99,111,198,141,107,152,131,153
78,1,2,1,2,1,1,1,2,111,70,129,126,153,173,138,129
79,6,6,5,5,8,5,5,7,270,193,273,273,210,312,312,189
80,9,9,8,7,8,7,9,5,243,129,227,248,177,221,221,209
81,1,3,1,3,2,1,1,2,89,99,75,77,130,117,121,87
82,1,2,1,2,1,1,1,1,103,132,193,162,188,157,118,130
83,2,1,1,2,1,1,1,1,63,125,186,126,156,135,164,101
84,2,4,3,6,1,1,7,3,99,38,65,35,77,85,40,63
85,9,9,10,6,6,5,5,5,58,52,85,138,98,150,151,145
86,5,3,3,3,3,3,2,2,225,252,230,240,408,367,313,237
87,1,1,10,3,2,7,2,4,63,126,43,70,62,78,67,52
88,3,2,2,2,2,3,3,1,186,182,177,208,237,146,176,192
89,8,4,5,7,5,6,7,6,154,267,234,201,261,330,279,316
90,4,4,3,1,4,3,2,2,35,72,88,94,47,71,77,58
91,5,5,5,5,4,5,5,6,105,93,120,122,114,121,122,127
92,2,3,2,2,3,2,2,2,247,244,260,218,198,207,252,168
93,1,1,1,2,1,1,1,1,104,101,89,16,113,86,169,105
94,10,10,2,2,3,3,1,1,14,28,166,236,172,178,184,188
95,9,9,10,8,9,10,9,9,174,176,120,140,154,185,184,161
96,3,1,2,5,4,7,4,5,85,125,131,93,83,57,89,90
97,1,1,1,1,1,1,1,1,205,219,160,217,226,275,213,118
98,5,5,4,4,3,5,5,5,118,121,129,99,62,83,79,101
99,1,1,1,1,1,1,1,1,123,194,195,139,158,204,173,132
100,8,2,2,2,7,9,5,10,66,90,134,158,77,56,103,7
101,7,10,10,10,9,10,9,9,126,66,80,102,116,105,125,136
102,1,1,1,1,2,1,2,2,343,337,359,361,410,299,296,309
103,10,10,9,10,10,10,10,10,138,104,136,80,102,108,140,95
104,6,6,5,5,7,6,5,7,279,359,343,195,279,380,412,251
105,5,4,3,5,4,6,3,5,320,377,310,348,228,254,287,251
106,1,1,3,2,4,2,2,1,64,134,75,131,91,87,92,113
107,2,1,1,1,1,1,2,1,102,112,80,128,88,129,96,106
108,5,8,7,6,8,5,6,5,97,77,127,136,101,164,153,150
109,6,8,8,9,10,10,10,9,218,184,197,185,174,167,162,174
110,5,4,2,3,4,4,4,6,210,165,233,208,168,167,177,94
