고객번호,성별,연령대,거주지역,1번품목구매비율(%),2번품목구매비율(%),3번품목구매비율(%),4번품목구매비율(%),경쟁사이용횟수,멤버쉽보유,온라인이용횟수,1기구매비율(%),2기구매비율(%),3기구매비율(%),4기구매비율(%),5기구매비율(%),6기구매비율(%),7기구매비율(%),8기구매비율(%),분기증감확인
1,1,5,1,2.86,27.7,66.92,2.52,15.0,0.0,0.0,11.46,14.63,13.22,14.9,8.43,10.15,18.56,8.65,0
2,1,5,0,3.64,36.73,53.35,6.28,8.0,0.0,0.0,10.3,9.24,16.44,6.49,17.57,11.73,16.87,11.36,0
3,1,5,0,4.47,95.53,0.0,0.0,0.0,0.0,0.0,9.88,12.45,13.71,11.11,14.96,11.62,15.71,10.56,0
4,0,5,1,2.72,26.13,66.48,4.67,3.0,0.0,0.0,9.35,14.65,21.83,12.53,9.71,9.85,13.69,8.39,0
6,0,5,3,4.99,45.59,40.38,9.04,0.0,0.0,0.0,8.86,13.33,16.02,11.16,12.32,14.81,13.86,9.64,1
7,0,5,1,0.84,26.09,71.95,1.12,1.0,0.0,4.0,14.63,4.31,7.84,19.71,12.41,18.19,5.45,17.47,1
8,1,5,0,5.44,67.6,15.55,11.4,3.0,0.0,0.0,14.34,8.92,11.03,19.1,9.82,11.35,11.57,13.85,1
9,0,5,0,2.17,45.28,40.83,11.72,0.0,0.0,0.0,16.96,10.69,7.8,7.62,28.4,11.37,11.81,5.36,1
10,0,5,1,1.0,12.59,82.19,4.22,0.0,0.0,0.0,12.3,14.67,14.81,8.94,14.06,12.97,12.24,10.02,0
11,1,5,0,2.17,42.03,52.77,3.03,2.0,1.0,0.0,7.22,12.34,24.19,7.78,3.03,28.96,4.74,11.76,1
12,1,5,2,2.89,97.11,0.0,0.0,0.0,0.0,0.0,12.94,8.07,9.06,5.64,5.34,11.68,35.38,11.88,0
13,0,5,0,4.93,51.68,35.75,7.64,0.0,0.0,0.0,14.24,13.73,13.61,10.58,12.17,12.75,14.09,8.84,0
14,0,5,2,1.76,20.68,70.93,6.63,0.0,0.0,1.0,14.71,9.26,13.49,6.7,19.22,18.39,10.12,8.09,0
15,0,5,1,5.29,86.73,0.0,7.99,1.0,0.0,0.0,13.54,23.25,12.87,5.23,12.58,18.61,8.13,5.78,0
16,0,5,1,13.16,43.36,26.73,16.75,7.0,0.0,0.0,11.28,11.97,13.74,12.98,13.11,10.52,14.32,12.07,1
17,1,5,2,6.45,20.82,65.07,7.67,2.0,0.0,0.0,19.34,29.32,7.21,11.46,3.38,7.86,10.32,11.11,0
18,0,5,0,1.39,40.02,53.46,5.12,0.0,0.0,0.0,45.72,20.28,14.28,3.23,5.64,3.99,4.52,2.34,0
19,0,5,0,7.47,66.97,21.39,4.17,0.0,0.0,0.0,11.28,9.88,9.28,12.33,8.42,20.32,17.11,11.38,0
20,1,5,0,16.74,73.77,0.0,9.49,25.0,0.0,0.0,11.6,12.33,9.74,6.11,13.66,17.3,16.19,13.08,0
21,1,5,1,7.58,65.58,16.51,10.33,0.0,1.0,0.0,12.64,12.44,12.71,9.3,18.81,14.68,11.12,8.29,0
22,0,5,0,0.29,10.31,88.66,0.75,0.0,0.0,0.0,7.23,24.07,18.2,15.83,16.03,4.89,4.2,9.56,1
23,1,5,1,3.53,19.26,74.73,2.48,0.0,0.0,0.0,5.97,9.23,7.9,13.41,8.09,13.81,21.14,20.44,1
24,1,5,2,3.23,20.22,69.26,7.29,0.0,0.0,0.0,8.93,14.12,18.49,9.19,11.93,9.89,13.25,14.2,1
25,0,5,1,2.18,44.03,48.16,5.63,10.0,0.0,0.0,4.96,9.63,9.43,7.46,20.45,17.4,10.01,20.67,1
26,0,5,1,1.46,37.08,59.18,2.28,1.0,0.0,0.0,7.67,13.98,7.61,37.14,17.72,3.35,5.21,7.31,0
27,1,5,1,5.95,28.82,63.36,1.87,11.0,0.0,0.0,26.13,8.36,10.11,6.11,15.64,10.42,18.05,5.17,0
28,0,5,0,6.98,89.98,0.0,3.04,0.0,0.0,0.0,8.51,9.85,8.74,10.22,14.49,13.37,22.68,12.14,0
29,1,5,0,0.95,13.4,83.13,2.53,0.0,0.0,0.0,16.03,21.57,10.11,10.62,9.4,10.36,10.73,11.19,1
30,0,5,2,1.07,38.71,56.71,3.5,0.0,0.0,0.0,9.39,10.3,11.77,13.64,11.85,17.99,11.76,13.3,1
31,0,5,0,9.69,61.12,0.0,29.18,0.0,0.0,0.0,10.88,10.7,18.18,15.62,13.53,10.04,11.43,9.61,1
32,0,5,0,13.59,49.25,26.99,10.18,0.0,0.0,0.0,9.58,13.51,15.49,10.26,10.79,14.03,13.99,12.36,1
33,1,5,0,12.13,50.2,0.0,37.67,0.0,0.0,0.0,14.58,13.99,12.98,10.99,11.99,11.44,13.33,10.7,0
34,0,5,1,10.58,69.85,0.0,19.57,5.0,0.0,0.0,8.03,11.58,8.06,9.29,8.35,16.35,20.14,18.21,0
35,0,5,1,3.72,36.43,52.04,7.81,10.0,0.0,0.0,8.55,10.28,25.01,8.04,16.47,8.8,11.03,11.82,1
36,1,5,0,5.75,79.53,0.0,14.72,0.0,0.0,0.0,16.5,14.21,11.22,16.49,5.87,20.99,10.36,4.37,0
37,0,5,1,2.11,59.04,33.7,5.15,9.0,1.0,0.0,7.88,6.09,14.82,18.97,11.52,22.68,10.46,7.57,1
38,0,5,1,9.67,43.47,22.9,23.96,0.0,0.0,0.0,12.55,11.61,13.57,9.71,11.49,11.89,15.61,13.57,1
39,0,5,2,0.46,56.54,42.59,0.41,0.0,0.0,0.0,48.85,14.29,4.11,5.63,2.21,9.79,8.03,7.09,0
40,1,5,0,3.09,44.03,47.46,5.41,0.0,0.0,0.0,7.57,13.24,10.44,7.62,13.87,12.68,24.5,10.09,1
41,1,5,1,3.3,38.44,50.72,7.55,0.0,0.0,0.0,13.12,17.65,10.29,16.2,12.95,9.14,6.63,14.02,1
42,1,5,1,6.87,60.17,22.61,10.35,0.0,0.0,23.0,16.55,14.22,11.74,8.56,12.85,10.38,11.76,13.95,1
43,0,5,0,5.15,88.68,0.0,6.18,2.0,1.0,0.0,12.05,13.26,10.19,32.0,7.61,7.88,8.57,8.43,0
44,0,5,1,0.49,5.73,92.44,1.34,0.0,1.0,0.0,8.4,3.18,2.41,44.01,7.52,2.92,8.98,22.57,1
45,0,5,0,0.89,54.74,42.52,1.85,1.0,0.0,0.0,16.63,0.94,9.2,14.09,12.42,18.54,11.94,16.24,1
46,0,5,2,0.58,11.22,87.47,0.73,4.0,0.0,0.0,21.97,13.22,3.12,5.79,31.94,5.48,7.55,10.93,0
47,0,5,1,0.75,5.47,92.17,1.61,0.0,0.0,0.0,11.92,10.74,28.3,9.62,9.16,9.96,12.66,7.64,0
48,0,5,0,2.89,36.12,53.84,7.14,0.0,0.0,0.0,7.23,11.49,20.45,7.98,16.3,12.97,8.14,15.44,1
49,0,5,1,0.89,22.79,74.28,2.04,1.0,0.0,0.0,9.37,10.89,11.8,5.71,14.12,9.91,27.39,10.82,0
50,0,5,1,4.84,41.27,46.87,7.03,0.0,0.0,0.0,13.35,15.1,16.71,12.82,10.37,11.63,9.94,10.06,0
51,0,5,0,7.88,80.88,0.0,11.24,2.0,0.0,0.0,11.11,11.53,10.04,19.9,10.49,13.55,9.62,13.75,0
