고객번호,성별,연령대,거주지역,경쟁사이용횟수,멤버쉽보유,온라인이용횟수,1번품목구매비율(%),2번품목구매비율(%),3번품목구매비율(%),4번품목구매비율(%),편의품구매횟수,선매품구매횟수,전문품구매횟수,기타구매횟수,편의품구매등급,선매품구매등급,전문품구매등급,기타구매등급,1기구매비율(%),2기구매비율(%),3기구매비율(%),4기구매비율(%),5기구매비율(%),6기구매비율(%),7기구매비율(%),8기구매비율(%),1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,8기구매등급,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,7기구매횟수,8기구매횟수,A제휴사구매비율(%),B제휴사구매비율(%),C제휴사구매비율(%),D번제휴사구매비율(%),A_구매횟수,B_구매횟수,C_구매횟수,D_구매횟수,A_총구매액,B_총구매액,C_총구매액,D_총구매액,분기증감확인
1,1,5,1,15,0,0,2.86,27.7,66.92,2.52,674,325,1,57,2,1,3,3,11.46,14.63,13.22,14.9,8.43,10.15,18.56,8.65,1,1,1,1,2,2,2,3,121,117,142,214,172,140,73,78,82.51,10.23,7.26,0,874,64,119,0,1,7,3,4,0
2,1,5,0,8,0,0,3.64,36.73,53.35,6.28,801,289,5,21,1,1,2,4,10.3,9.24,16.44,6.49,17.57,11.73,16.87,11.36,1,1,1,2,1,2,1,1,184,155,139,132,145,116,126,119,79.14,10.96,0,9.9,1080,16,0,20,1,8,10,1,0
3,1,5,0,0,0,0,4.47,95.53,0,0,1189,2,0,0,10,10,7,10,9.88,12.45,13.71,11.11,14.96,11.62,15.71,10.56,10,10,10,10,10,10,10,10,139,209,246,145,87,133,139,93,92.59,4.42,2.99,0,1,2,1188,0,10,10,3,8,0
4,0,5,1,3,0,0,2.72,26.13,66.48,4.67,731,137,1,61,8,4,4,4,9.35,14.65,21.83,12.53,9.71,9.85,13.69,8.39,7,3,5,6,7,6,5,7,93,177,85,87,122,141,118,107,55.13,31.74,13.13,0,649,126,155,0,4,6,4,8,0
6,0,5,3,0,0,0,4.99,45.59,40.38,9.04,1337,195,6,55,4,4,4,5,8.86,13.33,16.02,11.16,12.32,14.81,13.86,9.64,5,4,4,4,4,4,3,4,192,192,178,187,237,160,228,219,67.88,11.36,20.77,0,361,1193,39,0,4,3,4,8,1
7,0,5,1,1,0,4,0.84,26.09,71.95,1.12,536,166,7,72,8,1,2,3,14.63,4.31,7.84,19.71,12.41,18.19,5.45,17.47,1,4,3,1,2,1,4,1,99,94,94,101,103,97,95,98,90.26,5.98,3.77,0,517,203,61,0,2,6,4,8,1
8,1,5,0,3,0,0,5.44,67.6,15.55,11.4,1643,148,3,71,1,3,4,1,14.34,8.92,11.03,19.1,9.82,11.35,11.57,13.85,2,3,2,2,2,2,2,2,162,223,263,190,268,257,279,223,63.28,28.27,8.44,0,1816,48,1,0,2,7,9,8,1
9,0,5,0,0,0,0,2.17,45.28,40.83,11.72,279,443,7,11,8,1,2,3,16.96,10.69,7.8,7.62,28.4,11.37,11.81,5.36,1,1,1,1,1,1,1,1,34,94,100,109,79,114,86,124,94.22,2.91,2.87,0,704,1,35,0,1,10,4,8,1
10,0,5,1,0,0,0,1,12.59,82.19,4.22,3327,56,1,24,2,7,4,6,12.3,14.67,14.81,8.94,14.06,12.97,12.24,10.02,4,5,5,6,4,5,5,6,462,412,390,444,469,449,454,328,65.14,7.54,6.85,20.48,107,549,2750,2,6,5,1,1,0
11,1,5,0,2,1,0,2.17,42.03,52.77,3.03,572,224,3,21,2,1,2,5,7.22,12.34,24.19,7.78,3.03,28.96,4.74,11.76,1,1,1,1,4,1,3,1,137,99,119,116,78,90,69,112,90.73,5.89,3.38,0,721,45,54,0,1,7,4,8,1
12,1,5,2,0,0,0,2.89,97.11,0,0,477,16,0,0,10,6,7,10,12.94,8.07,9.06,5.64,5.34,11.68,35.38,11.88,9,10,10,10,10,9,5,9,76,25,60,55,54,87,70,66,86.19,10.56,0,3.25,82,320,0,91,6,6,9,1,0
13,0,5,0,0,0,0,4.93,51.68,35.75,7.64,2701,64,1,118,2,6,5,4,14.24,13.73,13.61,10.58,12.17,12.75,14.09,8.84,6,5,6,5,5,5,5,6,246,319,278,430,403,441,414,353,68.74,16.77,14.49,0,369,2350,165,0,5,3,4,8,0
14,0,5,2,0,0,1,1.76,20.68,70.93,6.63,1011,180,8,113,5,3,2,1,14.71,9.26,13.49,6.7,19.22,18.39,10.12,8.09,3,3,3,4,2,3,4,5,124,266,178,194,143,139,153,115,76.83,15.25,7.92,0,599,219,494,0,3,6,3,8,0
15,0,5,1,1,0,0,5.29,86.73,0,7.99,857,144,0,19,7,3,7,7,13.54,23.25,12.87,5.23,12.58,18.61,8.13,5.78,3,3,4,8,4,3,7,8,151,127,127,115,129,156,124,91,84.81,6.72,8.46,0,245,725,50,0,4,5,4,8,0
16,0,5,1,7,0,0,13.16,43.36,26.73,16.75,564,34,1,6,5,8,5,8,11.28,11.97,13.74,12.98,13.11,10.52,14.32,12.07,10,10,8,7,5,8,8,6,43,34,66,86,127,93,71,85,65.35,24.65,10,0,556,48,1,0,5,8,9,8,1
17,1,5,2,2,0,0,6.45,20.82,65.07,7.67,647,159,8,67,1,2,1,1,19.34,29.32,7.21,11.46,3.38,7.86,10.32,11.11,1,1,2,1,3,1,1,1,91,61,60,80,91,199,153,146,87.65,10.91,1.44,0,575,131,175,0,1,5,4,8,0
18,0,5,0,0,0,0,1.39,40.02,53.46,5.12,488,218,1,51,8,1,3,1,45.72,20.28,14.28,3.23,5.64,3.99,4.52,2.34,1,1,1,10,7,9,7,9,150,184,162,41,53,48,62,58,87.19,9.09,3.72,0,672,24,62,0,1,8,4,8,0
19,0,5,0,0,0,0,7.47,66.97,21.39,4.17,486,90,3,2,2,3,4,9,11.28,9.88,9.28,12.33,8.42,20.32,17.11,11.38,2,3,5,2,4,2,2,3,89,85,50,84,64,71,71,67,77.13,2.44,5.17,15.26,573,3,2,3,3,10,9,1,0
20,1,5,0,25,0,0,16.74,73.77,0,9.49,966,68,0,13,1,6,7,8,11.6,12.33,9.74,6.11,13.66,17.3,16.19,13.08,4,4,5,6,3,4,5,4,155,142,156,146,153,98,92,105,65.67,18.25,16.08,0,1036,2,9,0,4,10,7,8,0
21,1,5,1,0,1,0,7.58,65.58,16.51,10.33,2060,79,2,53,1,5,5,5,12.64,12.44,12.71,9.3,18.81,14.68,11.12,8.29,5,5,4,5,4,3,4,5,212,215,314,264,198,342,338,311,98.61,1.16,0.23,0,3,2188,3,0,6,1,9,8,0
22,0,5,0,0,0,0,0.29,10.31,88.66,0.75,279,40,19,157,9,3,1,1,7.23,24.07,18.2,15.83,16.03,4.89,4.2,9.56,1,1,1,1,1,2,5,1,69,59,30,71,82,72,30,82,100,0,0,0,495,0,0,0,1,10,9,8,1
23,1,5,1,0,0,0,3.53,19.26,74.73,2.48,510,193,12,68,1,2,1,2,5.97,9.23,7.9,13.41,8.09,13.81,21.14,20.44,2,2,2,1,2,2,2,2,116,100,115,186,118,61,51,36,87.93,7.74,4.33,0,684,22,77,0,1,8,4,8,1
24,1,5,2,0,0,0,3.23,20.22,69.26,7.29,696,81,2,39,8,6,4,4,8.93,14.12,18.49,9.19,11.93,9.89,13.25,14.2,8,6,6,7,8,9,7,7,101,108,98,137,90,91,113,80,83.42,7.44,0,9.15,20,797,0,1,6,3,9,2,1
25,0,5,1,10,0,0,2.18,44.03,48.16,5.63,323,219,12,72,10,2,2,2,4.96,9.63,9.43,7.46,20.45,17.4,10.01,20.67,8,4,4,6,1,2,5,1,47,64,67,50,116,95,57,130,82.23,13.53,4.25,0,498,22,106,0,3,8,4,8,1
26,0,5,1,1,0,0,1.46,37.08,59.18,2.28,643,282,27,62,5,1,1,3,7.67,13.98,7.61,37.14,17.72,3.35,5.21,7.31,1,1,2,1,1,2,2,1,154,109,105,88,84,211,142,121,85.54,2.42,1.62,10.42,844,149,19,2,1,7,6,1,0
27,1,5,1,11,0,0,5.95,28.82,63.36,1.87,496,125,8,19,1,3,2,7,26.13,8.36,10.11,6.11,15.64,10.42,18.05,5.17,1,2,3,4,2,2,1,4,71,106,67,66,68,79,122,69,88.91,7.28,3.81,0,613,27,8,0,2,8,7,8,0
28,0,5,0,0,0,0,6.98,89.98,0,3.04,1353,25,0,10,7,8,7,10,8.51,9.85,8.74,10.22,14.49,13.37,22.68,12.14,9,8,10,9,10,8,6,9,165,267,161,198,96,206,183,112,86.37,6.82,6.81,0,31,1355,2,0,7,4,8,8,0
29,1,5,0,0,0,0,0.95,13.4,83.13,2.53,445,455,7,19,9,1,2,5,16.03,21.57,10.11,10.62,9.4,10.36,10.73,11.19,1,1,1,2,1,1,2,1,80,96,126,103,139,139,117,126,89.86,5.09,5.05,0,607,299,20,0,1,6,5,8,1
30,0,5,2,0,0,0,1.07,38.71,56.71,3.5,2061,217,7,31,1,1,2,4,9.39,10.3,11.77,13.64,11.85,17.99,11.76,13.3,2,1,1,1,1,1,1,1,235,336,318,316,241,274,321,275,78.62,16.65,4.73,0,926,3,1387,0,1,9,2,8,1
31,0,5,0,0,0,0,9.69,61.12,0,29.18,815,121,0,59,8,5,7,3,10.88,10.7,18.18,15.62,13.53,10.04,11.43,9.61,8,8,6,5,6,8,6,6,100,112,101,127,120,140,156,139,56.21,22.83,8.74,12.22,988,3,2,2,5,10,9,2,1
32,0,5,0,0,0,0,13.59,49.25,26.99,10.18,1383,35,5,60,1,8,4,5,9.58,13.51,15.49,10.26,10.79,14.03,13.99,12.36,7,5,4,5,5,5,5,4,129,179,206,196,197,169,198,209,56.07,43.93,0,0,474,1009,0,0,5,2,10,8,1
33,1,5,0,0,0,0,12.13,50.2,0,37.67,2364,26,0,14,4,10,7,8,14.58,13.99,12.98,10.99,11.99,11.44,13.33,10.7,7,7,8,9,8,8,7,8,276,305,286,238,302,330,378,289,75.31,15.22,9.47,0,11,2220,173,0,9,3,4,8,0
