고객번호,편의품_CV_S,편의품_CV_C,선매품CV_S,선매품CV_C,전문품CV_S,전문품CV_C,기타CV_S,기타CV_C
1,0.423231433,0.450362705,0.41586344,0.187113503,1.356745484,1.247219129,0.491979534,0.490667339
2,0.404962958,0.217903047,0.395417158,0.260345262,2.099585183,2.094437076,1.196030176,0.86452058
3,0.355232065,0.336061752,1.945494835,1.707825128,0,0,0,0
4,0.267521924,0.299494688,0.539876235,0.435086671,2.645751311,2.645751311,0.615894821,0.628138379
6,0.336679848,0.184807427,0.255508917,0.323404716,1.282599538,1.058300524,0.237022494,0.351850166
7,0.261758659,0.1003362,0.578907446,0.172058125,2.358061615,1.631397663,0.541305108,0.462592444
8,0.280252623,0.208318915,0.317215008,0.238095238,1.556722655,1.417483425,0.43435708,0.236240069
9,0.934435197,0.509652593,0.518697494,0.441677164,1.535645376,1.414213562,1.467383672,1.063112569
10,0.06725677,0.065254189,0.633537403,0.332119,2.645751311,2.645751311,0.931487141,0.666666667
11,0.234400604,0.249868013,0.577994255,0.504418797,1.673112062,1.707825128,0.767243083,0.543385213
12,0.474946826,0.310265323,1.606704,0.870078753,0,0,0,0
13,0.17877782,0.204694512,0.341462923,0.502697883,2.645751311,2.645751311,0.629913032,0.72396501
14,0.319712397,0.310929735,0.436309421,0.431398418,1.555502913,0.816496581,0.596104009,0.4435231
15,0.271949107,0.100589395,0.690595852,0.425179163,0,0,0.714204035,0.707514453
16,0.482583114,0.442058477,0.644123016,0.449998174,2.645751311,2.645751311,1.263081074,1.331665624
17,1.02350525,0.625650274,0.571657916,0.32821684,1.619188424,1.67428813,1.88452255,0.894427191
18,0.483519377,0.580399297,1.403367784,0.962344414,2.645751311,2.645751311,0.694439658,0.547665033
19,0.30869671,0.205256194,0.493323021,0.353111172,1.837973327,1.835856849,2.645751311,2.645751311
20,0.178257265,0.244938615,0.548578503,0.382782418,0,0,0.689023694,0.809720559
21,0.254194242,0.212200008,0.674286565,0.490069805,1.719219996,1.707825128,1.298136852,1.221076904
22,0.364234097,0.367240367,0.60077075,0.471404521,0.828648062,0.707514453,0.792875846,0.562038527
23,0.555566376,0.542900376,0.402182201,0.398376244,2.399577586,1.063112569,0.432614631,0.459911663
24,0.271845747,0.132008229,0.33553563,0.419891105,2.645751311,2.645751311,0.66122564,1.032795559
25,0.240651456,0.141714863,0.949816254,0.783164339,1.258694031,0.962091386,0.789649258,0.645497224
26,0.335969668,0.542263824,0.811680991,0.148813942,0.696610579,0.568571799,0.434192241,0.176776695
27,0.456560507,0.226746408,0.5872672,0.509404373,0.90200803,0.890692614,0.986285324,0.72433061
28,0.254330773,0.279942112,1.612305371,0.788226982,0,0,1.980787081,2.055075019
29,0.322099345,0.385376277,0.122239845,0.268147361,1.592029766,0.902549534,0.674396033,0.865431218
30,0.183514823,0.15424229,0.261563562,0.154301321,1.157569952,1.154700538,0.783380828,0.676538704
31,0.218738514,0.189957857,0.532659153,0.339728471,0,0,0.490276369,0.494503118
