고객번호,총구매액,구매빈도,최근구매일
1,80397041.0,979,10
2,91717156.0,997,3
3,3037160.0,1098,10
4,15711888.0,823,2
6,22123951.0,1374,2
7,58829258.0,683,4
8,53471839.0,1642,2
9,189851675.0,616,7
10,17384916.0,3080,3
11,114703227.0,708,2
12,5822675.0,427,2
13,16326179.0,2531,2
14,33231217.0,1197,6
15,24831735.0,929,2
16,9391225.0,520,2
17,118404663.0,735,3
18,81375624.0,700,4
19,38507090.0,514,9
20,20406641.0,942,4
21,20881248.0,1883,2
22,123966430.0,413,2
23,70574152.0,747,16
24,10807248.0,738,3
25,31937637.0,496,9
26,112997529.0,893,4
27,59345691.0,579,3
28,8148890.0,1276,6
29,75096827.0,800,3
30,92591627.0,2041,3
31,12078323.0,856,3
32,16947140.0,1274,2
33,9576578.0,2115,4
34,14449616.0,918,3
35,39472297.0,865,12
36,41924297.0,809,3
37,53896201.0,956,4
38,20480923.0,2342,2
39,192586137.0,511,9
40,24296041.0,759,2
41,16200705.0,640,7
42,13515091.0,1901,4
43,6755981.0,979,6
44,76834876.0,868,2
45,187996364.0,651,2
46,109052303.0,554,2
47,19969774.0,1537,12
48,75826672.0,612,3
49,85572758.0,608,2
50,22818391.0,1548,2
51,19799107.0,1660,7
52,35079847.0,1125,2
53,48595487.0,649,2
54,9325749.0,631,2
55,7296314.0,876,4
56,81729006.0,658,2
57,9271278.0,1712,2
58,21722990.0,539,2
59,24364896.0,748,7
60,24964786.0,1295,2
61,24240405.0,1537,9
62,19430572.0,843,4
63,5782821.0,532,2
64,3562345.0,777,10
65,17877197.0,748,7
66,16535856.0,1907,2
67,9531392.0,1652,2
68,279438483.0,1424,6
69,14138775.0,3312,2
70,28070055.0,635,2
71,4529931.0,1020,3
72,8587014.0,882,7
73,215986265.0,570,2
74,30551651.0,684,7
75,4633106.0,786,2
76,10670196.0,821,2
77,29851453.0,939,2
78,84210607.0,900,7
79,14899688.0,1843,3
80,8893095.0,1466,2
81,68827497.0,708,2
82,136541734.0,1053,2
83,117718082.0,955,16
84,58658025.0,439,9
85,11992246.0,732,2
86,33368753.0,2035,8
87,48156407.0,509,4
88,44919599.0,1312,3
89,14453751.0,1726,3
90,49777997.0,484,2
91,17660655.0,797,2
92,48503281.0,1626,4
93,105428943.0,678,2
94,41681962.0,978,2
95,7119196.0,1133,3
96,30887793.0,663,7
97,945746525.0,1515,2
98,20247886.0,691,2
99,223203163.0,1186,4
100,27563427.0,684,4
101,6164416.0,720,2
102,102961210.0,2405,6
103,4487554.0,808,6
104,14669493.0,2247,2
105,20824452.0,2124,2
106,56453647.0,674,3
107,104507386.0,735,9
108,12799504.0,855,3
109,8259732.0,1287,2
110,25997666.0,1328,2
111,4719328.0,1353,3
112,71876926.0,818,2
113,86226485.0,1531,2
114,22912022.0,720,2
115,58729380.0,549,2
116,7267326.0,1507,2
117,40703850.0,1149,2
118,91565930.0,618,2
119,66007337.0,938,3
120,218769125.0,1077,2
121,16238286.0,772,2
122,36693020.0,1022,2
123,9771017.0,1470,6
124,31609886.0,564,9
125,13669839.0,710,9
126,33740039.0,1376,3
127,6162099.0,573,4
128,9086872.0,763,3
129,6489905.0,863,2
130,43919456.0,991,10
131,31080831.0,1987,2
132,11047951.0,1757,8
133,20395493.0,1107,2
134,92107226.0,690,2
135,13166156.0,654,2
136,18374119.0,440,9
137,81282200.0,1027,2
138,41765984.0,833,2
139,44765996.0,1183,2
140,243387195.0,851,4
141,5187020.0,1156,2
143,6609010.0,1368,3
144,71502134.0,5822,9
145,122808011.0,796,3
146,89414187.0,448,2
147,85648362.0,1572,2
148,5016593.0,1236,2
149,23744714.0,684,2
150,24194484.0,1658,7
151,76205254.0,1214,7
152,30476238.0,837,9
153,9966062.0,975,2
154,64258663.0,615,2
155,52755303.0,832,4
156,133768930.0,1186,3
157,11789763.0,877,2
158,10126343.0,975,2
159,109760501.0,529,7
160,18514576.0,1217,2
161,148813940.0,638,7
162,63290500.0,939,3
163,10722809.0,1340,3
164,105786286.0,777,2
165,32111767.0,456,2
166,29319497.0,909,7
167,40599411.0,780,3
168,72091917.0,994,9
169,7631433.0,854,2
170,12728457.0,1615,3
171,26303537.0,694,2
172,21057324.0,1285,7
173,11034192.0,1772,2
175,31305120.0,4268,3
176,7623363.0,1187,6
177,79894507.0,595,4
178,17842838.0,1665,2
179,44588884.0,1278,2
180,45039985.0,621,7
181,54254436.0,800,7
182,75817198.0,1327,3
183,12306520.0,2079,3
184,34091131.0,547,4
185,10957695.0,1367,6
186,74884507.0,1331,4
187,18626901.0,567,3
188,13518169.0,2768,6
189,93853681.0,1196,8
190,41238245.0,1009,7
191,76417955.0,442,3
192,33865098.0,999,2
193,9171369.0,1256,2
194,13761669.0,1892,2
195,6395724.0,715,7
196,27517223.0,1273,3
197,87882049.0,1144,4
198,12769639.0,1219,2
199,16915059.0,883,3
200,11534660.0,1075,3
201,109419102.0,853,2
202,79386900.0,1607,2
203,6433915.0,1029,3
204,21096607.0,1558,3
205,23112198.0,1393,3
206,14109110.0,1806,2
207,7355707.0,1118,6
208,70591593.0,413,26
209,17406029.0,608,2
210,5498482.0,948,6
211,18426257.0,572,2
212,19432569.0,1604,3
213,41213382.0,3738,2
214,17877337.0,1054,3
215,12869835.0,1592,2
216,10940089.0,1270,3
217,10686923.0,538,2
218,175109429.0,747,2
219,44726199.0,1127,2
220,17426008.0,2058,2
221,9610889.0,1098,2
222,72552041.0,1065,4
223,131034162.0,573,4
224,145395840.0,462,4
225,141244479.0,717,3
226,10313730.0,833,3
227,5541682.0,1462,2
228,10890093.0,1444,3
229,71085357.0,948,2
230,13322979.0,761,4
231,10058036.0,1532,2
232,9257144.0,1941,2
233,19417283.0,1284,3
234,31968684.0,908,2
235,40420324.0,1080,7
236,7093393.0,1483,2
237,52859800.0,1208,6
238,15809532.0,741,2
239,137368874.0,771,2
240,18258821.0,621,2
241,61926037.0,782,4
242,8909317.0,1152,4
243,6487702.0,900,2
245,24642648.0,2309,6
246,67392716.0,636,8
247,22831212.0,2014,6
248,28924654.0,1616,3
249,119634942.0,610,2
250,119812328.0,856,2
251,48649753.0,693,8
252,9231345.0,573,4
253,68674442.0,494,13
254,122119346.0,814,2
255,116740974.0,873,3
256,177701336.0,1088,2
257,14044952.0,2444,6
258,284680622.0,746,7
259,33648703.0,2889,2
260,11403493.0,1293,2
261,29150553.0,571,16
262,35936286.0,1539,2
263,6236335.0,1082,2
264,10837429.0,2013,6
265,174649284.0,621,15
266,40213147.0,642,7
267,43215378.0,491,13
268,44994512.0,1376,7
269,69971737.0,4360,2
270,8209278.0,1322,2
271,48007033.0,620,7
272,27328874.0,1606,2
273,64810604.0,989,4
274,5367136.0,1148,4
275,52110104.0,2373,2
276,10621839.0,2700,2
277,17462474.0,1268,3
278,5041736.0,1724,2
279,47417238.0,698,3
280,61473095.0,764,2
281,88348376.0,1331,4
282,41237549.0,701,6
283,130595442.0,625,14
284,2474402.0,484,2
285,5324612.0,749,3
286,29429539.0,875,4
287,8283492.0,828,2
288,32741992.0,2054,2
289,16522666.0,827,12
290,11399932.0,1612,4
291,10438187.0,1740,7
292,71165354.0,1283,2
293,19549306.0,1067,6
294,54737131.0,420,2
295,33015485.0,445,7
296,72193627.0,1801,3
297,49273661.0,862,3
298,120822476.0,1151,13
299,19765841.0,706,2
300,21806543.0,1834,6
301,33368688.0,617,8
302,33481767.0,1011,3
303,27343479.0,2009,2
304,122519661.0,372,2
305,117261081.0,1623,2
306,53495140.0,774,3
307,56381037.0,898,10
308,23491169.0,831,3
309,79010599.0,674,4
310,20231463.0,1357,2
311,37582851.0,1002,4
312,15266528.0,1287,7
313,65314646.0,1636,2
314,76538669.0,931,2
315,171133725.0,1341,2
316,57019530.0,1224,2
317,30684077.0,1394,4
318,25357172.0,641,2
319,51609012.0,517,7
320,20064750.0,934,4
321,73674760.0,1571,4
322,25764250.0,1653,2
323,65731405.0,1139,2
324,84390379.0,1420,3
325,38324474.0,650,2
326,39627786.0,1060,3
327,74741937.0,548,3
328,44034736.0,448,9
329,54855697.0,1358,4
330,7240286.0,1266,2
331,9729083.0,1209,2
332,42442334.0,1560,2
333,30323692.0,2592,3
334,27918068.0,498,2
335,91960013.0,889,2
336,13147068.0,957,2
337,140705651.0,1000,2
338,14356164.0,1169,2
339,26145582.0,2299,3
340,34233792.0,420,7
341,105619373.0,568,2
342,9839126.0,1471,7
343,42253052.0,777,9
344,27170046.0,865,11
345,69580432.0,505,9
346,8515751.0,582,3
347,16515615.0,1313,3
348,12331205.0,2076,6
349,73775492.0,1534,2
350,13403169.0,1277,2
351,43924101.0,1050,45
352,154515928.0,647,14
353,10826450.0,1104,7
354,10087021.0,1126,2
355,73729222.0,893,4
356,47449051.0,599,2
357,10234340.0,1270,2
358,52105469.0,481,3
359,30438430.0,1602,3
360,27254348.0,2291,3
361,74250770.0,1105,6
362,16244056.0,1426,6
363,188614046.0,874,2
364,15411171.0,1124,2
365,97468892.0,1588,3
366,7175291.0,638,3
367,96547944.0,1899,2
368,52348912.0,1527,5
369,52181563.0,536,7
370,10573044.0,1426,2
371,15164122.0,1366,3
372,10839514.0,1599,2
373,74386759.0,981,6
374,48651408.0,645,2
375,142924524.0,665,4
376,4458364.0,1183,2
377,74780823.0,930,3
378,54329905.0,866,7
379,21576421.0,522,4
380,6204559.0,1251,6
381,26299946.0,560,8
382,69391495.0,668,2
383,52284298.0,418,18
384,8339235.0,1434,3
385,9132536.0,1340,2
386,32470912.0,936,2
387,102791412.0,1633,3
388,159451168.0,800,10
389,15869204.0,3014,2
390,10559176.0,1230,2
391,100980725.0,1241,4
392,7043141.0,660,4
393,87687297.0,515,3
394,14228971.0,1578,2
395,14721776.0,1764,3
396,11828572.0,1278,2
397,18022236.0,1493,2
398,97260990.0,989,7
399,137091232.0,451,8
400,121294791.0,1226,11
401,122074029.0,519,2
402,26625089.0,659,6
403,7317698.0,1103,9
404,42618862.0,969,2
405,21505069.0,732,10
406,8041683.0,1344,2
407,112434916.0,542,3
408,706595436.0,525,7
409,69095722.0,678,3
410,6572507.0,612,6
411,53788728.0,1055,3
412,43853161.0,1344,2
413,74657075.0,1235,2
414,66515300.0,707,2
415,9105622.0,2166,6
416,131755453.0,650,2
417,32645148.0,519,7
418,17078058.0,1505,2
419,40972214.0,589,8
420,25216817.0,933,3
421,76760620.0,3331,2
422,14283067.0,548,4
423,39988320.0,816,2
424,2920446.0,1372,2
425,15307994.0,1002,2
426,44893363.0,776,2
427,19768305.0,562,4
428,108163568.0,1347,7
429,42311426.0,933,9
430,68904230.0,735,2
431,15007050.0,590,3
432,44066796.0,858,3
433,82442554.0,788,4
434,44438431.0,2049,2
435,22211322.0,635,3
436,62934395.0,677,2
437,4246337.0,1190,2
438,75252768.0,709,3
439,8472030.0,1757,2
440,58899426.0,688,6
441,48545898.0,761,3
442,29223374.0,3589,2
443,97507886.0,535,12
444,115036457.0,1111,2
445,7431844.0,591,2
446,16773734.0,2094,3
447,30482011.0,773,7
448,68647570.0,586,2
449,45857602.0,1539,2
450,90717527.0,1089,2
451,24306775.0,1533,2
452,13812016.0,2329,2
453,52772681.0,857,4
454,13397106.0,1092,2
455,120088735.0,906,7
456,41571860.0,2656,2
