,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ
¹Ý±â,14fw,14ss,15fw,15ss
°í°´¹øÈ£,,,,
1,92346.0,84471.0,87203.0,59698.0
2,85045.0,71991.0,104105.0,109866.0
3,2767.0,2480.0,2963.0,2809.0
4,25391.0,19013.0,16560.0,14508.0
5,18599.0,14535.0,24288.0,24534.0
6,16961.0,13907.0,14786.0,16702.0
7,101073.0,69400.0,83466.0,109935.0
8,39289.0,30523.0,34300.0,28806.0
9,188805.0,302794.0,196081.0,449477.0
10,5149.0,5913.0,4983.0,5963.0
11,201486.0,117246.0,113698.0,211851.0
12,7431.0,11737.0,23986.0,9257.0
13,5897.0,6992.0,5849.0,6253.0
14,22280.0,24613.0,20712.0,42116.0
15,17961.0,34964.0,13886.0,30890.0
16,19010.0,16548.0,18701.0,17162.0
17,136684.0,331153.0,151903.0,91475.0
18,71007.0,186886.0,20429.0,28617.0
19,65901.0,62392.0,84375.0,86431.0
20,14501.0,21704.0,26402.0,27392.0
21,9583.0,10775.0,8388.0,13913.0
22,380847.0,345430.0,187064.0,249260.0
23,101071.0,66870.0,186412.0,89767.0
24,15747.0,13993.0,16438.0,13139.0
25,42512.0,37889.0,86266.0,94471.0
26,245315.0,119689.0,71912.0,86629.0
27,60935.0,116184.0,100506.0,96304.0
28,4940.0,4829.0,9658.0,7096.0
29,79848.0,147137.0,84720.0,76312.0
30,46525.0,36352.0,45677.0,55355.0
31,18531.0,11929.0,11700.0,12888.0
32,13606.0,12467.0,13825.0,12912.0
33,4276.0,5052.0,4315.0,4142.0
34,12967.0,15041.0,28851.0,17347.0
35,63892.0,36860.0,44349.0,43325.0
36,51023.0,56991.0,28455.0,56254.0
37,70614.0,27220.0,36274.0,67522.0
38,8236.0,8535.0,10346.0,8273.0
39,169711.0,842641.0,254976.0,216332.0
40,22214.0,26242.0,43371.0,33321.0
41,29148.0,33936.0,19926.0,24213.0
42,6097.0,8966.0,7601.0,6846.0
43,13326.0,7181.0,4872.0,4448.0
44,145079.0,44804.0,138240.0,43639.0
45,283071.0,186923.0,331602.0,365956.0
46,74751.0,281422.0,153552.0,269119.0
47,19788.0,11257.0,9468.0,9504.0
48,148799.0,96263.0,109910.0,151958.0
49,99208.0,110800.0,215456.0,131229.0
50,17052.0,16585.0,11597.0,12728.0
51,14313.0,11088.0,11408.0,11487.0
