고객번호,분기증감율,분기변동율,분기변동계수
1,1,1,2.698113208
2,0,4,2.632653061
3,0,0,0
4,-2,10,3.978571429
6,-2,2,6.896551724
7,3,11,1.65942029
8,0,2,5.631578947
9,0,0,0
10,1,5,7.043478261
11,2,8,1.368
12,-4,6,4.918032787
13,-1,3,10.79591837
14,1,5,4.550724638
15,4,14,2.207729469
16,-2,8,4.624277457
17,0,6,1.810126582
18,6,16,1.278606965
19,0,10,2.363636364
20,1,7,4.520408163
21,-1,5,5.644736842
22,4,4,1.14
23,0,2,4.894736842
24,-1,7,6.567567568
25,-3,15,1.81779661
26,1,3,2.698113208
27,0,6,2
28,-3,9,6.121428571
29,1,3,2.632653061
30,-1,1,3
31,-2,8,5.368
32,-2,4,5.711111111
33,0,4,10.14473684
34,2,12,4.548148148
35,-1,5,3.253164557
36,-1,9,2.127659574
37,-4,8,1.419889503
38,-2,6,5.607594937
39,0,4,2.632653061
40,-3,11,2.636942675
41,1,11,3.878571429
42,-1,9,5.738317757
43,1,13,4.76344086
44,-1,9,2.441441441
45,0,10,0.904761905
46,0,8,1.540540541
47,5,11,2.132780083
48,0,4,2.962264151
49,-1,7,1.987341772
50,0,4,6.896551724
51,5,9,2.745762712
52,1,5,4.144927536
53,1,15,1.869047619
54,2,6,6.495867769
55,0,6,13.24637681
56,2,8,1.537190083
57,0,14,5.006369427
58,1,3,6
59,1,3,5.594202899
60,-2,8,3.905263158
61,2,4,3.47826087
62,-2,6,4.016528926
63,-1,5,18.05660377
64,0,0,0
65,2,20,2.493449782
66,1,3,8.620689655
67,-2,4,8.733333333
68,0,0,0
69,-2,4,8.492753623
70,2,12,2.297619048
71,0,0,0
72,-1,9,6.632
73,0,0,0
74,6,8,1.716
75,0,0,0
76,1,13,5.850393701
77,1,1,8.263157895
78,0,4,2.632653061
79,-1,7,5.144144144
80,0,6,9.044444444
81,0,8,1.8
82,0,4,2.632653061
83,-1,3,2.632653061
84,5,17,1.447257384
85,-4,6,3.367924528
86,-3,3,3.488888889
87,1,27,1.075362319
88,0,2,4.58490566
89,-1,11,4.255319149
90,-2,8,2.608695652
91,0,2,12.78947368
92,0,4,4.673469388
93,0,2,3
94,-9,11,1.144702842
95,0,6,13.24637681
96,1,13,1.873737374
97,0,0,0
98,0,4,5.607594937
99,0,0,0
100,-3,17,1.633986928
101,2,6,8.369369369
102,1,3,2.632653061
103,0,2,25.94736842
104,-1,5,7.513157895
105,-2,10,3.864864865
106,1,7,2
107,0,2,2.632653061
108,1,11,5.062992126
109,4,4,5.806666667
110,-1,5,3.905263158
111,0,2,25.94736842
112,0,4,2.695652174
113,1,1,3
114,2,10,2.331578947
115,-1,7,1.609271523
116,1,7,10.97560976
117,2,14,1.61025641
118,-1,1,2.632653061
119,-1,5,2.695652174
120,0,0,0
121,1,21,2.448979592
122,-2,4,3.177777778
123,2,8,7.724489796
124,5,15,2.094240838
125,6,14,2.990697674
126,2,16,1.524271845
127,1,7,10.15555556
128,0,14,4.024271845
129,-2,6,12.22368421
130,6,8,1.466666667
131,-1,7,2.963963964
132,3,9,4.033898305
133,-1,5,5.784810127
134,0,2,2.698113208
135,-4,16,2.58302583
136,-2,24,1.869158879
137,0,4,2.698113208
138,2,4,3.253164557
139,-1,9,1.701986755
140,0,0,0
141,-1,1,25.94736842
143,0,6,12.22368421
144,1,9,1.209039548
145,-1,3,2.698113208
146,1,3,2.632653061
147,1,3,2.632653061
148,0,2,25.94736842
149,3,15,2.383333333
150,4,16,2.296482412
151,-1,5,2.695652174
152,0,4,6.714285714
153,2,16,4.024271845
154,0,16,1.423676012
155,-2,8,2.377777778
156,1,1,3
157,-2,8,6.086956522
158,-1,13,4.672839506
159,0,4,2.698113208
160,1,5,6.197368421
161,1,3,2.632653061
162,-1,5,2.25
163,-2,6,7.581632653
164,0,2,2.962264151
165,0,12,1.494773519
166,-1,5,4.328947368
167,-1,11,2.325925926
168,0,6,2.962264151
169,0,8,4.73480663
170,-3,9,5.062992126
171,-3,17,1.941176471
172,-2,6,4.515789474
173,1,13,4.920529801
175,-1,5,4.550724638
176,1,7,9.168421053
177,1,3,2.698113208
178,1,7,5.711111111
179,0,4,4.673469388
180,0,8,2.479591837
181,-1,7,2
182,-1,3,2.962264151
183,3,7,5.173228346
184,8,22,1.365217391
185,-3,5,4.25
186,1,3,2.962264151
187,2,12,2.798994975
188,-1,9,6.822222222
189,0,2,2.962264151
190,3,5,2.672897196
191,0,4,2.698113208
192,-7,15,1.550387597
193,0,4,13.79310345
194,0,4,10.34482759
195,-1,3,11.93670886
196,0,6,4.341772152
197,-2,6,1.768595041
198,-4,14,3.301507538
199,-3,9,2.938888889
200,4,8,4.369426752
201,0,2,2.632653061
202,-1,3,2.632653061
203,0,2,24.05263158
204,0,4,5.607594937
205,2,8,3.108695652
206,0,10,5.738317757
207,0,8,9.844444444
208,9,9,0.88630491
209,3,19,2.360869565
210,0,4,19.81632653
211,-3,21,2.291139241
212,2,12,3.6
213,-1,3,4.144927536
214,0,12,3.156976744
215,-3,3,6.704081633
216,2,2,10.34782609
217,1,11,5.14
218,0,0,0
219,1,7,3.253164557
220,-1,5,6.097560976
221,0,8,7.345794393
222,0,6,2.698113208
223,-2,4,1.550387597
224,0,0,0
225,0,0,0
226,0,14,5.013245033
227,0,4,12.77631579
228,-2,10,5.407142857
229,-1,5,2.25
230,1,9,4.258278146
231,1,7,4.81875
232,-1,7,7.345794393
233,-2,16,2.77184466
234,-5,7,2.31875
235,0,6,3.565789474
236,-1,5,7.32231405
237,0,6,3.101449275
238,-3,19,2.746724891
239,0,0,0
240,1,15,2.166064982
241,0,6,2
242,-3,7,6.637795276
243,-3,5,8.369369369
245,0,4,6.896551724
246,-2,4,2.43902439
247,1,3,4.288888889
248,-1,7,3.159292035
249,0,2,3
250,0,0,0
251,1,5,3.101449275
252,1,7,4.672839506
253,0,4,2.25
254,0,0,0
255,0,2,3
256,0,0,0
257,2,6,7.317073171
258,0,0,0
259,4,14,1.805263158
