,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ
ºÐ±â,14_1,14_2,14_3,14_4,15_1,15_2,15_3,15_4
°í°´¹øÈ£,,,,,,,,
1,74346.0,94942.0,85782.0,96701.0,54701.0,65837.0,120438.0,56099.0
2,75534.0,67785.0,120631.0,47573.0,128906.0,86066.0,123730.0,83327.0
3,2144.0,2703.0,2977.0,2412.0,3247.0,2523.0,3411.0,2293.0
4,13858.0,21722.0,32358.0,18584.0,14402.0,14599.0,20302.0,12433.0
5,16822.0,12355.0,18768.0,17668.0,23103.0,28971.0,,24288.0
6,11101.0,16714.0,20078.0,13994.0,15444.0,18564.0,17378.0,12088.0
7,105720.0,31147.0,56629.0,142436.0,89695.0,131427.0,39357.0,126226.0
8,39065.0,24317.0,30069.0,52051.0,26770.0,30929.0,31540.0,37754.0
9,415723.0,261947.0,191063.0,186733.0,696026.0,278622.0,289359.0,131388.0
10,5421.0,6465.0,6527.0,3939.0,6199.0,5717.0,5393.0,4415.0
11,90352.0,154464.0,302877.0,97474.0,37892.0,362616.0,59316.0,147202.0
12,12942.0,8075.0,9067.0,5647.0,5340.0,11688.0,35392.0,11888.0
13,7135.0,6881.0,6821.0,5300.0,6101.0,6392.0,7060.0,4428.0
14,32936.0,20733.0,30211.0,15003.0,43029.0,41177.0,22663.0,18118.0
15,26332.0,45226.0,25021.0,10164.0,24472.0,36196.0,15821.0,11250.0
16,16115.0,17096.0,19628.0,18536.0,18727.0,15025.0,20448.0,17242.0
17,274320.0,415936.0,102270.0,162494.0,47872.0,111414.0,146443.0,157625.0
18,269479.0,119554.0,84158.0,19045.0,33224.0,23530.0,26630.0,13801.0
19,66432.0,58161.0,54668.0,72587.0,49569.0,119658.0,100734.0,67039.0
20,21067.0,22398.0,17690.0,11094.0,24808.0,31426.0,29413.0,23763.0
21,10860.0,10691.0,10922.0,7991.0,16156.0,12615.0,9550.0,7125.0
22,166571.0,554604.0,419320.0,364591.0,369265.0,112588.0,96659.0,220139.0
23,53381.0,82518.0,70595.0,119914.0,72364.0,123433.0,189008.0,182733.0
24,10763.0,17013.0,22279.0,11075.0,14379.0,11913.0,15965.0,17106.0
25,24566.0,47674.0,46686.0,36920.0,101289.0,86146.0,49554.0,102362.0
26,89227.0,162727.0,88589.0,432317.0,206216.0,39021.0,60691.0,85081.0
27,196018.0,62710.0,75809.0,45835.0,117340.0,78198.0,135411.0,38791.0
28,4399.0,5095.0,4520.0,5282.0,7493.0,6911.0,11727.0,6278.0
29,123795.0,166589.0,78082.0,82010.0,72583.0,80041.0,82912.0,86399.0
30,34387.0,37726.0,43123.0,49949.0,43383.0,65885.0,43084.0,48705.0
31,12038.0,11833.0,20114.0,17273.0,14963.0,11110.0,12648.0,10635.0
32,10066.0,14197.0,16288.0,10787.0,11342.0,14743.0,14707.0,12989.0
33,5161.0,4953.0,4596.0,3891.0,4243.0,4049.0,4718.0,3788.0
