,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ
ºÐ·ùÄÚµå,1,2,3,4
°í°´¹øÈ£,,,,
1,21769.0,210766.0,509218.0,19155.0
2,26550.0,268019.0,389293.0,45817.0
3,2639.0,56400.0,,
4,7828.0,75243.0,191459.0,13449.0
5,12771.0,110535.0,58715.0,22292.0
6,7581.0,69291.0,61373.0,13736.0
7,11105.0,346321.0,954913.0,14905.0
8,17006.0,211313.0,48616.0,35637.0
9,21178.0,442843.0,399336.0,114586.0
10,4466.0,56336.0,367741.0,18893.0
11,26133.0,506986.0,636508.0,36545.0
12,6507.0,218951.0,,
13,5023.0,52637.0,36409.0,7776.0
14,9125.0,107061.0,367250.0,34341.0
15,7960.0,130591.0,,12028.0
16,15832.0,52186.0,32170.0,20157.0
17,107091.0,345643.0,1080469.0,127301.0
18,11791.0,338351.0,451950.0,43326.0
19,33010.0,295948.0,94539.0,18439.0
20,17991.0,79266.0,,10199.0
21,8191.0,70834.0,17829.0,11157.0
22,17896.0,637791.0,5486305.0,46327.0
23,41375.0,225734.0,875741.0,29056.0
24,9129.0,57127.0,195716.0,20593.0
25,8713.0,175814.0,192291.0,22496.0
26,13661.0,348155.0,555582.0,21421.0
27,52001.0,251909.0,553768.0,16361.0
28,5271.0,67924.0,,2295.0
29,11406.0,161167.0,999881.0,30391.0
30,10214.0,369184.0,540825.0,33412.0
31,7721.0,48695.0,,23249.0
32,12566.0,45538.0,24952.0,9410.0
33,4243.0,17566.0,,13180.0
34,11722.0,77400.0,,21679.0
35,19015.0,186320.0,266202.0,39971.0
36,20499.0,283581.0,,52475.0
37,12717.0,355518.0,202927.0,31007.0
38,7132.0,32070.0,16893.0,17674.0
39,15430.0,1914270.0,1442121.0,13910.0
40,7556.0,107506.0,115885.0,13203.0
41,13521.0,157688.0,208078.0,30974.0
42,5945.0,52075.0,19572.0,8961.0
43,5149.0,88722.0,,6181.0
44,11654.0,135863.0,2193730.0,31765.0
