고객번호,편의품구매횟수,선매품구매횟수,전문품구매횟수,기타구매횟수,편의품구매등급,선매품구매등급,전문품구매등급,기타구매등급
1,674,325,1,57,2,1,3,3
2,801,289,5,21,1,1,2,4
3,1189,2,0,0,10,10,7,10
4,731,137,1,61,8,4,4,4
6,1337,195,6,55,4,4,4,5
7,536,166,7,72,8,1,2,3
8,1643,148,3,71,1,3,4,1
9,279,443,7,11,8,1,2,3
10,3327,56,1,24,2,7,4,6
11,572,224,3,21,2,1,2,5
12,477,16,0,0,10,6,7,10
13,2701,64,1,118,2,6,5,4
14,1011,180,8,113,5,3,2,1
15,857,144,0,19,7,3,7,7
16,564,34,1,6,5,8,5,8
17,647,159,8,67,1,2,1,1
18,488,218,1,51,8,1,3,1
19,486,90,3,2,2,3,4,9
20,966,68,0,13,1,6,7,8
21,2060,79,2,53,1,5,5,5
22,279,40,19,157,9,3,1,1
23,510,193,12,68,1,2,1,2
24,696,81,2,39,8,6,4,4
25,323,219,12,72,10,2,2,2
26,643,282,27,62,5,1,1,3
27,496,125,8,19,1,3,2,7
28,1353,25,0,10,7,8,7,10
29,445,455,7,19,9,1,2,5
30,2061,217,7,31,1,1,2,4
31,815,121,0,59,8,5,7,3
32,1383,35,5,60,1,8,4,5
33,2364,26,0,14,4,10,7,8
34,856,58,0,34,4,6,7,5
35,789,144,5,56,2,3,3,1
36,843,91,0,26,1,3,7,3
37,936,127,1,93,3,2,4,1
38,2443,147,1,89,1,6,5,2
39,404,104,1,65,8,1,3,4
40,639,200,2,17,9,3,4,8
41,484,35,2,194,8,5,4,1
42,2123,62,1,11,3,7,5,9
43,1088,20,0,1,9,8,7,10
44,812,122,34,26,5,4,1,4
45,404,277,11,57,9,1,2,2
46,461,116,23,80,5,2,1,2
47,1589,92,1,31,2,5,3,5
48,440,191,15,21,3,1,1,3
49,439,159,14,70,7,1,1,1
50,1507,168,3,87,3,4,4,4
51,1655,143,0,15,3,4,7,8
52,894,140,10,207,4,3,2,1
53,543,107,5,99,6,2,2,3
54,654,45,1,50,7,7,5,4
55,947,5,0,3,7,10,7,7
56,387,223,28,128,8,2,1,1
57,1992,3,1,1,4,10,5,9
58,418,129,28,43,7,4,2,2
59,755,53,3,31,5,4,3,4
60,1306,134,1,35,2,4,6,6
61,1527,157,7,14,2,4,3,8
62,692,139,3,138,7,4,4,1
63,584,25,0,7,9,9,7,9
64,798,7,1,13,10,10,5,9
65,729,98,4,46,5,5,3,4
66,1977,72,0,91,2,6,7,5
67,1957,16,0,5,4,9,7,10
68,881,185,441,83,6,2,1,1
69,3861,5,0,0,2,10,7,10
70,479,65,21,83,10,4,1,2
71,1078,5,0,30,9,10,7,8
72,896,127,0,8,7,7,7,8
73,158,319,147,11,8,1,1,5
74,433,257,14,55,9,3,2,3
75,875,27,0,25,10,9,7,8
76,722,152,2,47,9,5,4,6
77,882,144,10,56,4,3,3,3
78,590,253,36,150,3,1,1,1
79,1857,121,0,54,3,6,7,3
80,1598,37,0,40,7,7,7,5
81,474,189,10,122,8,1,2,2
82,894,220,27,42,5,1,1,2
