고객번호,편의품_증감율,편의품_변동율,편의품CV,선매품_증감율,선매품_변동율,선매품CV,전문품_증감율,전문품_변동율,전문품CV,기타_증감율,기타_변동율,기타CV,A증감율,A변동율,A_CV,B증감율,B변동율,B_CV,식품_증감율,식품_변동율,식품CV,의류_증감율,의류_변동율,의류CV,생활_증감율,생활_변동율,생활CV
1,-2,4,0.423231433,0,0,0.41586344,0,12,1.356745484,0,4,0.491979534,-1,1,0.40400938,1,7,0.46813676,0,4,0.373789573,0,0,0.116473212,-4,10,1.540948095
2,0,0,0.404962958,0,0,0.395417158,0,6,2.099585183,-1,11,1.196030176,0,4,0.404157827,-2,8,0.937180762,0,2,0.289531015,0,0,0.558314841,0,2,1.108827277
3,0,2,0.355232065,0,2,1.945494835,0,0,0,0,0,0,0,4,2.278603066,0,4,2.645751311,0,2,0.468733611,0,4,2.645751311,1,1,0.624039557
4,0,2,0.267521924,1,3,0.539876235,3,3,2.645751311,1,5,0.615894821,0,0,0.404125415,3,5,0.445867205,0,6,0.34642778,0,2,0.62659965,-1,3,0.375034
6,1,11,0.336679848,0,0,0.255508917,3,7,1.282599538,-1,1,0.237022494,0,0,0.403976441,0,0,0.026677238,1,7,0.359479155,0,2,0.49852685,1,7,0.44136539
7,1,3,0.261758659,-1,3,0.578907446,3,11,2.358061615,-1,3,0.541305108,-1,3,0.405302631,0,2,0.026907268,1,3,0.284333631,-1,3,0.643839969,1,7,0.850505351
8,0,0,0.280252623,0,0,0.317215008,3,3,1.556722655,0,2,0.43435708,0,2,0.403913548,1,11,0.93715406,0,0,0.27193523,1,1,0.500000693,0,2,0.422062674
9,2,2,0.934435197,0,0,0.518697494,3,9,1.535645376,1,7,1.467383672,0,0,0.40426401,0,4,2.645751311,3,3,0.907152814,0,0,0.346844357,2,8,2.305347311
10,0,0,0.06725677,0,4,0.633537403,0,6,2.645751311,1,9,0.931487141,0,2,0.412711274,1,5,0.460293,0,0,0.050862558,0,4,0.966887671,0,4,0.314789687
11,0,8,0.234400604,-1,3,0.577994255,-3,19,1.673112062,-1,5,0.767243083,-1,3,0.407157795,-1,5,0.452715069,0,10,0.499198622,-3,11,0.756915451,-1,5,1.087450175
12,0,2,0.474946826,1,9,1.606704,0,0,0,0,0,0,0,4,0.418621757,0,2,0.055077144,0,2,0.628677669,2,10,1.631200703,-1,1,0.549679987
13,1,1,0.17877782,0,2,0.341462923,0,4,2.645751311,2,2,0.629913032,0,0,0.403881365,0,2,0.017393252,0,0,0.200713734,0,8,0.731219256,-2,6,0.775384303
14,-1,3,0.319712397,-1,3,0.436309421,2,4,1.555502913,2,2,0.596104009,0,0,0.404052773,0,0,0.060741439,0,2,0.26227009,-1,3,0.397018166,-1,5,0.724430673
15,1,5,0.271949107,-2,6,0.690595852,0,0,0,3,5,0.714204035,0,0,0.40690317,0,0,0.017328334,-1,3,0.195091622,-2,6,0.778331421,2,4,1.129294122
16,1,5,0.482583114,2,2,0.644123016,0,4,2.645751311,2,6,1.263081074,0,0,0.404526081,2,4,0.705338305,0,4,0.381742519,1,3,1.24219378,2,6,1.240197867
17,0,12,1.02350525,0,0,0.571657916,3,11,1.619188424,0,8,1.88452255,0,2,0.405690374,0,8,0.697246066,0,10,1.236155944,0,0,0.52615501,0,10,2.374225509
18,-1,3,0.483519377,-1,5,1.403367784,0,6,2.645751311,0,4,0.694439658,-1,1,0.416282234,-2,8,0.688638783,-1,3,0.502988937,-1,9,1.480949701,1,7,0.814045749
19,0,2,0.30869671,0,4,0.493323021,0,12,1.837973327,0,4,2.645751311,0,0,0.404261582,0,4,2.645751311,0,2,0.303667867,0,8,0.627648436,-1,5,0.479567651
20,-1,1,0.178257265,0,4,0.548578503,0,0,0,0,4,0.689023694,0,0,0.403955073,0,4,2.645751311,0,0,0.153452531,0,8,0.726356888,-3,7,0.499460154
21,1,1,0.254194242,-1,3,0.674286565,0,8,1.719219996,4,6,1.298136852,0,6,1.717084146,1,1,0.016020719,0,0,0.260930403,0,4,1.139943046,1,7,0.61414169
22,0,0,0.364234097,-1,5,0.60077075,-4,4,0.828648062,1,1,0.792875846,-1,1,0.406433387,0,0,0,1,1,0.36740532,0,14,1.367638511,-3,7,1.948433627
23,-2,8,0.555566376,0,0,0.402182201,2,10,2.399577586,0,2,0.432614631,0,2,0.404238139,-2,8,1.714356348,-2,6,0.613251824,1,3,0.860488397,0,6,0.964342294
24,1,3,0.271845747,1,3,0.33553563,0,6,2.645751311,3,5,0.66122564,2,6,0.615561804,0,0,0.024673221,0,4,0.282152565,2,6,0.77213279,2,4,0.695405609
25,0,0,0.240651456,0,2,0.949816254,-2,10,1.258694031,0,2,0.789649258,0,2,0.406481119,0,10,0.945933457,0,0,0.35556537,2,4,0.974516478,0,0,0.790552605
26,0,8,0.335969668,0,0,0.811680991,-3,3,0.696610579,-1,5,0.434192241,-1,1,0.404690599,3,7,1.252975719,0,6,0.380473799,0,2,0.636039036,-1,7,0.490473231
27,3,5,0.456560507,0,2,0.5872672,0,6,0.90200803,1,7,0.986285324,0,4,0.404874178,2,10,1.250568146,2,4,0.478722919,0,2,0.687111306,0,4,1.776124722
28,1,5,0.254330773,2,4,1.612305371,0,0,0,0,4,1.980787081,1,7,0.617105784,0,0,0.018401743,1,5,0.276200359,-1,5,2.11089951,2,4,0.745150366
29,0,2,0.322099345,0,0,0.122239845,0,8,1.592029766,1,9,0.674396033,-1,3,0.403925084,1,1,0.040628011,0,2,0.291642534,0,0,0.180239094,-1,7,0.782260773
30,0,0,0.183514823,0,0,0.261563562,0,12,1.157569952,3,5,0.783380828,1,3,0.403988082,0,4,2.645751311,0,0,0.18103378,0,0,0.407420922,0,2,0.32534614
31,2,4,0.218738514,1,3,0.532659153,0,0,0,2,4,0.490276369,0,0,0.403900741,0,4,2.645751311,1,1,0.257521678,0,4,0.549501418,0,4,0.487400874
32,1,1,0.305311763,1,5,0.929873893,2,6,1.894956735,1,5,0.909609334,0,0,0.405237322,0,2,0.030106247,1,1,0.260130805,0,6,1.241382704,1,1,0.607105456
33,1,3,0.195490616,0,4,1.331622075,0,0,0,-1,5,1.765967213,-2,6,0.810446467,0,0,0.014522727,1,3,0.187824607,-1,5,1.474203496,0,2,0.513496253
34,-2,6,0.424952988,1,3,0.835748755,0,0,0,-1,5,1.312355176,0,0,0.403960044,0,4,2.645751311,-1,7,0.51866427,1,3,0.931548051,-1,7,0.456021647
35,1,5,0.577935813,1,3,0.304105633,0,8,2.615206072,-1,3,0.590125256,0,2,0.404303368,0,2,0.054356035,1,3,0.621147916,1,1,0.324278197,0,6,0.499113927
36,1,7,0.449726967,0,4,0.496039045,0,0,0,4,4,0.639356095,0,2,0.404752942,-2,4,1.251064556,2,6,0.338319037,4,8,1.224279341,0,6,0.731946853
37,3,7,0.339882783,1,1,0.720107499,0,6,2.645751311,2,2,0.646074828,0,2,0.405627712,0,4,0.446354135,2,4,0.3090524,0,2,0.706175212,2,2,1.073177118
38,0,0,0.186026326,1,1,0.462532616,2,6,2.156270547,-1,1,0.360965007,0,0,0.40475667,0,2,0.011904815,0,0,0.208093733,0,4,0.511707544,1,5,0.350545174
39,1,5,0.319145221,0,0,0.867288317,0,6,2.645751311,2,6,0.571721946,0,2,0.406632622,0,0,0,1,5,0.278464756,0,0,0.928747815,2,10,0.775994427
40,0,2,0.262325338,1,5,0.529396796,0,6,2.645751311,1,9,1.183143391,0,0,0.40454374,0,2,0.039537673,0,4,0.234916135,0,2,0.478516188,0,6,0.785003878
41,2,4,0.417336517,0,4,0.717327348,0,6,2.645751311,0,0,0.294145757,0,0,0.404150938,0,2,0.104805973,2,2,0.334065969,0,2,0.839402373,2,6,1.364577575
42,2,4,0.240592354,0,2,0.655296037,0,4,2.645751311,2,8,1.567131605,0,6,0.605813423,0,2,0.018671016,1,3,0.247357656,0,6,0.646578567,1,3,0.331873702
43,0,2,0.282043207,-1,7,2.111645188,0,0,0,0,2,2.645751311,-3,9,1.327217169,0,0,0.022311113,1,3,0.325925105,-1,9,2.121767177,0,6,0.34260835
44,1,5,0.400145887,-1,3,0.815265912,1,3,1.937113058,2,10,0.854531619,0,2,0.40746456,0,2,0.116561976,0,2,0.438925797,-1,3,0.926445038,0,8,2.14514721
45,0,4,0.276654796,0,2,0.653797267,3,9,1.722041908,3,3,0.887040981,0,2,0.409233419,1,3,0.067238122,1,3,0.243279556,0,2,0.66286947,0,6,1.498293929
46,2,6,0.324267184,1,3,0.668481112,-1,3,1.263215863,1,1,0.530878333,-1,3,0.406098314,0,4,0.94660954,2,4,0.3445602,1,11,0.791306681,2,4,0.983756162
47,-2,4,0.380728917,-1,1,0.992114022,0,6,2.645751311,0,8,0.809555272,0,0,0.409100234,0,2,0.024183515,-1,1,0.349605658,-1,5,1.31236172,-3,7,0.609303273
48,1,5,0.328709944,0,0,0.406699952,3,9,1.256197011,1,9,1.797882855,0,4,0.404140618,1,9,0.698985957,0,4,0.325466085,-1,3,0.395658905,0,2,0.55374323
49,0,2,0.315590837,0,0,0.697965946,1,9,0.889585786,0,0,0.297868451,0,4,0.404674792,-2,6,1.710431424,1,5,0.289308041,0,0,0.329659945,0,8,2.012665292
50,1,5,0.175813454,0,0,0.298085413,-3,9,1.708539044,0,6,0.517636945,0,0,0.403903589,1,1,0.059026855,1,5,0.199802504,0,2,0.451316091,-1,1,0.280321887
