,°í°´¹øÈ£,A_±¸¸ÅÈ½¼ö,B_±¸¸ÅÈ½¼ö,C_±¸¸ÅÈ½¼ö,D_±¸¸ÅÈ½¼ö,A_ÃÑ±¸¸Å¾×,B_ÃÑ±¸¸Å¾×,C_ÃÑ±¸¸Å¾×,D_ÃÑ±¸¸Å¾×
0,9384.0,1.0,10.0,10.0,1.0,1.0,10.0,10.0,1.0
1,7267.0,1.0,9.0,4.0,10.0,2.0,9.0,5.0,10.0
2,4829.0,1.0,7.0,9.0,1.0,4.0,8.0,9.0,1.0
3,3931.0,1.0,8.0,7.0,1.0,3.0,8.0,7.0,1.0
4,701.0,1.0,10.0,3.0,7.0,1.0,9.0,3.0,7.0
5,247.0,1.0,5.0,4.0,8.0,4.0,5.0,4.0,8.0
6,6148.0,1.0,5.0,9.0,2.0,5.0,5.0,10.0,2.0
7,457.0,1.0,5.0,1.0,8.0,1.0,5.0,1.0,8.0
8,12192.0,1.0,6.0,4.0,1.0,3.0,7.0,5.0,1.0
9,8.0,1.0,7.0,9.0,8.0,2.0,7.0,9.0,8.0
10,7654.0,1.0,7.0,10.0,10.0,3.0,8.0,10.0,10.0
11,11389.0,1.0,7.0,6.0,4.0,2.0,7.0,5.0,3.0
12,2996.0,1.0,9.0,3.0,6.0,1.0,9.0,3.0,6.0
13,6004.0,1.0,10.0,3.0,10.0,3.0,10.0,3.0,10.0
14,459.0,1.0,9.0,9.0,1.0,3.0,10.0,10.0,1.0
15,16699.0,1.0,9.0,10.0,1.0,4.0,9.0,10.0,1.0
16,19199.0,1.0,10.0,10.0,5.0,3.0,10.0,10.0,5.0
17,12037.0,1.0,6.0,8.0,1.0,1.0,5.0,9.0,1.0
18,3469.0,1.0,7.0,10.0,6.0,3.0,8.0,10.0,6.0
19,2572.0,1.0,5.0,5.0,8.0,3.0,6.0,5.0,8.0
20,8777.0,1.0,7.0,5.0,8.0,4.0,7.0,5.0,8.0
21,262.0,1.0,7.0,9.0,8.0,3.0,7.0,9.0,8.0
22,11909.0,1.0,5.0,7.0,3.0,3.0,4.0,7.0,4.0
23,1462.0,1.0,8.0,10.0,1.0,2.0,8.0,10.0,1.0
24,2105.0,1.0,6.0,7.0,8.0,2.0,7.0,7.0,8.0
25,1389.0,1.0,7.0,9.0,1.0,3.0,7.0,9.0,1.0
26,2490.0,1.0,7.0,6.0,8.0,2.0,8.0,7.0,8.0
27,296.0,1.0,9.0,3.0,8.0,1.0,10.0,3.0,8.0
28,4229.0,1.0,8.0,7.0,7.0,3.0,9.0,9.0,7.0
29,14653.0,1.0,4.0,9.0,5.0,3.0,4.0,8.0,5.0
30,6387.0,1.0,10.0,4.0,10.0,1.0,10.0,4.0,10.0
31,428.0,1.0,7.0,9.0,1.0,1.0,8.0,10.0,1.0
32,6790.0,1.0,1.0,6.0,1.0,1.0,1.0,6.0,1.0
33,10945.0,1.0,5.0,10.0,3.0,2.0,4.0,10.0,3.0
34,3100.0,1.0,10.0,8.0,7.0,1.0,10.0,6.0,7.0
35,7171.0,1.0,8.0,6.0,10.0,4.0,8.0,7.0,10.0
36,3104.0,1.0,7.0,5.0,1.0,3.0,8.0,5.0,1.0
37,2527.0,1.0,10.0,8.0,8.0,1.0,10.0,7.0,8.0
38,5621.0,1.0,5.0,10.0,2.0,4.0,5.0,10.0,1.0
39,18938.0,1.0,10.0,10.0,4.0,5.0,10.0,10.0,4.0
40,4547.0,1.0,9.0,6.0,7.0,2.0,6.0,7.0,7.0
41,13014.0,1.0,10.0,9.0,4.0,2.0,10.0,9.0,4.0
42,1900.0,1.0,9.0,6.0,8.0,1.0,9.0,6.0,8.0
43,17954.0,1.0,10.0,10.0,4.0,4.0,10.0,10.0,4.0
44,14815.0,1.0,9.0,3.0,5.0,2.0,10.0,3.0,5.0
45,5490.0,1.0,7.0,7.0,10.0,3.0,7.0,7.0,10.0
46,5198.0,1.0,7.0,9.0,7.0,5.0,8.0,9.0,7.0
47,17588.0,1.0,10.0,7.0,4.0,2.0,10.0,4.0,4.0
48,3234.0,1.0,10.0,3.0,1.0,1.0,10.0,3.0,1.0
49,6828.0,1.0,5.0,4.0,10.0,1.0,4.0,5.0,10.0
50,2583.0,1.0,9.0,10.0,1.0,3.0,9.0,9.0,1.0
51,4201.0,1.0,7.0,8.0,7.0,2.0,7.0,8.0,7.0
52,808.0,1.0,7.0,5.0,1.0,2.0,8.0,5.0,1.0
53,1621.0,1.0,9.0,9.0,8.0,3.0,8.0,7.0,8.0
54,4198.0,1.0,8.0,8.0,7.0,4.0,8.0,8.0,7.0
55,14942.0,1.0,9.0,8.0,5.0,2.0,9.0,7.0,5.0
56,3512.0,1.0,8.0,6.0,6.0,1.0,9.0,6.0,6.0
57,2906.0,1.0,6.0,8.0,6.0,2.0,7.0,8.0,6.0
58,4142.0,1.0,4.0,4.0,7.0,2.0,3.0,4.0,7.0
59,596.0,1.0,9.0,10.0,8.0,2.0,9.0,9.0,8.0
60,4980.0,1.0,5.0,6.0,2.0,3.0,6.0,6.0,1.0
61,434.0,1.0,9.0,3.0,8.0,3.0,6.0,3.0,8.0
62,5984.0,1.0,8.0,10.0,1.0,4.0,8.0,10.0,1.0
63,4073.0,1.0,7.0,10.0,7.0,2.0,7.0,10.0,7.0
64,14594.0,1.0,10.0,7.0,5.0,1.0,10.0,6.0,5.0
65,292.0,1.0,8.0,5.0,8.0,1.0,8.0,5.0,8.0
66,6163.0,1.0,6.0,8.0,10.0,4.0,6.0,7.0,10.0
67,2425.0,1.0,10.0,10.0,1.0,4.0,9.0,10.0,1.0
68,3434.0,1.0,5.0,6.0,6.0,2.0,5.0,6.0,6.0
69,19210.0,1.0,10.0,10.0,5.0,4.0,10.0,10.0,5.0
70,496.0,1.0,6.0,9.0,2.0,4.0,7.0,9.0,2.0
71,5712.0,1.0,7.0,10.0,1.0,4.0,7.0,10.0,1.0
72,7506.0,1.0,8.0,3.0,10.0,2.0,6.0,3.0,10.0
73,4274.0,1.0,10.0,4.0,7.0,3.0,10.0,5.0,7.0
74,5975.0,1.0,6.0,4.0,1.0,2.0,6.0,4.0,1.0
75,8218.0,1.0,9.0,6.0,9.0,4.0,8.0,6.0,9.0
76,4310.0,1.0,8.0,8.0,7.0,4.0,9.0,9.0,7.0
77,17386.0,1.0,10.0,3.0,4.0,2.0,10.0,3.0,4.0
78,11662.0,1.0,9.0,7.0,1.0,2.0,10.0,7.0,1.0
79,13317.0,1.0,8.0,10.0,2.0,4.0,7.0,10.0,2.0
80,14256.0,1.0,10.0,4.0,5.0,3.0,9.0,4.0,5.0
81,16288.0,1.0,8.0,8.0,1.0,2.0,8.0,9.0,1.0
82,8130.0,1.0,6.0,10.0,1.0,1.0,5.0,10.0,1.0
83,5382.0,1.0,9.0,4.0,2.0,3.0,9.0,4.0,2.0
84,4147.0,1.0,10.0,10.0,7.0,3.0,10.0,10.0,7.0
85,2920.0,1.0,7.0,7.0,6.0,2.0,7.0,6.0,6.0
86,189.0,1.0,9.0,10.0,1.0,1.0,9.0,10.0,1.0
87,8678.0,1.0,9.0,3.0,8.0,3.0,7.0,3.0,8.0
88,5527.0,1.0,10.0,7.0,10.0,1.0,9.0,6.0,10.0
89,17347.0,1.0,8.0,7.0,4.0,1.0,7.0,5.0,4.0
90,3460.0,1.0,5.0,6.0,6.0,3.0,5.0,6.0,6.0
91,7139.0,1.0,7.0,7.0,10.0,2.0,7.0,8.0,10.0
92,1918.0,1.0,6.0,9.0,8.0,2.0,5.0,7.0,8.0
93,19196.0,1.0,10.0,10.0,5.0,2.0,10.0,10.0,5.0
94,11829.0,1.0,6.0,5.0,3.0,2.0,6.0,5.0,4.0
95,2806.0,1.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0
96,1584.0,1.0,5.0,10.0,2.0,3.0,6.0,10.0,2.0
97,5195.0,1.0,5.0,5.0,7.0,2.0,6.0,5.0,7.0
98,2010.0,1.0,10.0,4.0,2.0,2.0,10.0,4.0,1.0
99,2578.0,1.0,5.0,10.0,2.0,2.0,5.0,9.0,2.0
100,19034.0,1.0,7.0,5.0,5.0,2.0,7.0,5.0,5.0
101,1654.0,1.0,6.0,5.0,2.0,3.0,6.0,5.0,1.0
102,421.0,1.0,1.0,7.0,2.0,2.0,1.0,8.0,1.0
103,2876.0,1.0,10.0,7.0,6.0,1.0,10.0,7.0,6.0
