,고객번호,고급식료품_총구매액1,고급식료품_총구매액2,고급식료품_총구매액3,고급식료품_총구매액4,고급식료품_총구매액5,고급식료품_총구매액6,고급식료품_총구매액7,고급식료품_총구매액8,고급식료품_총구매횟수1,고급식료품_총구매횟수2,고급식료품_총구매횟수3,고급식료품_총구매횟수4,고급식료품_총구매횟수5,고급식료품_총구매횟수6,고급식료품_총구매횟수7,고급식료품_총구매횟수8
0,1,846288.0,1969390.0,212517.0,23945.0,0.0,0.0,0.0,80889.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0
1,2,0.0,226567.0,0.0,0.0,0.0,0.0,62844.0,65273.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.0,0.0,28245.0,0.0,0.0,11260.0,0.0,47095.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
4,6,31884.0,0.0,16382.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,7,89549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,986565.0,679342.0,640375.0,1598433.0,1302021.0,1283023.0,2555528.0,21482.0,4.0,2.0,1.0,4.0,4.0,4.0,11.0,2.0
7,9,0.0,0.0,0.0,1000883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,10,0.0,0.0,0.0,0.0,0.0,37961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
9,11,78232.0,100196.0,118630.0,877436.0,113272.0,0.0,142299.0,0.0,2.0,2.0,2.0,7.0,2.0,0.0,1.0,0.0
10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
