,°í°´¹øÈ£,¹®±¸·ù_ÃÑ±¸¸Å¾×1,¹®±¸·ù_ÃÑ±¸¸Å¾×2,¹®±¸·ù_ÃÑ±¸¸Å¾×3,¹®±¸·ù_ÃÑ±¸¸Å¾×4,¹®±¸·ù_ÃÑ±¸¸Å¾×5,¹®±¸·ù_ÃÑ±¸¸Å¾×6,¹®±¸·ù_ÃÑ±¸¸Å¾×7,¹®±¸·ù_ÃÑ±¸¸Å¾×8,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö1,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö2,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö3,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö4,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö5,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö6,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö7,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö8
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0,0.0,0.0,1351.0,1570.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,7,0.0,5974.0,7570.0,8602.0,1315.0,1394.0,5856.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0
6,8,0.0,0.0,21636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10,17024.0,15451.0,0.0,0.0,0.0,3753.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,11,7872.0,0.0,0.0,0.0,29127.0,0.0,14641.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13,0.0,11795.0,4971.0,0.0,1011.0,11613.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0
12,14,56189.0,34920.0,0.0,0.0,0.0,2037.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
13,15,0.0,0.0,0.0,0.0,0.0,2145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,16,0.0,0.0,0.0,0.0,0.0,98334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
15,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,21,8934.0,2575.0,2825.0,42303.0,2731.0,152380.0,1802.0,10741.0,4.0,1.0,1.0,4.0,1.0,12.0,2.0,4.0
20,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,23,0.0,0.0,0.0,18978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,26,24602.0,0.0,0.0,60660.0,0.0,0.0,0.0,23713.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
25,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,28,0.0,1442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,30,2657.0,0.0,0.0,0.0,0.0,1587.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,31,0.0,0.0,19772.0,0.0,0.0,0.0,0.0,12394.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30,32,6200.0,72539.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
31,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,37,0.0,0.0,0.0,0.0,0.0,0.0,4054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,38,0.0,4944.0,0.0,19111.0,51306.0,2144.0,12163.0,3553.0,0.0,1.0,0.0,6.0,9.0,2.0,3.0,1.0
37,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,42,24798.0,4017.0,1469.0,1153.0,4804.0,1930.0,2647.0,1570.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0
41,43,0.0,0.0,0.0,0.0,1315.0,0.0,0.0,1198.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,45,0.0,9786.0,0.0,2306.0,5664.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
44,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,47,37000.0,2678.0,0.0,1641.0,93146.0,0.0,10642.0,45939.0,2.0,1.0,0.0,1.0,3.0,0.0,4.0,2.0
46,48,0.0,0.0,0.0,0.0,0.0,0.0,5180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
47,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,50,91468.0,98940.0,210482.0,32812.0,100883.0,49445.0,76527.0,11567.0,10.0,6.0,6.0,4.0,8.0,5.0,6.0,3.0
49,51,1279.0,0.0,0.0,6651.0,1618.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
50,52,0.0,0.0,17738.0,0.0,0.0,16728.0,0.0,2479.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
51,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,56,0.0,267410.0,30505.0,0.0,0.0,0.0,108118.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
