,°í°´¹øÈ£,»ýÈ°_ÃÑ±¸¸Å¾×1,»ýÈ°_ÃÑ±¸¸Å¾×2,»ýÈ°_ÃÑ±¸¸Å¾×3,»ýÈ°_ÃÑ±¸¸Å¾×4,»ýÈ°_ÃÑ±¸¸Å¾×5,»ýÈ°_ÃÑ±¸¸Å¾×6,»ýÈ°_ÃÑ±¸¸Å¾×7,»ýÈ°_ÃÑ±¸¸Å¾×8,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö1,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö2,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö3,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö4,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö5,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö6,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö7,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö8
0,1,491408.0,20859.0,3072186.0,787766.0,357221.0,182459.0,0.0,601055.0,7.0,3.0,17.0,28.0,18.0,6.0,0.0,6.0
1,2,806679.0,396282.0,3712799.0,146993.0,150287.0,2418332.0,881264.0,440004.0,9.0,15.0,13.0,12.0,9.0,24.0,16.0,13.0
2,3,588.0,23037.0,54219.0,54907.0,23696.0,32796.0,64039.0,4701.0,12.0,33.0,34.0,25.0,11.0,19.0,22.0,3.0
3,4,93210.0,68787.0,146490.0,99858.0,79369.0,55115.0,55005.0,77138.0,5.0,15.0,7.0,11.0,9.0,11.0,7.0,6.0
4,6,176503.0,211125.0,335845.0,190732.0,176711.0,50776.0,278276.0,57134.0,23.0,29.0,32.0,26.0,29.0,14.0,31.0,12.0
5,7,5668.0,17965.0,206540.0,50080.0,152339.0,71610.0,92621.0,87078.0,2.0,4.0,18.0,6.0,14.0,10.0,8.0,5.0
6,8,39343.0,40792.0,23274.0,21195.0,47311.0,71385.0,60545.0,110549.0,2.0,4.0,2.0,3.0,6.0,8.0,7.0,12.0
7,9,0.0,9786.0,0.0,0.0,0.0,601679.0,68362.0,39659.0,0.0,1.0,0.0,0.0,0.0,11.0,3.0,1.0
8,10,195118.0,174096.0,329116.0,117955.0,186660.0,201353.0,226102.0,210110.0,50.0,33.0,40.0,46.0,50.0,50.0,50.0,42.0
9,11,48131.0,185467.0,81799.0,33745.0,59923.0,0.0,0.0,46311.0,6.0,9.0,5.0,2.0,3.0,0.0,0.0,1.0
10,12,85414.0,72002.0,38448.0,17648.0,14969.0,56127.0,50341.0,20986.0,9.0,7.0,5.0,1.0,4.0,11.0,11.0,6.0
11,13,218252.0,54883.0,63756.0,52147.0,28127.0,119964.0,53224.0,21878.0,19.0,9.0,11.0,8.0,8.0,14.0,11.0,9.0
12,14,109408.0,272955.0,66715.0,107873.0,116337.0,56694.0,32311.0,74312.0,8.0,26.0,15.0,18.0,13.0,7.0,4.0,10.0
13,15,63225.0,30077.0,64345.0,113684.0,66245.0,198286.0,513278.0,69247.0,8.0,6.0,11.0,11.0,6.0,10.0,20.0,7.0
14,16,0.0,0.0,0.0,311722.0,455939.0,122966.0,111497.0,326786.0,0.0,0.0,0.0,8.0,15.0,9.0,1.0,9.0
15,17,122780.0,9271.0,204314.0,6421756.0,46471.0,126494.0,112070.0,455497.0,7.0,1.0,13.0,17.0,6.0,11.0,11.0,5.0
16,18,32031.0,270129.0,195456.0,54496.0,67153.0,63054.0,79343.0,46566.0,5.0,13.0,16.0,5.0,5.0,5.0,5.0,6.0
17,19,251377.0,62846.0,178454.0,62655.0,124550.0,184496.0,133388.0,87110.0,4.0,4.0,7.0,7.0,6.0,6.0,9.0,9.0
18,20,241890.0,95757.0,200225.0,135376.0,231935.0,91491.0,53046.0,33876.0,12.0,6.0,11.0,10.0,8.0,6.0,6.0,7.0
19,21,47133.0,229237.0,251733.0,75226.0,157347.0,68502.0,100247.0,235349.0,11.0,18.0,32.0,28.0,24.0,20.0,12.0,29.0
20,22,185101.0,0.0,7118.0,0.0,0.0,56030.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
21,23,30190.0,29357.0,48209.0,116966.0,20024.0,207734.0,43922.0,14129.0,4.0,1.0,3.0,9.0,2.0,6.0,3.0,1.0
22,24,18069.0,72785.0,26155.0,59899.0,52328.0,50317.0,146929.0,128810.0,6.0,10.0,11.0,16.0,11.0,12.0,13.0,13.0
23,25,45197.0,21879.0,23647.0,4434.0,435.0,14528.0,19832.0,826.0,7.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0
24,26,224886.0,230833.0,392168.0,257263.0,105617.0,341217.0,77246.0,218135.0,18.0,12.0,18.0,7.0,10.0,15.0,7.0,6.0
25,27,0.0,18800.0,0.0,30765.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
26,28,45079.0,65060.0,17286.0,55943.0,21592.0,111319.0,157242.0,24513.0,9.0,12.0,5.0,17.0,4.0,18.0,19.0,5.0
27,29,478929.0,130049.0,109704.0,131546.0,219271.0,43881.0,152064.0,183697.0,9.0,9.0,12.0,12.0,18.0,4.0,16.0,13.0
28,30,269685.0,252735.0,351299.0,189946.0,175929.0,321959.0,439757.0,256036.0,40.0,60.0,57.0,42.0,39.0,37.0,49.0,33.0
29,31,27917.0,82200.0,112542.0,125524.0,49516.0,52576.0,60051.0,178285.0,6.0,13.0,16.0,14.0,13.0,9.0,8.0,13.0
30,32,19169.0,20468.0,44876.0,19466.0,36408.0,84286.0,61773.0,32579.0,5.0,2.0,7.0,2.0,8.0,11.0,7.0,5.0
31,33,96868.0,46763.0,33986.0,21903.0,41774.0,95800.0,71031.0,69773.0,28.0,22.0,17.0,10.0,20.0,20.0,17.0,19.0
32,34,177179.0,165533.0,353234.0,108999.0,283839.0,182941.0,110933.0,75353.0,15.0,20.0,17.0,12.0,9.0,6.0,6.0,4.0
33,35,156356.0,212229.0,224832.0,91070.0,24677.0,252210.0,162278.0,34670.0,11.0,16.0,7.0,7.0,3.0,22.0,8.0,9.0
34,36,490650.0,766321.0,464646.0,73067.0,21744.0,899876.0,1040477.0,169139.0,9.0,19.0,11.0,5.0,2.0,11.0,15.0,7.0
35,37,12793.0,23074.0,36042.0,40796.0,32060.0,58334.0,187923.0,16673.0,1.0,3.0,3.0,5.0,2.0,4.0,9.0,3.0
36,38,132334.0,223067.0,309334.0,164314.0,215053.0,114398.0,270316.0,195821.0,28.0,29.0,46.0,34.0,34.0,23.0,24.0,32.0
37,39,22387.0,161724.0,23726.0,166725.0,13856.0,206179.0,158370.0,152524.0,2.0,5.0,2.0,3.0,2.0,8.0,6.0,4.0
38,40,169338.0,100084.0,96711.0,121763.0,474428.0,97796.0,151410.0,64678.0,17.0,9.0,10.0,8.0,17.0,10.0,10.0,8.0
39,41,4871.0,29409.0,0.0,17737.0,64423.0,9061.0,152199.0,0.0,2.0,5.0,0.0,1.0,4.0,1.0,5.0,0.0
40,42,32966.0,117376.0,79989.0,93553.0,87836.0,123857.0,109393.0,161834.0,10.0,21.0,17.0,16.0,14.0,24.0,23.0,23.0
41,43,66334.0,88688.0,45836.0,123849.0,54522.0,98227.0,73541.0,32015.0,24.0,18.0,12.0,15.0,18.0,21.0,14.0,14.0
42,44,4527.0,0.0,2260.0,10589.0,0.0,135168.0,9269.0,7931.0,1.0,0.0,2.0,3.0,0.0,4.0,1.0,2.0
43,45,11021.0,36722.0,274770.0,18270.0,44500.0,38390.0,16770.0,125960.0,1.0,6.0,8.0,4.0,3.0,7.0,4.0,5.0
44,46,54418.0,56140.0,0.0,50063.0,15170.0,23913.0,150351.0,72255.0,3.0,2.0,0.0,5.0,1.0,1.0,5.0,3.0
45,47,496083.0,477734.0,424738.0,111208.0,214034.0,377421.0,31220.0,111106.0,28.0,27.0,21.0,6.0,10.0,23.0,5.0,15.0
46,48,660804.0,302929.0,351823.0,347604.0,534058.0,220132.0,1000124.0,257785.0,12.0,13.0,15.0,21.0,30.0,20.0,34.0,16.0
