,고객번호,식품_증감율,식품_변동율,식품_(증감*0.8)+(변동*0.2),식품CV,의류_증감율,의류_변동율,의류_(증감*0.8)+(변동*0.2),의류CV,생활_증감율,생활_변동율,생활_(증감*0.8)+(변동*0.2),생활CV
0,1,0.0,4.0,0.8,0.37378957342736796,0.0,0.0,0.0,0.11647321220879116,-4.0,10.0,-1.2000000000000002,1.5409480952060683
1,2,0.0,2.0,0.4,0.2895310151216762,0.0,0.0,0.0,0.5583148409665651,0.0,2.0,0.4,1.1088272769331644
2,3,0.0,2.0,0.4,0.4687336108875616,0.0,4.0,0.8,2.645751311064591,1.0,1.0,1.0,0.6240395573845924
3,4,0.0,6.0,1.2000000000000002,0.34642777950047127,0.0,2.0,0.4,0.626599649622296,-1.0,3.0,-0.19999999999999996,0.3750340000898073
4,6,1.0,7.0,2.2,0.35947915521172247,0.0,2.0,0.4,0.4985268497715371,1.0,7.0,2.2,0.4413653900286481
5,7,1.0,3.0,1.4000000000000001,0.28433363125873046,-1.0,3.0,-0.19999999999999996,0.6438399689163348,1.0,7.0,2.2,0.8505053505003676
6,8,0.0,0.0,0.0,0.27193522973477374,1.0,1.0,1.0,0.5000006934047251,0.0,2.0,0.4,0.4220626744354343
7,9,3.0,3.0,3.0000000000000004,0.9071528144007152,0.0,0.0,0.0,0.34684435684672993,2.0,8.0,3.2,2.3053473107693345
8,10,0.0,0.0,0.0,0.05086255815926001,0.0,4.0,0.8,0.9668876714741229,0.0,4.0,0.8,0.3147896874428286
9,11,0.0,10.0,2.0,0.4991986217394652,-3.0,11.0,-0.20000000000000018,0.7569154514228889,-1.0,5.0,0.19999999999999996,1.0874501754863857
10,12,0.0,2.0,0.4,0.6286776688068267,2.0,10.0,3.6,1.6312007028981688,-1.0,1.0,-0.6000000000000001,0.5496799868945493
11,13,0.0,0.0,0.0,0.20071373398757134,0.0,8.0,1.6,0.7312192559326122,-2.0,6.0,-0.3999999999999999,0.7753843033187099
12,14,0.0,2.0,0.4,0.2622700903799831,-1.0,3.0,-0.19999999999999996,0.39701816603080026,-1.0,5.0,0.19999999999999996,0.7244306725293037
13,15,-1.0,3.0,-0.19999999999999996,0.1950916215388563,-2.0,6.0,-0.3999999999999999,0.778331420515465,2.0,4.0,2.4000000000000004,1.1292941224533222
14,16,0.0,4.0,0.8,0.3817425189255341,1.0,3.0,1.4000000000000001,1.2421937800511695,2.0,6.0,2.8000000000000003,1.2401978668245177
15,17,0.0,10.0,2.0,1.2361559437519092,0.0,0.0,0.0,0.5261550097044022,0.0,10.0,2.0,2.374225509115239
16,18,-1.0,3.0,-0.19999999999999996,0.502988936768665,-1.0,9.0,1.0,1.4809497005894265,1.0,7.0,2.2,0.8140457493160483
17,19,0.0,2.0,0.4,0.30366786698882453,0.0,8.0,1.6,0.6276484357478557,-1.0,5.0,0.19999999999999996,0.47956765104635657
18,20,0.0,0.0,0.0,0.15345253091137095,0.0,8.0,1.6,0.7263568880024339,-3.0,7.0,-1.0000000000000002,0.4994601539681038
19,21,0.0,0.0,0.0,0.2609304034901678,0.0,4.0,0.8,1.139943045743826,1.0,7.0,2.2,0.6141416903316724
20,22,1.0,1.0,1.0,0.3674053196675496,0.0,14.0,2.8000000000000003,1.3676385111570775,-3.0,7.0,-1.0000000000000002,1.9484336268293192
21,23,-2.0,6.0,-0.3999999999999999,0.6132518239738611,1.0,3.0,1.4000000000000001,0.8604883966959929,0.0,6.0,1.2000000000000002,0.9643422938036516
22,24,0.0,4.0,0.8,0.28215256500552016,2.0,6.0,2.8000000000000003,0.7721327896275324,2.0,4.0,2.4000000000000004,0.6954056092620166
23,25,0.0,0.0,0.0,0.35556537045029735,2.0,4.0,2.4000000000000004,0.9745164779676793,0.0,0.0,0.0,0.7905526054815215
24,26,0.0,6.0,1.2000000000000002,0.38047379890988753,0.0,2.0,0.4,0.6360390361649023,-1.0,7.0,0.6000000000000001,0.49047323067411336
25,27,2.0,4.0,2.4000000000000004,0.4787229192635748,0.0,2.0,0.4,0.6871113060041291,0.0,4.0,0.8,1.7761247219642247
26,28,1.0,5.0,1.8,0.27620035937434484,-1.0,5.0,0.19999999999999996,2.1108995098644234,2.0,4.0,2.4000000000000004,0.745150365511637
27,29,0.0,2.0,0.4,0.29164253375100657,0.0,0.0,0.0,0.18023909385794434,-1.0,7.0,0.6000000000000001,0.7822607727181768
28,30,0.0,0.0,0.0,0.18103378017023708,0.0,0.0,0.0,0.40742092163816346,0.0,2.0,0.4,0.32534614049703664
29,31,1.0,1.0,1.0,0.2575216779744051,0.0,4.0,0.8,0.5495014177832925,0.0,4.0,0.8,0.48740087363364043
30,32,1.0,1.0,1.0,0.2601308047577073,0.0,6.0,1.2000000000000002,1.2413827035832024,1.0,1.0,1.0,0.6071054555910639
31,33,1.0,3.0,1.4000000000000001,0.18782460705435658,-1.0,5.0,0.19999999999999996,1.4742034957553436,0.0,2.0,0.4,0.5134962533213495
32,34,-1.0,7.0,0.6000000000000001,0.5186642702489578,1.0,3.0,1.4000000000000001,0.9315480508716933,-1.0,7.0,0.6000000000000001,0.4560216471833863
33,35,1.0,3.0,1.4000000000000001,0.6211479161860147,1.0,1.0,1.0,0.3242781971008444,0.0,6.0,1.2000000000000002,0.49911392716969477
34,36,2.0,6.0,2.8000000000000003,0.33831903745266995,4.0,8.0,4.800000000000001,1.2242793414662805,0.0,6.0,1.2000000000000002,0.7319468528859306
35,37,2.0,4.0,2.4000000000000004,0.3090523997011701,0.0,2.0,0.4,0.7061752118164883,2.0,2.0,2.0,1.073177118027048
36,38,0.0,0.0,0.0,0.20809373316311416,0.0,4.0,0.8,0.5117075435767992,1.0,5.0,1.8,0.3505451742705366
37,39,1.0,5.0,1.8,0.2784647555506214,0.0,0.0,0.0,0.9287478147277142,2.0,10.0,3.6,0.7759944272102118
38,40,0.0,4.0,0.8,0.23491613463686709,0.0,2.0,0.4,0.478516187945648,0.0,6.0,1.2000000000000002,0.7850038784274975
39,41,2.0,2.0,2.0,0.3340659686731776,0.0,2.0,0.4,0.8394023731218627,2.0,6.0,2.8000000000000003,1.3645775754379434
