,°í°´¹øÈ£,ÀÇ·ù_ÃÑ±¸¸Å¾×1,ÀÇ·ù_ÃÑ±¸¸Å¾×2,ÀÇ·ù_ÃÑ±¸¸Å¾×3,ÀÇ·ù_ÃÑ±¸¸Å¾×4,ÀÇ·ù_ÃÑ±¸¸Å¾×5,ÀÇ·ù_ÃÑ±¸¸Å¾×6,ÀÇ·ù_ÃÑ±¸¸Å¾×7,ÀÇ·ù_ÃÑ±¸¸Å¾×8,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö1,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö2,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö3,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö4,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö5,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö6,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö7,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö8
0,1,4813259.0,5975047.0,6635532.0,5584480.0,5735435.0,6914818.0,5930058.0,3016727.0,25.0,32.0,28.0,28.0,34.0,27.0,35.0,20.0
1,2,1917126.0,2751441.0,4834960.0,2176999.0,7456623.0,2046243.0,4899422.0,4696512.0,15.0,19.0,19.0,11.0,26.0,17.0,24.0,20.0
2,3,0.0,82407.0,0.0,0.0,0.0,0.0,0.0,6444.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
3,4,574609.0,2601328.0,1194615.0,682933.0,659840.0,926929.0,1181191.0,612226.0,10.0,30.0,19.0,11.0,8.0,15.0,16.0,12.0
4,6,457586.0,1479824.0,1171496.0,734920.0,393014.0,1470931.0,1687090.0,1209693.0,4.0,27.0,20.0,16.0,10.0,23.0,19.0,26.0
5,7,9217757.0,1274558.0,3019694.0,6455313.0,8030994.0,9534396.0,1504022.0,11266992.0,20.0,13.0,14.0,20.0,23.0,13.0,9.0,13.0
6,8,334431.0,1327916.0,516095.0,515120.0,465122.0,702179.0,931675.0,4419555.0,6.0,16.0,5.0,8.0,8.0,9.0,10.0,19.0
7,9,8185834.0,22713726.0,17422397.0,16155404.0,10807441.0,14649483.0,10455130.0,11680657.0,14.0,74.0,70.0,69.0,33.0,46.0,15.0,48.0
8,10,270615.0,300477.0,88690.0,7095.0,865479.0,257469.0,212857.0,65273.0,4.0,6.0,2.0,1.0,7.0,5.0,5.0,1.0
9,11,6443810.0,4438485.0,3836930.0,3549560.0,0.0,6549876.0,22525.0,7141875.0,17.0,18.0,16.0,22.0,0.0,28.0,1.0,22.0
10,12,376697.0,0.0,274544.0,43455.0,0.0,313123.0,1932609.0,520530.0,3.0,0.0,2.0,1.0,0.0,3.0,4.0,1.0
11,13,237749.0,418937.0,0.0,277048.0,405695.0,53187.0,158798.0,19747.0,6.0,11.0,0.0,7.0,5.0,4.0,3.0,2.0
