,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×
ºÐ·ùÄÚµå,1,2,3,4,1,2,3,4,1,2,3,4
°í°´¹øÈ£,,,,,,,,,,,,
1,21769.0,210766.0,509218.0,19155.0,674.0,325.0,1.0,57.0,14672622.0,68499097.0,509218.0,1091811.0
2,26550.0,268019.0,389293.0,45817.0,801.0,289.0,5.0,21.0,21266895.0,77457516.0,1946464.0,962147.0
3,2639.0,56400.0,,,1189.0,2.0,,,3137599.0,112799.0,,
4,7828.0,75243.0,191459.0,13449.0,731.0,137.0,1.0,61.0,5722150.0,10308236.0,191459.0,820402.0
5,12771.0,110535.0,58715.0,22292.0,666.0,38.0,1.0,14.0,8505680.0,4200332.0,58715.0,312085.0
6,7581.0,69291.0,61373.0,13736.0,1337.0,195.0,6.0,55.0,10135695.0,13511730.0,368236.0,755465.0
7,11105.0,346321.0,954913.0,14905.0,536.0,166.0,7.0,72.0,5952502.0,57489364.0,6684393.0,1073143.0
8,17006.0,211313.0,48616.0,35637.0,1643.0,148.0,3.0,71.0,27940525.0,31274268.0,145849.0,2530252.0
9,21178.0,442843.0,399336.0,114586.0,279.0,443.0,7.0,11.0,5908720.0,196179320.0,2795353.0,1260446.0
10,4466.0,56336.0,367741.0,18893.0,3327.0,56.0,1.0,24.0,14857095.0,3154824.0,367741.0,453437.0
11,26133.0,506986.0,636508.0,36545.0,572.0,224.0,3.0,21.0,14947975.0,113564865.0,1909524.0,767439.0
12,6507.0,218951.0,,,477.0,16.0,,,3104075.0,3503221.0,,
13,5023.0,52637.0,36409.0,7776.0,2701.0,64.0,1.0,118.0,13566559.0,3368750.0,36409.0,917543.0
14,9125.0,107061.0,367250.0,34341.0,1011.0,180.0,8.0,113.0,9225181.0,19271049.0,2938001.0,3880522.0
15,7960.0,130591.0,,12028.0,857.0,144.0,,19.0,6821877.0,18805060.0,,228527.0
16,15832.0,52186.0,32170.0,20157.0,564.0,34.0,1.0,6.0,8929314.0,1774340.0,32170.0,120940.0
17,107091.0,345643.0,1080469.0,127301.0,647.0,159.0,8.0,67.0,69287721.0,54957295.0,8643751.0,8529192.0
18,11791.0,338351.0,451950.0,43326.0,488.0,218.0,1.0,51.0,5753870.0,73760622.0,451950.0,2209618.0
19,33010.0,295948.0,94539.0,18439.0,486.0,90.0,3.0,2.0,16042881.0,26635350.0,283618.0,36877.0
20,17991.0,79266.0,,10199.0,966.0,68.0,,13.0,17379077.0,5390111.0,,132585.0
21,8191.0,70834.0,17829.0,11157.0,2060.0,79.0,2.0,53.0,16874151.0,5595870.0,35657.0,591342.0
22,17896.0,637791.0,5486305.0,46327.0,279.0,40.0,19.0,157.0,4992998.0,25511627.0,104239796.0,7273396.0
23,41375.0,225734.0,875741.0,29056.0,510.0,193.0,12.0,68.0,21101122.0,43566742.0,10508896.0,1975782.0
24,9129.0,57127.0,195716.0,20593.0,696.0,81.0,2.0,39.0,6353916.0,4627272.0,391432.0,803108.0
25,8713.0,175814.0,192291.0,22496.0,323.0,219.0,12.0,72.0,2814190.0,38503370.0,2307487.0,1619681.0
26,13661.0,348155.0,555582.0,21421.0,643.0,282.0,27.0,62.0,8783712.0,98179747.0,15000722.0,1328099.0
27,52001.0,251909.0,553768.0,16361.0,496.0,125.0,8.0,19.0,25792670.0,31488575.0,4430141.0,310868.0
28,5271.0,67924.0,,2295.0,1353.0,25.0,,10.0,7131024.0,1698100.0,,22945.0
29,11406.0,161167.0,999881.0,30391.0,445.0,455.0,7.0,19.0,5075516.0,73331029.0,6999169.0,577430.0
30,10214.0,369184.0,540825.0,33412.0,2061.0,217.0,7.0,31.0,21050868.0,80112962.0,3785773.0,1035782.0
31,7721.0,48695.0,,23249.0,815.0,121.0,,59.0,6292849.0,5892114.0,,1371673.0
