"고객번호","ROUND(구매금액/구매횟수)"
"00001",22350
"00002",29110
"00003",2653
"00004",8144
"00005",12641
"00006",7669
"00007",10912
"00008",17238
"00009",22544
"00010",4582
"00011",24380
"00012",6791
"00013",5147
"00014",9717
"00015",7383
"00016",16728
"00017",99970
"00018",12034
"00019",32339
"00020",18147
"00021",8813
"00022",18538
"00023",37325
"00024",9463
"00025",9167
"00026",14847
"00027",43268
"00028",5315
"00029",10738
"00030",10539
"00031",8032
"00032",12717
"00033",4396
"00034",11073
"00035",20292
"00036",22795
"00037",14307
"00038",7054
"00039",16038
"00040",6735
"00041",14925
"00042",6210
"00043",5472
"00044",13040
"00045",12362
"00046",22407
"00047",9300
"00048",28096
"00049",16958
"00050",8896
"00051",7031
"00052",11816
"00053",16309
"00054",12673
"00055",7571
"00056",15591
"00057",5702
"00058",17055
"00059",11582
"00060",10311
"00061",10488
"00062",9797
"00063",9050
"00064",4600
"00065",13178
"00066",7059
"00067",5385
"00068",10372
"00069",4306
"00070",5315
"00071",4100
"00072",7757
"00073",32588
"00074",13490
"00075",5015
"00076",7490
"00077",13026
"00078",20188
"00079",6145
"00080",4556
"00081",13604
"00082",11240
"00083",14310
"00084",16791
"00085",11287
"00086",8209
"00087",15754
"00088",11866
"00089",5570
"00090",23253
"00091",19292
"00092",12754
"00093",28839
"00094",17227
"00095",4895
"00096",26418
"00097",49471
"00098",18712
"00099",18283
"00100",10074
"00101",6562
"00102",9072
"00103",5117
"00104",5983
"00105",8104
"00106",11344
"00107",14714
"00108",8609
"00109",6179
"00110",8561
"00111",3551
"00112",19497
"00113",14883
"00114",11049
"00115",23079
"00116",4080
"00117",17178
"00118",21164
"00119",13872
"00120",9946
"00121",14721
"00122",14616
"00123",6296
"00124",10022
"00125",11651
"00126",6453
"00127",7669
"00128",10867
"00129",7327
"00130",15878
"00131",9199
"00132",4834
"00133",12550
"00134",27544
"00135",8327
"00136",10847
"00137",12839
"00138",12734
"00139",11815
"00140",62271
"00141",4184
"00142",10380
"00143",4443
"00144",10282
"00145",24040
"00146",40963
"00147",11883
"00148",4065
"00149",16886
"00150",5789
"00151",14781
"00152",10665
"00153",5940
"00154",12181
"00155",16609
"00156",34869
"00157",7301
"00158",10523
"00159",25834
"00160",10845
"00161",20675
"00162",11959
"00163",6297
"00164",14829
"00165",13929
"00166",13417
"00167",11998
"00168",16237
"00169",5309
"00170",7572
"00171",19881
"00172",12421
"00173",4934
"00174",7015
"00175",6248
"00176",6200
"00177",18665
"00178",7599
"00179",16449
"00180",32337
"00181",15405
"00182",14981
"00183",5588
"00184",18051
"00185",7381
"00186",24000
"00187",12692
"00188",4920
"00189",21204
"00190",15134
"00191",53145
"00192",11982
"00193",6777
"00194",5530
"00195",5976
"00196",9447
"00197",7957
"00198",5245
"00199",13038
"00200",5652
"00201",50345
"00202",7434
"00203",5509
"00204",6385
"00205",8216
"00206",5964
"00207",6406
"00208",14193
"00209",7910
"00210",5113
"00211",15011
"00212",9260
"00213",5854
"00214",8298
"00215",5937
"00216",6475
"00217",16914
"00218",36467
"00219",10156
"00220",7266
"00221",6417
"00222",12996
"00223",45395
"00224",19689
"00225",38735
"00226",9537
"00227",3752
"00228",7141
"00229",16524
"00230",9924
"00231",4939
"00232",4322
"00233",7529
"00234",11474
"00235",25387
"00236",4561
"00237",22163
"00238",11773
"00239",25363
"00240",7041
"00241",12272
"00242",5475
"00243",5986
"00244",27534
"00245",8325
"00246",25883
"00247",7806
"00248",7717
"00249",21714
"00250",26171
"00251",29267
"00252",6321
"00253",30592
"00254",14367
"00255",45434
"00256",26757
"00257",4334
"00258",10039
"00259",5617
"00260",8264
"00261",19316
"00262",13658
"00263",5275
"00264",3947
"00265",23875
"00266",19734
"00267",22043
"00268",11850
"00269",9228
"00270",5632
"00271",23476
"00272",9250
"00273",21921
"00274",4344
"00275",15796
"00276",3283
"00277",5220
"00278",2772
"00279",21448
"00280",23277
"00281",26993
"00282",10870
"00283",16619
"00284",5139
"00285",5153
"00286",16889
"00287",5534
"00288",11606
"00289",15128
"00290",6167
"00291",5698
"00292",17656
"00293",9372
"00294",18424
"00295",25730
"00296",16149
"00297",16010
"00298",28499
"00299",15862
"00300",8853
"00301",11906
"00302",10615
"00303",5714
"00304",17889
"00305",12831
"00306",40899
"00307",25817
"00308",14288
"00309",39307
"00310",7084
"00311",14527
"00312",11905
"00313",9747
"00314",31399
"00315",17317
"00316",16910
"00317",7493
"00318",32655
"00319",13414
"00320",10248
"00321",13166
"00322",12306
"00323",11424
"00324",11001
"00325",15398
"00326",10088
"00327",31781
"00328",29781
"00329",11278
"00330",5962
"00331",6946
"00332",10761
"00333",8358
"00334",11818
"00335",12700
"00336",6252
