고객번호,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,A객단가등급,B객단가등급,변동률
1,121.0,117.0,142.0,214.0,172.0,140.0,1,1,1,1,2,2,3,3,4
2,184.0,155.0,139.0,132.0,145.0,116.0,1,1,1,2,1,2,4,2,6
3,139.0,209.0,246.0,145.0,87.0,133.0,10,10,10,10,10,10,4,10,0
4,93.0,177.0,85.0,87.0,122.0,141.0,7,3,5,6,7,6,9,4,4
6,192.0,192.0,178.0,187.0,237.0,160.0,5,4,4,4,4,4,9,2,4
7,99.0,94.0,94.0,101.0,103.0,97.0,1,4,3,1,2,1,7,7,6
8,162.0,223.0,263.0,190.0,268.0,257.0,2,3,2,2,2,2,2,6,6
9,34.0,94.0,100.0,109.0,79.0,114.0,1,1,1,1,1,1,8,2,0
10,462.0,412.0,390.0,444.0,469.0,449.0,4,5,5,6,4,5,1,4,6
11,137.0,99.0,119.0,116.0,78.0,90.0,1,1,1,1,4,1,7,9,5
12,76.0,25.0,60.0,55.0,54.0,87.0,9,10,10,10,10,9,1,3,8
13,246.0,319.0,278.0,430.0,403.0,441.0,6,5,6,5,5,5,8,7,1
14,124.0,266.0,178.0,194.0,143.0,139.0,3,3,3,4,2,3,9,9,6
15,151.0,127.0,127.0,115.0,129.0,156.0,3,3,4,8,4,3,6,3,7
16,43.0,34.0,66.0,86.0,127.0,93.0,10,10,8,7,5,8,3,7,2
17,91.0,61.0,60.0,80.0,91.0,199.0,1,1,2,1,3,1,9,5,2
18,150.0,184.0,162.0,41.0,53.0,48.0,1,1,1,10,7,9,1,1,5
19,89.0,85.0,50.0,84.0,64.0,71.0,2,3,5,2,4,2,2,2,1
20,155.0,142.0,156.0,146.0,153.0,98.0,4,4,5,6,3,4,5,10,3
21,212.0,215.0,314.0,264.0,198.0,342.0,5,5,4,5,4,3,9,4,3
22,69.0,59.0,30.0,71.0,82.0,72.0,1,1,1,1,1,2,1,4,0
23,116.0,100.0,115.0,186.0,118.0,61.0,2,2,2,1,2,2,1,4,3
24,101.0,108.0,98.0,137.0,90.0,91.0,8,6,6,7,8,9,3,3,3
25,47.0,64.0,67.0,50.0,116.0,95.0,8,4,4,6,1,2,2,2,4
26,154.0,109.0,105.0,88.0,84.0,211.0,1,1,2,1,1,2,4,10,5
27,71.0,106.0,67.0,66.0,68.0,79.0,1,2,3,4,2,2,2,7,5
28,165.0,267.0,161.0,198.0,96.0,206.0,9,8,10,9,10,8,3,9,6
29,80.0,96.0,126.0,103.0,139.0,139.0,1,1,1,2,1,1,8,5,1
30,235.0,336.0,318.0,316.0,241.0,274.0,2,1,1,1,1,1,2,1,3
31,100.0,112.0,101.0,127.0,120.0,140.0,8,8,6,5,6,8,3,8,3
32,129.0,179.0,206.0,196.0,197.0,169.0,7,5,4,5,5,5,10,3,3
33,276.0,305.0,286.0,238.0,302.0,330.0,7,7,8,9,8,8,10,9,1
34,136.0,199.0,140.0,172.0,127.0,91.0,6,4,7,5,7,6,9,1,3
35,115.0,133.0,88.0,90.0,90.0,205.0,3,3,2,4,2,2,10,3,6
36,71.0,170.0,131.0,87.0,80.0,112.0,3,2,3,3,6,2,5,5,6
37,59.0,136.0,146.0,198.0,145.0,115.0,6,4,2,1,2,1,5,9,6
38,266.0,291.0,368.0,371.0,357.0,334.0,5,5,4,5,4,5,5,5,3
39,42.0,94.0,55.0,84.0,78.0,97.0,1,1,2,1,2,1,9,8,2
40,121.0,132.0,84.0,99.0,128.0,93.0,5,3,6,6,3,4,1,4,3
41,67.0,81.0,65.0,72.0,110.0,101.0,5,4,8,5,4,6,6,7,3
42,148.0,247.0,273.0,237.0,308.0,358.0,7,5,6,8,5,6,8,9,6
43,146.0,104.0,73.0,110.0,131.0,209.0,8,10,10,5,10,10,7,3,13
44,67.0,108.0,224.0,118.0,107.0,125.0,3,4,3,1,2,4,1,7,8
45,67.0,80.0,77.0,128.0,98.0,124.0,1,6,1,1,1,1,2,6,6
46,63.0,69.0,63.0,81.0,78.0,107.0,1,1,4,2,1,2,1,5,3
47,279.0,357.0,208.0,174.0,238.0,180.0,4,3,2,6,5,7,1,6,5
48,87.0,78.0,83.0,81.0,84.0,88.0,2,2,1,2,1,1,4,8,3
49,86.0,102.0,88.0,69.0,90.0,85.0,2,1,1,3,1,2,1,3,2
50,207.0,246.0,188.0,201.0,232.0,211.0,4,3,4,4,4,5,3,8,2
51,385.0,273.0,254.0,216.0,223.0,144.0,3,4,5,3,5,6,9,1,5
52,115.0,137.0,165.0,167.0,207.0,188.0,2,3,4,3,3,2,9,1,3
53,67.0,84.0,134.0,99.0,94.0,85.0,4,1,5,1,3,3,8,1,11
54,83.0,92.0,93.0,91.0,68.0,95.0,7,6,8,7,9,9,3,9,2
55,145.0,89.0,124.0,119.0,133.0,129.0,9,10,8,9,9,10,10,1,4
56,100.0,93.0,61.0,112.0,91.0,118.0,1,1,4,2,1,1,2,10,2
57,259.0,284.0,244.0,243.0,153.0,197.0,8,7,9,8,5,10,6,8,11
58,73.0,72.0,74.0,78.0,89.0,90.0,4,4,4,3,4,5,7,3,2
