,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×,Æò±Õ±¸¸Å¾×,Æò±Õ±¸¸Å¾×,Æò±Õ±¸¸Å¾×,Æò±Õ±¸¸Å¾×
Á¦ÈÞ»ç,A,B,C,D,A,B,C,D,A,B,C,D
°í°´¹øÈ£,,,,,,,,,,,,
1,874.0,64.0,119.0,,83024104.0,754018.0,994626.0,,94993.0,11782.0,8358.0,
2,1080.0,16.0,,20.0,101191019.0,207512.0,,234491.0,93695.0,12970.0,,11725.0
3,1.0,2.0,1188.0,,82407.0,7863.0,3160128.0,,82407.0,3932.0,2660.0,
4,649.0,126.0,155.0,,14582805.0,1629784.0,829658.0,,22470.0,12935.0,5353.0,
5,711.0,1.0,,7.0,13018618.0,15745.0,,42449.0,18310.0,15745.0,,6064.0
6,361.0,1193.0,39.0,,15617971.0,8636941.0,516214.0,,43263.0,7240.0,13236.0,
7,517.0,203.0,61.0,,69064147.0,1795296.0,339959.0,,133586.0,8844.0,5573.0,
8,1816.0,48.0,1.0,,61164151.0,722249.0,4494.0,,33681.0,15047.0,4494.0,
9,704.0,1.0,35.0,,205823217.0,9042.0,311580.0,,292363.0,9042.0,8902.0,
10,107.0,549.0,2750.0,2.0,4379060.0,2600003.0,11828298.0,25736.0,40926.0,4736.0,4301.0,12868.0
11,721.0,45.0,54.0,,130298104.0,527948.0,363751.0,,180719.0,11732.0,6736.0,
12,82.0,320.0,,91.0,4347314.0,2078079.0,,181903.0,53016.0,6494.0,,1999.0
13,369.0,2350.0,165.0,,6755268.0,10497214.0,636779.0,,18307.0,4467.0,3859.0,
14,599.0,219.0,494.0,,30508138.0,2214438.0,2592177.0,,50932.0,10112.0,5247.0,
15,245.0,725.0,50.0,,20603762.0,4832052.0,419650.0,,84097.0,6665.0,8393.0,
16,556.0,48.0,1.0,,10511594.0,342278.0,2892.0,,18906.0,7131.0,2892.0,
17,575.0,131.0,175.0,,136853172.0,3881518.0,683269.0,,238006.0,29630.0,3904.0,
18,672.0,24.0,62.0,,81551322.0,303749.0,320989.0,,121356.0,12656.0,5177.0,
19,573.0,3.0,2.0,3.0,42937084.0,7113.0,10043.0,44486.0,74934.0,2371.0,5022.0,14829.0
20,1036.0,2.0,9.0,,22840923.0,12253.0,48597.0,,22047.0,6127.0,5400.0,
21,3.0,2188.0,3.0,,2409878.0,20681503.0,5639.0,,803293.0,9452.0,1880.0,
22,495.0,,,,142017817.0,,,,286905.0,,,
23,684.0,22.0,77.0,,76511804.0,216509.0,424229.0,,111859.0,9841.0,5509.0,
24,20.0,797.0,,1.0,2670777.0,9490310.0,,14641.0,133539.0,11908.0,,14641.0
25,498.0,22.0,106.0,,44433328.0,322915.0,488485.0,,89224.0,14678.0,4608.0,
26,844.0,149.0,19.0,2.0,122591734.0,612875.0,52273.0,35398.0,145251.0,4113.0,2751.0,17699.0
27,613.0,27.0,8.0,,61765092.0,222627.0,34535.0,,100759.0,8245.0,4317.0,
28,31.0,1355.0,2.0,,1987039.0,6854927.0,10103.0,,64098.0,5059.0,5052.0,
29,607.0,299.0,20.0,,83497202.0,2331358.0,154584.0,,137557.0,7797.0,7729.0,
30,926.0,3.0,1387.0,,97159735.0,66659.0,8758991.0,,104924.0,22220.0,6315.0,
31,988.0,3.0,2.0,2.0,13529735.0,16687.0,4258.0,5956.0,13694.0,5562.0,2129.0,2978.0
32,474.0,1009.0,,,7369491.0,12292411.0,,,15547.0,12183.0,,
33,11.0,2220.0,173.0,,243806.0,9945126.0,482237.0,,22164.0,4480.0,2787.0,
34,925.0,1.0,22.0,,15063231.0,27666.0,169555.0,,16285.0,27666.0,7707.0,
35,672.0,321.0,,1.0,42305465.0,3037803.0,,58659.0,62955.0,9464.0,,58659.0
36,829.0,53.0,78.0,,43550878.0,454463.0,445833.0,,52534.0,8575.0,5716.0,
37,1092.0,63.0,2.0,,59871923.0,250258.0,18560.0,,54828.0,3972.0,9280.0,
38,268.0,1845.0,567.0,,5936733.0,14847417.0,2942947.0,,22152.0,8047.0,5190.0,
39,562.0,,12.0,,207591324.0,,72964.0,,369380.0,,6080.0,
40,466.0,293.0,99.0,,24621871.0,1791867.0,372205.0,,52837.0,6116.0,3760.0,
41,485.0,189.0,41.0,,16242461.0,1935387.0,310539.0,,33490.0,10240.0,7574.0,
42,20.0,2129.0,48.0,,1618316.0,14213351.0,136944.0,,80916.0,6676.0,2853.0,
43,8.0,1099.0,2.0,,1594535.0,5772102.0,16479.0,,199317.0,5252.0,8240.0,
