고객번호,A제휴사(%),B제휴사(%),C제휴사(%),D제휴사(%),편의품(%),선매품(%),전문품(%),기타(%)
1,83.12,9.31,7.57,0.0,2.85,28.36,66.24,2.55
2,78.09,11.23,0.0,10.68,3.82,34.92,53.21,8.05
3,92.67,4.42,2.91,0.0,4.34,95.66,0.0,0.0
4,62.36,24.07,13.57,0.0,7.92,78.24,0.0,13.84
6,68.42,10.81,20.77,0.0,4.89,50.14,36.6,8.37
7,94.67,5.33,0.0,0.0,0.66,20.03,78.41,0.9
8,65.31,34.69,0.0,0.0,5.15,69.27,14.9,10.68
9,94.97,2.6,2.43,0.0,2.05,40.62,37.71,19.62
10,66.15,7.18,6.7,19.96,1.0,12.8,81.77,4.44
11,91.66,5.22,3.12,0.0,1.93,43.7,50.85,3.52
12,79.91,16.11,0.0,3.98,6.5,93.5,0.0,0.0
13,67.67,17.08,15.25,0.0,4.91,50.96,35.49,8.64
14,78.09,14.48,7.44,0.0,1.57,18.1,74.86,5.48
15,86.61,6.0,7.38,0.0,4.45,87.73,0.0,7.82
16,69.63,30.37,0.0,0.0,15.66,37.99,30.64,15.71
17,91.29,7.48,1.23,0.0,5.46,19.32,62.31,12.92
18,88.89,7.89,3.22,0.0,1.33,41.41,51.89,5.37
19,90.63,3.0,6.36,0.0,6.98,68.29,20.7,4.04
20,53.99,26.34,19.67,0.0,15.0,76.87,0.0,8.13
21,98.55,1.21,0.23,0.0,6.3,70.45,13.17,10.08
22,100.0,0.0,0.0,0.0,0.3,10.68,88.24,0.78
23,86.81,8.46,4.74,0.0,2.71,17.38,77.95,1.95
24,93.28,6.72,0.0,0.0,3.25,21.83,70.07,4.84
25,79.17,16.56,4.26,0.0,2.42,42.07,48.93,6.58
26,86.54,2.36,1.59,9.51,1.59,41.4,54.56,2.45
27,90.29,6.13,3.58,0.0,4.61,31.78,61.29,2.32
28,77.2,11.3,11.5,0.0,18.4,73.5,0.0,8.09
29,90.28,5.14,4.59,0.0,0.89,13.38,83.41,2.32
30,78.21,16.92,4.88,0.0,1.09,37.86,57.38,3.68
