"고객번호","소분류코드","구매일자","RNK"
"00001","A040302",20151230,1
"00001","A010801",20151230,1
"00001","A010103",20151230,1
"00001","A010707",20151230,1
"00001","A010608",20151230,1
"00001","A010404",20151230,1
"00001","A010302",20151230,1
"00002","A010601",20151230,1
"00003","C110701",20151228,1
"00003","C170206",20151228,1
"00003","C070402",20151228,1
"00004","A010401",20151231,1
"00004","A040220",20151231,1
"00004","A010623",20151231,1
"00004","A010402",20151231,1
"00005","A020108",20151228,1
"00005","A010302",20151228,1
"00006","B051002",20151231,1
"00006","B150102",20151231,1
"00006","B140103",20151231,1
"00006","B710102",20151231,1
"00006","B790310",20151231,1
"00007","A010201",20151231,1
"00007","A010630",20151231,1
"00007","A010612",20151231,1
"00008","A010302",20151230,1
"00008","A010401",20151230,1
"00008","A010406",20151230,1
"00008","A010402",20151230,1
"00009","A040502",20151231,1
"00010","C050107",20151231,1
"00010","C110701",20151231,1
"00010","C170206",20151231,1
"00010","C150302",20151231,1
"00010","C150203",20151231,1
"00010","C040601",20151231,1
"00010","C030401",20151231,1
"00010","C010104",20151231,1
"00011","A010207",20151231,1
"00011","A010403",20151231,1
"00011","A010403",20151231,1
"00011","A010403",20151231,1
"00011","A010402",20151231,1
"00011","A010403",20151231,1
"00012","B130202",20151230,1
"00012","B520503",20151230,1
"00012","B470106",20151230,1
"00013","B100301",20151230,1
"00013","B010110",20151230,1
"00013","B740101",20151230,1
"00013","B670402",20151230,1
"00013","B660302",20151230,1
"00013","B380303",20151230,1
"00013","B140101",20151230,1
"00013","B100504",20151230,1
"00014","A010401",20151231,1
"00015","B040301",20151231,1
"00015","B170101",20151231,1
"00016","A010302",20151231,1
"00016","A010501",20151231,1
"00016","A010403",20151231,1
"00017","B010201",20151225,1
"00017","B810202",20151225,1
"00017","B740101",20151225,1
"00017","B720107",20151225,1
"00017","B670405",20151225,1
"00017","B650504",20151225,1
"00017","B650202",20151225,1
"00017","B550101",20151225,1
"00017","B520503",20151225,1
"00017","B480301",20151225,1
"00017","B380203",20151225,1
"00017","B051005",20151225,1
"00017","B050502",20151225,1
"00017","B050101",20151225,1
"00017","B010207",20151225,1
"00017","B650203",20151225,1
"00017","B820203",20151225,1
"00017","B190207",20151225,1
"00017","B660103",20151225,1
"00017","B660603",20151225,1
"00017","B660402",20151225,1
"00017","B660103",20151225,1
"00017","B660603",20151225,1
"00017","B500401",20151225,1
"00017","B141304",20151225,1
"00018","A010101",20151230,1
"00018","A011004",20151230,1
"00018","A010608",20151230,1
"00018","A010404",20151230,1
"00018","A010501",20151230,1
"00019","A010104",20151230,1
"00019","A010606",20151230,1
"00019","A010902",20151230,1
"00019","A010608",20151230,1
"00019","A010403",20151230,1
"00019","A010902",20151230,1
"00019","A010601",20151230,1
"00019","A010404",20151230,1
"00019","A010501",20151230,1
"00020","A011004",20151230,1
"00020","A010603",20151230,1
"00021","B810301",20151231,1
"00021","B870203",20151231,1
"00022","A010644",20151230,1
"00023","A020302",20151218,1
"00023","A020306",20151218,1
